 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -18.82718728       0.00000000       0.00000000       0.00000004       0.00000000
       0.41743065     -18.09941385       0.00000005       0.00000000       0.00000116       0.00000000
       0.41743065     -17.39168369       0.00000043       0.00000003       0.00002485       0.00000001
       0.41743065     -16.70128547       0.00000263       0.00000030       0.00034324       0.00000125
       0.41743065     -16.02603825       0.00001181       0.00000227       0.00288028       0.00011943
       0.41743065     -15.36415326       0.00004155       0.00001074       0.01394232       0.00218005
       0.41743065     -14.71413902       0.00013156       0.00003986       0.04428215       0.01157497
       0.41743065     -14.07473410       0.00043380       0.00015736       0.12419916       0.04335879
       0.41743065     -13.44485834       0.00151024       0.00071020       0.32460386       0.18382091
       0.41743065     -12.82357654       0.00485642       0.00293032       0.59390260       0.52388897
       0.41743065     -12.21007100       0.01252954       0.00900947       0.74772906       0.76324535
       0.41743065     -11.60362037       0.02422447       0.01926013       0.77857766       0.82721497
       0.41743065     -11.00358309       0.03523750       0.02926879       0.72040431       0.79259939
       0.41743065     -10.40938424       0.04120764       0.03432734       0.59858495       0.67194992
       0.41743065      -9.82050503       0.04306077       0.03501037       0.49407776       0.51504411
       0.41743065      -9.23647420       0.04384112       0.03446603       0.47299492       0.42132696
       0.41743065      -8.65686103       0.04492423       0.03448603       0.52393798       0.43313466
       0.41743065      -8.08126950       0.04598317       0.03519269       0.57152136       0.53844534
       0.41743065      -7.50933340       0.04613467       0.03544229       0.54474441       0.62522793
       0.41743065      -6.94071226       0.04558267       0.03476194       0.48729946       0.61759930
       0.41743065      -6.37508780       0.04512488       0.03387825       0.46175906       0.57325171
       0.41743065      -5.81216096       0.04492043       0.03318209       0.46546065       0.53942572
       0.41743065      -5.25164927       0.04464814       0.03261855       0.46924966       0.52168854
       0.41743065      -4.69328459       0.04419001       0.03209682       0.46257330       0.50735320
       0.41743065      -4.13681108       0.04391184       0.03177525       0.46224038       0.49712353
       0.41743065      -3.58198348       0.04403956       0.03188363       0.47454555       0.50841816
       0.41743065      -3.02856541       0.04431426       0.03220231       0.48444784       0.53198849
       0.41743065      -2.47632801       0.04438075       0.03234563       0.48274144       0.54484595
       0.41743065      -1.92504854       0.04417586       0.03216359       0.47465353       0.53550142
       0.41743065      -1.37450918       0.04395479       0.03183312       0.46911734       0.51472552
       0.41743065      -0.82449583       0.04389987       0.03162070       0.46679966       0.50185705
       0.41743065      -0.27479705       0.04394906       0.03155399       0.46569338       0.49834556
       0.41743065       0.27479705       0.04394903       0.03155397       0.46569252       0.49834263
       0.41743065       0.82449583       0.04389980       0.03162066       0.46679703       0.50184962
       0.41743065       1.37450918       0.04395471       0.03183309       0.46911323       0.51471618
       0.41743065       1.92504854       0.04417579       0.03216358       0.47464921       0.53549087
       0.41743065       2.47632801       0.04438068       0.03234563       0.48273760       0.54483336
       0.41743065       3.02856541       0.04431416       0.03220231       0.48444386       0.53197444
       0.41743065       3.58198348       0.04403943       0.03188364       0.47454127       0.50840430
       0.41743065       4.13681108       0.04391172       0.03177526       0.46223691       0.49711074
       0.41743065       4.69328459       0.04418990       0.03209682       0.46257100       0.50733996
       0.41743065       5.25164927       0.04464801       0.03261852       0.46924625       0.52167505
       0.41743065       5.81216096       0.04492028       0.03318206       0.46545553       0.53941660
       0.41743065       6.37508780       0.04512476       0.03387827       0.46175626       0.57324948
       0.41743065       6.94071226       0.04558261       0.03476197       0.48730258       0.61760022
       0.41743065       7.50933340       0.04613458       0.03544222       0.54474949       0.62522056
       0.41743065       8.08126950       0.04598296       0.03519247       0.57151804       0.53842743
       0.41743065       8.65686103       0.04492397       0.03448583       0.52392828       0.43312428
       0.41743065       9.23647420       0.04384096       0.03446600       0.47299196       0.42133272
       0.41743065       9.82050503       0.04306064       0.03501037       0.49408729       0.51506397
       0.41743065      10.40938424       0.04120717       0.03432697       0.59860240       0.67197163
       0.41743065      11.00358309       0.03523632       0.02926770       0.72041673       0.79260981
       0.41743065      11.60362037       0.02422286       0.01925865       0.77857923       0.82721342
       0.41743065      12.21007100       0.01252824       0.00900837       0.74771770       0.76322737
       0.41743065      12.82357654       0.00485576       0.00292984       0.59387277       0.52384387
       0.41743065      13.44485834       0.00151001       0.00071007       0.32456951       0.18378840
       0.41743065      14.07473410       0.00043374       0.00015733       0.12418319       0.04335123
       0.41743065      14.71413902       0.00013154       0.00003986       0.04427633       0.01157300
       0.41743065      15.36415326       0.00004154       0.00001074       0.01393988       0.00217941
       0.41743065      16.02603825       0.00001181       0.00000227       0.00287953       0.00011936
       0.41743065      16.70128547       0.00000263       0.00000030       0.00034312       0.00000124
       0.41743065      17.39168369       0.00000043       0.00000003       0.00002484       0.00000001
       0.41743065      18.09941385       0.00000005       0.00000000       0.00000116       0.00000000
       0.41743065      18.82718728       0.00000000       0.00000000       0.00000004       0.00000000
       0.41743065      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -18.82718728       0.00000000       0.00000000       0.00000003       0.00000000
       0.95832787     -18.09941385       0.00000004       0.00000000       0.00000098       0.00000000
       0.95832787     -17.39168369       0.00000038       0.00000002       0.00002070       0.00000000
       0.95832787     -16.70128547       0.00000237       0.00000025       0.00028536       0.00000077
       0.95832787     -16.02603825       0.00001066       0.00000196       0.00243489       0.00008661
       0.95832787     -15.36415326       0.00003751       0.00000950       0.01212985       0.00178140
       0.95832787     -14.71413902       0.00011747       0.00003512       0.03911205       0.01001675
       0.95832787     -14.07473410       0.00037838       0.00013369       0.10845760       0.03662734
       0.95832787     -13.44485834       0.00129055       0.00058452       0.28473575       0.15061200
       0.95832787     -12.82357654       0.00413722       0.00240997       0.54796204       0.46238596
       0.95832787     -12.21007100       0.01084669       0.00759383       0.72033510       0.72666887
       0.95832787     -11.60362037       0.02162875       0.01688915       0.76900804       0.81277535
       0.95832787     -11.00358309       0.03272775       0.02690785       0.73049788       0.79713813
       0.95832787     -10.40938424       0.03973603       0.03303009       0.62932564       0.70462785
       0.95832787      -9.82050503       0.04251727       0.03478605       0.52699417       0.56966541
       0.95832787      -9.23647420       0.04360626       0.03472626       0.48608149       0.47214506
       0.95832787      -8.65686103       0.04450474       0.03464889       0.50293693       0.45281679
       0.95832787      -8.08126950       0.04524768       0.03482036       0.52787369       0.49241142
       0.95832787      -7.50933340       0.04545472       0.03469758       0.52126020       0.52710785
       0.95832787      -6.94071226       0.04530153       0.03414347       0.50416153       0.52316690
       0.95832787      -6.37508780       0.04521315       0.03355438       0.50672889       0.50777412
       0.95832787      -5.81216096       0.04518934       0.03307991       0.52032816       0.50103425
       0.95832787      -5.25164927       0.04495374       0.03263175       0.52197575       0.50053534
       0.95832787      -4.69328459       0.04448666       0.03215094       0.51080461       0.49379037
       0.95832787      -4.13681108       0.04415052       0.03184324       0.50582586       0.48724302
       0.95832787      -3.58198348       0.04414957       0.03190889       0.51124175       0.49779425
       0.95832787      -3.02856541       0.04430575       0.03214456       0.51521720       0.51718692
       0.95832787      -2.47632801       0.04434838       0.03223000       0.51299248       0.52620171
       0.95832787      -1.92504854       0.04422897       0.03206722       0.51041600       0.51746338
       0.95832787      -1.37450918       0.04412916       0.03184716       0.51217182       0.50429532
       0.95832787      -0.82449583       0.04414897       0.03177820       0.51414283       0.50220770
       0.95832787      -0.27479705       0.04422280       0.03181188       0.51429704       0.50670248
       0.95832787       0.27479705       0.04422279       0.03181189       0.51429720       0.50670152
       0.95832787       0.82449583       0.04414895       0.03177822       0.51414298       0.50220608
       0.95832787       1.37450918       0.04412916       0.03184722       0.51217152       0.50429519
       0.95832787       1.92504854       0.04422898       0.03206732       0.51041580       0.51746474
       0.95832787       2.47632801       0.04434839       0.03223012       0.51299265       0.52620264
       0.95832787       3.02856541       0.04430573       0.03214469       0.51521680       0.51718705
       0.95832787       3.58198348       0.04414952       0.03190902       0.51124043       0.49779480
       0.95832787       4.13681108       0.04415047       0.03184338       0.50582488       0.48724476
       0.95832787       4.69328459       0.04448662       0.03215106       0.51080504       0.49379165
       0.95832787       5.25164927       0.04495369       0.03263183       0.52197586       0.50053467
       0.95832787       5.81216096       0.04518926       0.03307996       0.52032632       0.50103444
       0.95832787       6.37508780       0.04521308       0.03355444       0.50672737       0.50777732
       0.95832787       6.94071226       0.04530148       0.03414353       0.50416321       0.52317099
       0.95832787       7.50933340       0.04545465       0.03469756       0.52126306       0.52710676
       0.95832787       8.08126950       0.04524753       0.03482022       0.52787218       0.49240399
       0.95832787       8.65686103       0.04450456       0.03464875       0.50293252       0.45281312
       0.95832787       9.23647420       0.04360611       0.03472620       0.48608235       0.47215277
       0.95832787       9.82050503       0.04251705       0.03478593       0.52700460       0.56968324
       0.95832787      10.40938424       0.03973542       0.03302955       0.62934069       0.70464476
       0.95832787      11.00358309       0.03272649       0.02690668       0.73050717       0.79714517
       0.95832787      11.60362037       0.02162722       0.01688776       0.76900726       0.81277126
       0.95832787      12.21007100       0.01084554       0.00759287       0.72032112       0.72664703
       0.95832787      12.82357654       0.00413665       0.00240957       0.54793055       0.46234017
       0.95832787      13.44485834       0.00129035       0.00058441       0.28470440       0.15058502
       0.95832787      14.07473410       0.00037833       0.00013367       0.10844385       0.03662114
       0.95832787      14.71413902       0.00011746       0.00003511       0.03910688       0.01001500
       0.95832787      15.36415326       0.00003751       0.00000950       0.01212768       0.00178086
       0.95832787      16.02603825       0.00001065       0.00000196       0.00243424       0.00008655
       0.95832787      16.70128547       0.00000236       0.00000025       0.00028526       0.00000077
       0.95832787      17.39168369       0.00000038       0.00000002       0.00002070       0.00000000
       0.95832787      18.09941385       0.00000004       0.00000000       0.00000098       0.00000000
       0.95832787      18.82718728       0.00000000       0.00000000       0.00000003       0.00000000
       0.95832787      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -18.82718728       0.00000000       0.00000000       0.00000002       0.00000000
       1.50277824     -18.09941385       0.00000004       0.00000000       0.00000074       0.00000000
       1.50277824     -17.39168369       0.00000031       0.00000002       0.00001506       0.00000000
       1.50277824     -16.70128547       0.00000195       0.00000018       0.00020567       0.00000032
       1.50277824     -16.02603825       0.00000886       0.00000149       0.00179653       0.00004738
       1.50277824     -15.36415326       0.00003125       0.00000760       0.00940064       0.00121485
       1.50277824     -14.71413902       0.00009629       0.00002810       0.03130498       0.00768290
       1.50277824     -14.07473410       0.00029830       0.00010102       0.08559269       0.02743129
       1.50277824     -13.44485834       0.00097881       0.00041518       0.22361769       0.10536994
       1.50277824     -12.82357654       0.00310287       0.00169274       0.46456486       0.35622656
       1.50277824     -12.21007100       0.00831743       0.00552924       0.66377664       0.64889863
       1.50277824     -11.60362037       0.01741351       0.01311482       0.74467364       0.77794851
       1.50277824     -11.00358309       0.02811058       0.02260754       0.73791928       0.79455678
       1.50277824     -10.40938424       0.03641976       0.03001194       0.67076483       0.74237405
       1.50277824      -9.82050503       0.04082440       0.03354946       0.58172980       0.64573950
       1.50277824      -9.23647420       0.04275016       0.03454390       0.52050977       0.55287236
       1.50277824      -8.65686103       0.04374587       0.03467103       0.49886385       0.50049764
       1.50277824      -8.08126950       0.04433571       0.03453277       0.49519231       0.47976804
