 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -18.82718728       0.00000000       0.00000000       0.00000000       0.00000184
       0.41743065     -18.09941385       0.00000002       0.00000000       0.00000049       0.00000001
       0.41743065     -17.39168369       0.00000017       0.00000001       0.00375474       0.00000000
       0.41743065     -16.70128547       0.00000107       0.00000004       0.00037211       0.00000001
       0.41743065     -16.02603825       0.00000524       0.00000062       0.00132596       0.00000794
       0.41743065     -15.36415326       0.00002007       0.00000433       0.00568004       0.00040660
       0.41743065     -14.71413902       0.00006544       0.00001849       0.01944413       0.00334064
       0.41743065     -14.07473410       0.00020827       0.00006777       0.05632743       0.01373544
       0.41743065     -13.44485834       0.00071275       0.00028360       0.15492484       0.05685853
       0.41743065     -12.82357654       0.00246596       0.00127902       0.36648896       0.23916374
       0.41743065     -12.21007100       0.00738264       0.00479315       0.60006321       0.56076410
       0.41743065     -11.60362037       0.01704035       0.01277117       0.72063097       0.74584368
       0.41743065     -11.00358309       0.02923967       0.02357151       0.73142279       0.78295667
       0.41743065     -10.40938424       0.03851647       0.03177248       0.65926035       0.72397649
       0.41743065      -9.82050503       0.04243261       0.03473777       0.54923898       0.59542776
       0.41743065      -9.23647420       0.04327273       0.03467877       0.47973231       0.47465431
       0.41743065      -8.65686103       0.04374311       0.03424138       0.48603239       0.43505190
       0.41743065      -8.08126950       0.04477745       0.03452921       0.53725638       0.50009285
       0.41743065      -7.50933340       0.04555740       0.03503853       0.54607023       0.60546972
       0.41743065      -6.94071226       0.04521039       0.03467025       0.48985424       0.62276764
       0.41743065      -6.37508780       0.04426690       0.03363588       0.43778262       0.56042307
       0.41743065      -5.81216096       0.04363796       0.03267663       0.42924219       0.49556727
       0.41743065      -5.25164927       0.04358244       0.03211460       0.45163661       0.46879211
       0.41743065      -4.69328459       0.04374614       0.03197921       0.47104221       0.48223910
       0.41743065      -4.13681108       0.04384285       0.03207234       0.47430500       0.50848742
       0.41743065      -3.58198348       0.04392506       0.03225379       0.47445908       0.53155107
       0.41743065      -3.02856541       0.04405938       0.03235296       0.47866461       0.54466437
       0.41743065      -2.47632801       0.04418986       0.03225699       0.48382181       0.54651129
       0.41743065      -1.92504854       0.04423193       0.03204774       0.48457640       0.54196877
       0.41743065      -1.37450918       0.04423587       0.03190701       0.48159264       0.53636401
       0.41743065      -0.82449583       0.04429230       0.03196288       0.47878557       0.53771769
       0.41743065      -0.27479705       0.04437328       0.03206637       0.47745945       0.54072622
       0.41743065       0.27479705       0.04439059       0.03205862       0.47781032       0.54063896
       0.41743065       0.82449583       0.04433017       0.03194743       0.47958871       0.53764719
       0.41743065       1.37450918       0.04426703       0.03189832       0.48236086       0.53664395
       0.41743065       1.92504854       0.04424378       0.03205178       0.48507502       0.54272479
       0.41743065       2.47632801       0.04419557       0.03226515       0.48426070       0.54748337
       0.41743065       3.02856541       0.04408045       0.03235212       0.47934301       0.54552845
       0.41743065       3.58198348       0.04396646       0.03224145       0.47536312       0.53230693
       0.41743065       4.13681108       0.04388798       0.03205945       0.47513882       0.50942682
       0.41743065       4.69328459       0.04377531       0.03197803       0.47164642       0.48356090
       0.41743065       5.25164927       0.04359208       0.03212245       0.45210759       0.47003626
       0.41743065       5.81216096       0.04363841       0.03268022       0.42952722       0.49614759
       0.41743065       6.37508780       0.04426992       0.03362848       0.43772091       0.56034061
       0.41743065       6.94071226       0.04522077       0.03466171       0.48946507       0.62288154
       0.41743065       7.50933340       0.04557249       0.03504676       0.54590683       0.60675160
       0.41743065       8.08126950       0.04478722       0.03455199       0.53769353       0.50172820
       0.41743065       8.65686103       0.04373873       0.03426046       0.48623939       0.43556406
       0.41743065       9.23647420       0.04326521       0.03468917       0.47911372       0.47381914
       0.41743065       9.82050503       0.04245105       0.03475937       0.54795463       0.59383132
       0.41743065      10.40938424       0.03859445       0.03184391       0.65808556       0.72289235
       0.41743065      11.00358309       0.02937398       0.02369598       0.73106055       0.78294744
       0.41743065      11.60362037       0.01717168       0.01288875       0.72130290       0.74717637
       0.41743065      12.21007100       0.00746194       0.00485673       0.60203713       0.56417208
       0.41743065      12.82357654       0.00249784       0.00129987       0.36910028       0.24248325
       0.41743065      13.44485834       0.00072241       0.00028837       0.15643738       0.05782118
       0.41743065      14.07473410       0.00021096       0.00006881       0.05691167       0.01396541
       0.41743065      14.71413902       0.00006627       0.00001879       0.01966841       0.00341174
       0.41743065      15.36415326       0.00002034       0.00000441       0.00575287       0.00041746
       0.41743065      16.02603825       0.00000532       0.00000063       0.00133766       0.00000805
       0.41743065      16.70128547       0.00000109       0.00000004       0.00036619       0.00000001
       0.41743065      17.39168369       0.00000017       0.00000001       0.00968136       0.00000000
       0.41743065      18.09941385       0.00000002       0.00000000       0.00000053       0.00000001
       0.41743065      18.82718728       0.00000000       0.00000000       0.00000000       0.00000037
       0.41743065      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -18.82718728       0.00000000       0.00000000       0.00000000       0.00000003
       0.95832787     -18.09941385       0.00000002       0.00000000       0.00000040       0.00000000
       0.95832787     -17.39168369       0.00000015       0.00000001       0.00112316       0.00000000
       0.95832787     -16.70128547       0.00000098       0.00000004       0.00035134       0.00000000
       0.95832787     -16.02603825       0.00000476       0.00000053       0.00117782       0.00000567
       0.95832787     -15.36415326       0.00001825       0.00000380       0.00501897       0.00033084
       0.95832787     -14.71413902       0.00005934       0.00001649       0.01733760       0.00288448
       0.95832787     -14.07473410       0.00018619       0.00005967       0.05024495       0.01201658
       0.95832787     -13.44485834       0.00062385       0.00024141       0.13733417       0.04832862
       0.95832787     -12.82357654       0.00213380       0.00107017       0.33113771       0.20409414
       0.95832787     -12.21007100       0.00643267       0.00405955       0.56661443       0.51547891
       0.95832787     -11.60362037       0.01519145       0.01116342       0.70303806       0.72265363
       0.95832787     -11.00358309       0.02693800       0.02147081       0.72952500       0.77833919
       0.95832787     -10.40938424       0.03674631       0.03019076       0.67355320       0.73865461
       0.95832787      -9.82050503       0.04159959       0.03412557       0.57213292       0.62976806
       0.95832787      -9.23647420       0.04301155       0.03467278       0.49390692       0.51132315
       0.95832787      -8.65686103       0.04354418       0.03432043       0.47839941       0.45052722
       0.95832787      -8.08126950       0.04432167       0.03425690       0.50897616       0.46640253
       0.95832787      -7.50933340       0.04504002       0.03441873       0.53139660       0.52296032
       0.95832787      -6.94071226       0.04508590       0.03419043       0.51750065       0.54595739
       0.95832787      -6.37508780       0.04464373       0.03354663       0.49817006       0.52233969
       0.95832787      -5.81216096       0.04427246       0.03286134       0.49969182       0.49043056
       0.95832787      -5.25164927       0.04414838       0.03239015       0.51300797       0.47961201
       0.95832787      -4.69328459       0.04408213       0.03218168       0.51668193       0.49098885
       0.95832787      -4.13681108       0.04398297       0.03212961       0.50969698       0.50531518
       0.95832787      -3.58198348       0.04394583       0.03217647       0.50497080       0.51600418
       0.95832787      -3.02856541       0.04402151       0.03218202       0.50715234       0.51955513
       0.95832787      -2.47632801       0.04412629       0.03204373       0.51208421       0.51528571
       0.95832787      -1.92504854       0.04417159       0.03183749       0.51477590       0.50805784
       0.95832787      -1.37450918       0.04420817       0.03173440       0.51549644       0.50372656
       0.95832787      -0.82449583       0.04429816       0.03183537       0.51577145       0.50835662
       0.95832787      -0.27479705       0.04439850       0.03197091       0.51608830       0.51419039
       0.95832787       0.27479705       0.04440830       0.03196485       0.51623505       0.51405902
       0.95832787       0.82449583       0.04431734       0.03182335       0.51604947       0.50811064
       0.95832787       1.37450918       0.04421725       0.03172772       0.51560211       0.50361759
       0.95832787       1.92504854       0.04416260       0.03184062       0.51459872       0.50818863
       0.95832787       2.47632801       0.04411144       0.03204925       0.51185584       0.51545492
       0.95832787       3.02856541       0.04401938       0.03217870       0.50716634       0.51948975
       0.95832787       3.58198348       0.04396112       0.03216227       0.50522972       0.51572730
       0.95832787       4.13681108       0.04400258       0.03211365       0.50993624       0.50511261
       0.95832787       4.69328459       0.04409050       0.03217435       0.51673628       0.49112506
       0.95832787       5.25164927       0.04414414       0.03238968       0.51300899       0.47981449
       0.95832787       5.81216096       0.04426627       0.03285672       0.49970980       0.49020198
       0.95832787       6.37508780       0.04464537       0.03353356       0.49809838       0.52172859
       0.95832787       6.94071226       0.04509687       0.03417784       0.51734541       0.54561750
       0.95832787       7.50933340       0.04505467       0.03441926       0.53145233       0.52341551
       0.95832787       8.08126950       0.04433091       0.03426890       0.50928409       0.46705775
       0.95832787       8.65686103       0.04354448       0.03433174       0.47839375       0.45044039
       0.95832787       9.23647420       0.04301528       0.03468152       0.49323293       0.51022434
       0.95832787       9.82050503       0.04163339       0.03415284       0.57096876       0.62824310
       0.95832787      10.40938424       0.03683694       0.03026928       0.67261083       0.73776513
       0.95832787      11.00358309       0.02707299       0.02159283       0.72936444       0.77848148
       0.95832787      11.60362037       0.01531341       0.01127014       0.70389629       0.72418777
       0.95832787      12.21007100       0.00650286       0.00411427       0.56873419       0.51900666
       0.95832787      12.82357654       0.00216132       0.00108756       0.33363201       0.20702410
       0.95832787      13.44485834       0.00063218       0.00024538       0.13867804       0.04913042
       0.95832787      14.07473410       0.00018856       0.00006057       0.05076719       0.01221789
       0.95832787      14.71413902       0.00006010       0.00001676       0.01754019       0.00294726
       0.95832787      15.36415326       0.00001850       0.00000388       0.00508283       0.00033952
       0.95832787      16.02603825       0.00000483       0.00000054       0.00118686       0.00000572
       0.95832787      16.70128547       0.00000099       0.00000004       0.00034441       0.00000000
       0.95832787      17.39168369       0.00000015       0.00000001       0.00187255       0.00000000
       0.95832787      18.09941385       0.00000002       0.00000000       0.00000043       0.00000001
       0.95832787      18.82718728       0.00000000       0.00000000       0.00000000       0.00000003
       0.95832787      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -18.82718728       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -18.09941385       0.00000001       0.00000000       0.00000029       0.00000000
       1.50277824     -17.39168369       0.00000013       0.00000001       0.00029359       0.00000000
       1.50277824     -16.70128547       0.00000082       0.00000003       0.00032565       0.00000000
       1.50277824     -16.02603825       0.00000401       0.00000041       0.00096197       0.00000305
       1.50277824     -15.36415326       0.00001539       0.00000301       0.00402633       0.00022539
       1.50277824     -14.71413902       0.00004987       0.00001340       0.01411099       0.00219508
       1.50277824     -14.07473410       0.00015300       0.00004777       0.04105210       0.00945562
       1.50277824     -13.44485834       0.00049411       0.00018250       0.11102079       0.03649025
       1.50277824     -12.82357654       0.00164991       0.00077903       0.27384636       0.15207407
       1.50277824     -12.21007100       0.00500839       0.00299541       0.50467683       0.43226573
       1.50277824     -11.60362037       0.01225814       0.00866438       0.66689337       0.67322163
       1.50277824     -11.00358309       0.02295533       0.01786317       0.72114960       0.76322294
       1.50277824     -10.40938424       0.03326978       0.02703414       0.69310409       0.75467433
       1.50277824      -9.82050503       0.03963341       0.03249591       0.61186000       0.67903146
       1.50277824      -9.23647420       0.04222672       0.03426891       0.52851590       0.57406710
       1.50277824      -8.65686103       0.04316098       0.03436443       0.48646677       0.49342921
       1.50277824      -8.08126950       0.04379114       0.03413192       0.48638738       0.46027181
