 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000000       0.00003132
       0.41154806     -20.14215595       0.00000000       0.00000000       0.00000001       0.00000020
       0.41154806     -19.36925854       0.00000001       0.00000000       0.00000045       0.00000086
       0.41154806     -18.62053110       0.00000009       0.00000002       0.00000655       0.00000167
       0.41154806     -17.89242402       0.00000043       0.00000006       0.00005167       0.00000071
       0.41154806     -17.18214790       0.00000158       0.00000015       0.00030676       0.00000129
       0.41154806     -16.48745900       0.00000532       0.00000066       0.00126861       0.00008394
       0.41154806     -15.80651706       0.00001807       0.00000354       0.00471037       0.00030252
       0.41154806     -15.13778764       0.00006115       0.00001658       0.02000349       0.00325449
       0.41154806     -14.47997302       0.00020400       0.00006650       0.06671937       0.01860306
       0.41154806     -13.83196191       0.00070493       0.00028223       0.18638916       0.07670558
       0.41154806     -13.19279220       0.00245907       0.00128408       0.43458690       0.30434763
       0.41154806     -12.56162264       0.00749880       0.00492075       0.67649180       0.65104846
       0.41154806     -11.93771112       0.01750593       0.01328752       0.77490141       0.80761922
       0.41154806     -11.32039760       0.02990081       0.02442392       0.76179740       0.82186406
       0.41154806     -10.70909062       0.03886567       0.03245415       0.66410668       0.74281056
       0.41154806     -10.10325643       0.04248754       0.03503173       0.53656811       0.58917859
       0.41154806      -9.50241022       0.04350295       0.03474810       0.47041037       0.45073721
       0.41154806      -8.90610886       0.04440233       0.03434801       0.49553335       0.41087406
       0.41154806      -8.31394493       0.04563184       0.03488983       0.56125827       0.49170930
       0.41154806      -7.72554168       0.04619766       0.03547172       0.56400533       0.60707540
       0.41154806      -7.14054884       0.04580299       0.03505558       0.50602472       0.63019608
       0.41154806      -6.55863895       0.04523651       0.03415198       0.46481179       0.58846476
       0.41154806      -5.97950436       0.04497379       0.03337287       0.46205008       0.54703854
       0.41154806      -5.40285445       0.04475005       0.03277232       0.46884257       0.52557966
       0.41154806      -4.82841336       0.04429442       0.03221308       0.46359900       0.51078176
       0.41154806      -4.25591790       0.04393564       0.03181100       0.46090729       0.49816974
       0.41154806      -3.68511574       0.04398752       0.03183281       0.47144611       0.50473328
       0.41154806      -3.11576369       0.04427751       0.03215093       0.48327331       0.52843501
       0.41154806      -2.54762630       0.04439073       0.03234899       0.48330169       0.54513365
       0.41154806      -1.98047443       0.04419751       0.03218993       0.47524057       0.53724810
       0.41154806      -1.41408396       0.04396154       0.03185669       0.46934730       0.51657327
       0.41154806      -0.84823466       0.04389749       0.03162312       0.46679122       0.50211026
       0.41154806      -0.28270899       0.04395037       0.03155475       0.46559994       0.49843394
       0.41154806       0.28270899       0.04395036       0.03155470       0.46559924       0.49842900
       0.41154806       0.84823466       0.04389745       0.03162303       0.46678820       0.50209869
       0.41154806       1.41408396       0.04396140       0.03185666       0.46934081       0.51656032
       0.41154806       1.98047443       0.04419729       0.03218998       0.47523240       0.53723483
       0.41154806       2.54762630       0.04439051       0.03234907       0.48329429       0.54511738
       0.41154806       3.11576369       0.04427732       0.03215095       0.48326687       0.52841575
       0.41154806       3.68511574       0.04398735       0.03183282       0.47144025       0.50471412
       0.41154806       4.25591790       0.04393543       0.03181104       0.46090215       0.49815245
       0.41154806       4.82841336       0.04429415       0.03221312       0.46359385       0.51076446
       0.41154806       5.40285445       0.04474974       0.03277232       0.46883491       0.52556315
       0.41154806       5.97950436       0.04497354       0.03337287       0.46204223       0.54702938
       0.41154806       6.55863895       0.04523639       0.03415201       0.46481076       0.58846433
       0.41154806       7.14054884       0.04580293       0.03505559       0.50603202       0.63019512
       0.41154806       7.72554168       0.04619746       0.03547153       0.56400962       0.60705792
       0.41154806       8.31394493       0.04563144       0.03488950       0.56124707       0.49168418
       0.41154806       8.90610886       0.04440197       0.03434785       0.49552069       0.41086906
       0.41154806       9.50241022       0.04350276       0.03474814       0.47041390       0.45075672
       0.41154806      10.10325643       0.04248719       0.03503156       0.53658885       0.58921158
       0.41154806      10.70909062       0.03886454       0.03245312       0.66413025       0.74283408
       0.41154806      11.32039760       0.02989872       0.02442195       0.76180767       0.82186955
       0.41154806      11.93771112       0.01750378       0.01328559       0.77489466       0.80760570
       0.41154806      12.56162264       0.00749749       0.00491971       0.67646112       0.65099943
       0.41154806      13.19279220       0.00245855       0.00128374       0.43453601       0.30428458
       0.41154806      13.83196191       0.00070477       0.00028216       0.18635767       0.07668577
       0.41154806      14.47997302       0.00020395       0.00006648       0.06670721       0.01859830
       0.41154806      15.13778764       0.00006114       0.00001658       0.01999859       0.00325308
       0.41154806      15.80651706       0.00001807       0.00000354       0.00470902       0.00030235
       0.41154806      16.48745900       0.00000532       0.00000066       0.00126843       0.00008394
       0.41154806      17.18214790       0.00000158       0.00000015       0.00030673       0.00000129
       0.41154806      17.89242402       0.00000043       0.00000006       0.00005167       0.00000071
       0.41154806      18.62053110       0.00000009       0.00000002       0.00000655       0.00000167
       0.41154806      19.36925854       0.00000001       0.00000000       0.00000045       0.00000086
       0.41154806      20.14215595       0.00000000       0.00000000       0.00000001       0.00000020
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000000       0.00002914
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
