 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000000       0.00003185
       0.41154806     -20.14215595       0.00000000       0.00000000       0.00000001       0.00000020
       0.41154806     -19.36925854       0.00000001       0.00000000       0.00000045       0.00000086
       0.41154806     -18.62053110       0.00000009       0.00000002       0.00000655       0.00000167
       0.41154806     -17.89242402       0.00000043       0.00000006       0.00005167       0.00000071
       0.41154806     -17.18214790       0.00000158       0.00000015       0.00030673       0.00000129
       0.41154806     -16.48745900       0.00000532       0.00000066       0.00126845       0.00008393
       0.41154806     -15.80651706       0.00001807       0.00000354       0.00470919       0.00030237
       0.41154806     -15.13778764       0.00006115       0.00001658       0.01999908       0.00325322
       0.41154806     -14.47997302       0.00020396       0.00006648       0.06670820       0.01859851
       0.41154806     -13.83196191       0.00070480       0.00028217       0.18636056       0.07668663
       0.41154806     -13.19279220       0.00245865       0.00128380       0.43454125       0.30428878
       0.41154806     -12.56162264       0.00749774       0.00491989       0.67646433       0.65100313
       0.41154806     -11.93771112       0.01750419       0.01328595       0.77489499       0.80760605
       0.41154806     -11.32039760       0.02989914       0.02442232       0.76180550       0.82186735
       0.41154806     -10.70909062       0.03886478       0.03245333       0.66412588       0.74282886
       0.41154806     -10.10325643       0.04248727       0.03503160       0.53658504       0.58920513
       0.41154806      -9.50241022       0.04350281       0.03474813       0.47041350       0.45075357
       0.41154806      -8.90610886       0.04440207       0.03434787       0.49552336       0.41087106
       0.41154806      -8.31394493       0.04563154       0.03488954       0.56124872       0.49169028
       0.41154806      -7.72554168       0.04619750       0.03547155       0.56400749       0.60706253
       0.41154806      -7.14054884       0.04580292       0.03505558       0.50602917       0.63019601
       0.41154806      -6.55863895       0.04523640       0.03415198       0.46480998       0.58846407
       0.41154806      -5.97950436       0.04497361       0.03337282       0.46204348       0.54702943
       0.41154806      -5.40285445       0.04474985       0.03277224       0.46883687       0.52556409
       0.41154806      -4.82841336       0.04429425       0.03221307       0.46359600       0.51076740
       0.41154806      -4.25591790       0.04393549       0.03181105       0.46090456       0.49815893
       0.41154806      -3.68511574       0.04398740       0.03183288       0.47144269       0.50472351
       0.41154806      -3.11576369       0.04427739       0.03215100       0.48326951       0.52842510
       0.41154806      -2.54762630       0.04439061       0.03234907       0.48329746       0.54512489
       0.41154806      -1.98047443       0.04419737       0.03219000       0.47523571       0.53724168
       0.41154806      -1.41408396       0.04396143       0.03185672       0.46934341       0.51656825
       0.41154806      -0.84823466       0.04389749       0.03162312       0.46679020       0.50210687
       0.41154806      -0.28270899       0.04395046       0.03155475       0.46560141       0.49843448
       0.41154806       0.28270899       0.04395047       0.03155475       0.46560171       0.49843539
       0.41154806       0.84823466       0.04389751       0.03162313       0.46679098       0.50210922
       0.41154806       1.41408396       0.04396144       0.03185674       0.46934437       0.51657147
       0.41154806       1.98047443       0.04419736       0.03219002       0.47523640       0.53724558
       0.41154806       2.54762630       0.04439059       0.03234909       0.48329795       0.54512953
       0.41154806       3.11576369       0.04427740       0.03215101       0.48327028       0.52843004
       0.41154806       3.68511574       0.04398742       0.03183289       0.47144369       0.50472817
       0.41154806       4.25591790       0.04393550       0.03181106       0.46090518       0.49816338
       0.41154806       4.82841336       0.04429424       0.03221309       0.46359615       0.51077219
       0.41154806       5.40285445       0.04474985       0.03277227       0.46883745       0.52556869
       0.41154806       5.97950436       0.04497362       0.03337284       0.46204453       0.54703209
       0.41154806       6.55863895       0.04523641       0.03415198       0.46481008       0.58846452
       0.41154806       7.14054884       0.04580293       0.03505558       0.50602757       0.63019650
       0.41154806       7.72554168       0.04619752       0.03547160       0.56400627       0.60706655
       0.41154806       8.31394493       0.04563160       0.03488963       0.56125059       0.49169592
       0.41154806       8.90610886       0.04440212       0.03434792       0.49552563       0.41087237
       0.41154806       9.50241022       0.04350284       0.03474813       0.47041260       0.45074962
       0.41154806      10.10325643       0.04248734       0.03503163       0.53658069       0.58919830
       0.41154806      10.70909062       0.03886502       0.03245354       0.66412098       0.74282398
       0.41154806      11.32039760       0.02989958       0.02442274       0.76180341       0.82186622
       0.41154806      11.93771112       0.01750464       0.01328635       0.77489647       0.80760891
       0.41154806      12.56162264       0.00749801       0.00492011       0.67647086       0.65101344
       0.41154806      13.19279220       0.00245875       0.00128387       0.43455206       0.30430203
       0.41154806      13.83196191       0.00070483       0.00028219       0.18636726       0.07669079
       0.41154806      14.47997302       0.00020397       0.00006649       0.06671078       0.01859951
       0.41154806      15.13778764       0.00006115       0.00001658       0.02000011       0.00325351
       0.41154806      15.80651706       0.00001807       0.00000354       0.00470948       0.00030241
       0.41154806      16.48745900       0.00000532       0.00000066       0.00126849       0.00008393
       0.41154806      17.18214790       0.00000158       0.00000015       0.00030674       0.00000129
       0.41154806      17.89242402       0.00000043       0.00000006       0.00005167       0.00000071
       0.41154806      18.62053110       0.00000009       0.00000002       0.00000655       0.00000167
       0.41154806      19.36925854       0.00000001       0.00000000       0.00000045       0.00000086
       0.41154806      20.14215595       0.00000000       0.00000000       0.00000001       0.00000020
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000000       0.00003227
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
