 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.14215595       0.00000000       0.00000000       0.00000000       0.00000156
       0.41154806     -19.36925854       0.00000001       0.00000000       0.00000033       0.00000202
       0.41154806     -18.62053110       0.00000006       0.00000003       0.00008667       0.00000678
       0.41154806     -17.89242402       0.00000025       0.00000009       0.00015935       0.00001880
       0.41154806     -17.18214790       0.00000074       0.00000017       0.00020248       0.00001954
       0.41154806     -16.48745900       0.00000201       0.00000026       0.00118093       0.00002111
       0.41154806     -15.80651706       0.00000619       0.00000079       0.00258638       0.00010016
       0.41154806     -15.13778764       0.00002198       0.00000452       0.00644317       0.00055481
       0.41154806     -14.47997302       0.00007679       0.00002206       0.02198494       0.00391707
       0.41154806     -13.83196191       0.00025747       0.00008774       0.06430392       0.01698760
       0.41154806     -13.19279220       0.00090130       0.00037688       0.17447272       0.07425629
       0.41154806     -12.56162264       0.00314436       0.00170569       0.39378476       0.28950878
       0.41154806     -11.93771112       0.00922945       0.00619222       0.61329312       0.59495784
       0.41154806     -11.32039760       0.02021225       0.01541265       0.71398384       0.74417448
       0.41154806     -10.70909062       0.03239547       0.02617339       0.70637777       0.75681782
       0.41154806     -10.10325643       0.04029170       0.03295250       0.62173582       0.67651446
       0.41154806      -9.50241022       0.04307101       0.03482906       0.52117270       0.54633734
       0.41154806      -8.90610886       0.04360238       0.03452163       0.47780034       0.45171472
       0.41154806      -8.31394493       0.04425741       0.03433152       0.50966064       0.45829674
       0.41154806      -7.72554168       0.04527284       0.03486481       0.55126884       0.56184575
       0.41154806      -7.14054884       0.04543823       0.03496707       0.51903124       0.63008160
       0.41154806      -6.55863895       0.04455690       0.03406994       0.45135688       0.58924590
       0.41154806      -5.97950436       0.04365932       0.03290890       0.42126508       0.50921204
       0.41154806      -5.40285445       0.04343677       0.03212204       0.43992996       0.46150338
       0.41154806      -4.82841336       0.04363624       0.03192786       0.46967019       0.46949209
       0.41154806      -4.25591790       0.04376307       0.03205559       0.47716359       0.50393702
       0.41154806      -3.68511574       0.04376454       0.03217422       0.47182153       0.52980299
       0.41154806      -3.11576369       0.04384606       0.03217135       0.47396614       0.53999744
       0.41154806      -2.54762630       0.04401564       0.03202975       0.48322748       0.54035607
       0.41154806      -1.98047443       0.04410329       0.03184206       0.48688684       0.53901170
       0.41154806      -1.41408396       0.04411409       0.03173695       0.48313200       0.53784467
       0.41154806      -0.84823466       0.04414589       0.03178409       0.47818523       0.53876901
       0.41154806      -0.28270899       0.04420853       0.03186538       0.47622209       0.53914160
       0.41154806       0.28270899       0.04421025       0.03186000       0.47615050       0.53893018
       0.41154806       0.84823466       0.04414550       0.03177325       0.47795330       0.53820344
       0.41154806       1.41408396       0.04410179       0.03173048       0.48266815       0.53712152
       0.41154806       1.98047443       0.04407894       0.03184209       0.48618200       0.53820544
       0.41154806       2.54762630       0.04399037       0.03202997       0.48243010       0.53942456
       0.41154806       3.11576369       0.04382929       0.03216635       0.47338057       0.53882381
       0.41154806       3.68511574       0.04375113       0.03216551       0.47155913       0.52825643
       0.41154806       4.25591790       0.04373928       0.03204762       0.47689196       0.50204071
       0.41154806       4.82841336       0.04359897       0.03192295       0.46892642       0.46763559
       0.41154806       5.40285445       0.04340130       0.03212359       0.43891298       0.46042805
       0.41154806       5.97950436       0.04364365       0.03291679       0.42085510       0.50907235
       0.41154806       6.55863895       0.04455630       0.03407863       0.45186277       0.58937189
       0.41154806       7.14054884       0.04542861       0.03496420       0.51966382       0.62913626
       0.41154806       7.72554168       0.04524142       0.03484622       0.55072403       0.55962002
       0.41154806       8.31394493       0.04422486       0.03431797       0.50852964       0.45714260
       0.41154806       8.90610886       0.04358661       0.03452048       0.47782633       0.45262091
       0.41154806       9.50241022       0.04304667       0.03481303       0.52259409       0.54854294
       0.41154806      10.10325643       0.04020194       0.03287245       0.62349887       0.67844992
       0.41154806      10.70909062       0.03221129       0.02600521       0.70708450       0.75731468
       0.41154806      11.32039760       0.02000140       0.01522613       0.71303635       0.74279136
       0.41154806      11.93771112       0.00908722       0.00607834       0.61024822       0.59065444
       0.41154806      12.56162264       0.00308385       0.00166569       0.38943746       0.28422299
       0.41154806      13.19279220       0.00088279       0.00036758       0.17167440       0.07238768
       0.41154806      13.83196191       0.00025239       0.00008573       0.06316744       0.01655589
       0.41154806      14.47997302       0.00007528       0.00002153       0.02158468       0.00379854
       0.41154806      15.13778764       0.00002152       0.00000439       0.00633425       0.00053601
       0.41154806      15.80651706       0.00000606       0.00000077       0.00255802       0.00009891
       0.41154806      16.48745900       0.00000197       0.00000026       0.00113454       0.00002103
       0.41154806      17.18214790       0.00000073       0.00000017       0.00020055       0.00001952
       0.41154806      17.89242402       0.00000024       0.00000009       0.00016789       0.00001780
       0.41154806      18.62053110       0.00000006       0.00000003       0.00007060       0.00000639
       0.41154806      19.36925854       0.00000001       0.00000000       0.00000030       0.00000211
       0.41154806      20.14215595       0.00000000       0.00000000       0.00000000       0.00000049
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
