 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -18.82718728       0.00000000       0.00000000       0.00000006       0.00000000
       0.41743065     -18.09941385       0.00000005       0.00000001       0.00000184       0.00000000
       0.41743065     -17.39168369       0.00000048       0.00000005       0.00003782       0.00000002
       0.41743065     -16.70128547       0.00000297       0.00000043       0.00046933       0.00000368
       0.41743065     -16.02603825       0.00001322       0.00000288       0.00337035       0.00024727
       0.41743065     -15.36415326       0.00004648       0.00001270       0.01430329       0.00309156
       0.41743065     -14.71413902       0.00014983       0.00004693       0.04364395       0.01388678
       0.41743065     -14.07473410       0.00050999       0.00019349       0.12605486       0.05464097
       0.41743065     -13.44485834       0.00180634       0.00089206       0.33055209       0.22113907
       0.41743065     -12.82357654       0.00573092       0.00358357       0.58668834       0.54425750
       0.41743065     -12.21007100       0.01424482       0.01044655       0.72654007       0.74881790
       0.41743065     -11.60362037       0.02626653       0.02104477       0.74737117       0.79904455
       0.41743065     -11.00358309       0.03659889       0.03037267       0.67993276       0.75080264
       0.41743065     -10.40938424       0.04175004       0.03451837       0.56446361       0.62202367
       0.41743065      -9.82050503       0.04347090       0.03497674       0.48801570       0.48594520
       0.41743065      -9.23647420       0.04448391       0.03471531       0.49424745       0.42936973
       0.41743065      -8.65686103       0.04563627       0.03503776       0.55059157       0.47767505
       0.41743065      -8.08126950       0.04638326       0.03568501       0.57164315       0.59239572
       0.41743065      -7.50933340       0.04611038       0.03552943       0.51979443       0.64287619
       0.41743065      -6.94071226       0.04542443       0.03457498       0.46578811       0.60149549
       0.41743065      -6.37508780       0.04511325       0.03369523       0.45848549       0.54954691
       0.41743065      -5.81216096       0.04507179       0.03315498       0.47620304       0.52712355
       0.41743065      -5.25164927       0.04482300       0.03277485       0.48130991       0.52767192
       0.41743065      -4.69328459       0.04433023       0.03237588       0.46964901       0.52576490
       0.41743065      -4.13681108       0.04408367       0.03213120       0.46711444       0.52136078
       0.41743065      -3.58198348       0.04431946       0.03225786       0.48120031       0.53316319
       0.41743065      -3.02856541       0.04469672       0.03255127       0.49363234       0.55469408
       0.41743065      -2.47632801       0.04478880       0.03266560       0.49253109       0.56616035
       0.41743065      -1.92504854       0.04455882       0.03247782       0.48364791       0.55707815
       0.41743065      -1.37450918       0.04433517       0.03219023       0.47777563       0.53969807
       0.41743065      -0.82449583       0.04433299       0.03203680       0.47661599       0.53102909
       0.41743065      -0.27479705       0.04444091       0.03201475       0.47692926       0.53073570
       0.41743065       0.27479705       0.04444092       0.03201476       0.47692985       0.53073758
       0.41743065       0.82449583       0.04433302       0.03203682       0.47661787       0.53103360
       0.41743065       1.37450918       0.04433523       0.03219021       0.47777890       0.53970318
       0.41743065       1.92504854       0.04455891       0.03247777       0.48365192       0.55708328
       0.41743065       2.47632801       0.04478890       0.03266554       0.49253507       0.56616663
       0.41743065       3.02856541       0.04469682       0.03255122       0.49363615       0.55470198
       0.41743065       3.58198348       0.04431953       0.03225782       0.48120377       0.53317187
       0.41743065       4.13681108       0.04408372       0.03213117       0.46711706       0.52136934
       0.41743065       4.69328459       0.04433030       0.03237585       0.46965106       0.52577371
       0.41743065       5.25164927       0.04482313       0.03277481       0.48131314       0.52768112
       0.41743065       5.81216096       0.04507193       0.03315494       0.47620798       0.52713030
       0.41743065       6.37508780       0.04511334       0.03369518       0.45848886       0.54954916
       0.41743065       6.94071226       0.04542444       0.03457493       0.46578641       0.60149471
       0.41743065       7.50933340       0.04611038       0.03552944       0.51978932       0.64287935
       0.41743065       8.08126950       0.04638336       0.03568514       0.57164228       0.59240770
       0.41743065       8.65686103       0.04563648       0.03503792       0.55059753       0.47768562
       0.41743065       9.23647420       0.04448411       0.03471538       0.49425225       0.42936998
       0.41743065       9.82050503       0.04347106       0.03497677       0.48801301       0.48593512
       0.41743065      10.40938424       0.04175034       0.03451857       0.56445402       0.62200921
       0.41743065      11.00358309       0.03659960       0.03037331       0.67992393       0.75079388
       0.41743065      11.60362037       0.02626757       0.02104574       0.74736874       0.79904380
       0.41743065      12.21007100       0.01424572       0.01044733       0.72654571       0.74882672
       0.41743065      12.82357654       0.00573141       0.00358394       0.58670492       0.54428122
       0.41743065      13.44485834       0.00180652       0.00089217       0.33057282       0.22116058
       0.41743065      14.07473410       0.00051004       0.00019351       0.12606511       0.05464690
       0.41743065      14.71413902       0.00014985       0.00004694       0.04364753       0.01388817
       0.41743065      15.36415326       0.00004648       0.00001270       0.01430479       0.00309205
       0.41743065      16.02603825       0.00001322       0.00000288       0.00337089       0.00024737
       0.41743065      16.70128547       0.00000297       0.00000043       0.00046944       0.00000369
       0.41743065      17.39168369       0.00000048       0.00000005       0.00003783       0.00000002
       0.41743065      18.09941385       0.00000005       0.00000001       0.00000184       0.00000000
       0.41743065      18.82718728       0.00000000       0.00000000       0.00000006       0.00000000
       0.41743065      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -18.82718728       0.00000000       0.00000000       0.00000005       0.00000000
       0.95832787     -18.09941385       0.00000005       0.00000000       0.00000152       0.00000000
       0.95832787     -17.39168369       0.00000043       0.00000004       0.00003114       0.00000001
       0.95832787     -16.70128547       0.00000268       0.00000036       0.00039215       0.00000229
       0.95832787     -16.02603825       0.00001200       0.00000252       0.00289945       0.00018449
       0.95832787     -15.36415326       0.00004220       0.00001135       0.01267979       0.00262401
       0.95832787     -14.71413902       0.00013444       0.00004158       0.03904301       0.01220086
       0.95832787     -14.07473410       0.00044750       0.00016534       0.11127350       0.04655124
       0.95832787     -13.44485834       0.00156004       0.00074429       0.29506056       0.18720655
       0.95832787     -12.82357654       0.00496060       0.00300953       0.54954248       0.49569587
       0.95832787     -12.21007100       0.01257455       0.00902255       0.70642706       0.72261279
       0.95832787     -11.60362037       0.02393863       0.01891604       0.74400879       0.79197323
       0.95832787     -11.00358309       0.03461209       0.02854000       0.69487227       0.76335491
       0.95832787     -10.40938424       0.04071982       0.03371710       0.59236254       0.65913976
       0.95832787      -9.82050503       0.04304971       0.03494344       0.50782125       0.53172810
       0.95832787      -9.23647420       0.04411093       0.03486013       0.48864836       0.45847858
       0.95832787      -8.65686103       0.04498043       0.03487041       0.51464306       0.46188437
       0.95832787      -8.08126950       0.04553540       0.03500153       0.53214916       0.51054361
       0.95832787      -7.50933340       0.04551787       0.03472525       0.51545970       0.53548194
       0.95832787      -6.94071226       0.04528220       0.03407456       0.49905060       0.51841599
       0.95832787      -6.37508780       0.04524371       0.03349684       0.50915903       0.49808464
       0.95832787      -5.81216096       0.04524294       0.03311337       0.52633312       0.49589813
       0.95832787      -5.25164927       0.04493376       0.03276217       0.52380673       0.50285466
       0.95832787      -4.69328459       0.04440480       0.03233442       0.50759716       0.49928561
       0.95832787      -4.13681108       0.04412150       0.03205958       0.50237004       0.49334844
       0.95832787      -3.58198348       0.04426790       0.03212144       0.51147361       0.50194131
       0.95832787      -3.02856541       0.04454425       0.03233006       0.51873643       0.51858724
       0.95832787      -2.47632801       0.04458889       0.03238462       0.51621547       0.52559722
       0.95832787      -1.92504854       0.04440007       0.03220436       0.51099712       0.51601518
       0.95832787      -1.37450918       0.04426737       0.03200298       0.51093487       0.50434652
       0.95832787      -0.82449583       0.04434046       0.03196201       0.51389887       0.50394010
       0.95832787      -0.27479705       0.04448667       0.03201984       0.51600482       0.50989245
       0.95832787       0.27479705       0.04448667       0.03201984       0.51600463       0.50989322
       0.95832787       0.82449583       0.04434044       0.03196200       0.51389857       0.50394137
       0.95832787       1.37450918       0.04426734       0.03200294       0.51093487       0.50434653
       0.95832787       1.92504854       0.04440005       0.03220428       0.51099728       0.51601364
       0.95832787       2.47632801       0.04458888       0.03238451       0.51621555       0.52559560
       0.95832787       3.02856541       0.04454425       0.03232995       0.51873672       0.51858638
       0.95832787       3.58198348       0.04426790       0.03212134       0.51147416       0.50194055
       0.95832787       4.13681108       0.04412148       0.03205948       0.50237016       0.49334704
       0.95832787       4.69328459       0.04440479       0.03233431       0.50759649       0.49928409
       0.95832787       5.25164927       0.04493379       0.03276207       0.52380656       0.50285425
       0.95832787       5.81216096       0.04524300       0.03311328       0.52633468       0.49589742
       0.95832787       6.37508780       0.04524375       0.03349676       0.50916067       0.49808193
       0.95832787       6.94071226       0.04528221       0.03407449       0.49904965       0.51841237
       0.95832787       7.50933340       0.04551789       0.03472524       0.51545700       0.53548141
       0.95832787       8.08126950       0.04553548       0.03500160       0.53214898       0.51054827
       0.95832787       8.65686103       0.04498058       0.03487050       0.51464615       0.46188833
       0.95832787       9.23647420       0.04411108       0.03486019       0.48864960       0.45847580
       0.95832787       9.82050503       0.04304988       0.03494352       0.50781645       0.53171778
       0.95832787      10.40938424       0.04072019       0.03371740       0.59235315       0.65912767
       0.95832787      11.00358309       0.03461286       0.02854072       0.69486506       0.76334854
       0.95832787      11.60362037       0.02393965       0.01891698       0.74400784       0.79197418
       0.95832787      12.21007100       0.01257538       0.00902326       0.70643423       0.72262368
       0.95832787      12.82357654       0.00496103       0.00300985       0.54956026       0.49572078
       0.95832787      13.44485834       0.00156020       0.00074438       0.29508004       0.18722543
       0.95832787      14.07473410       0.00044755       0.00016536       0.11128250       0.04655620
       0.95832787      14.71413902       0.00013445       0.00004158       0.03904623       0.01220210
       0.95832787      15.36415326       0.00004220       0.00001136       0.01268115       0.00262445
       0.95832787      16.02603825       0.00001200       0.00000252       0.00289993       0.00018457
       0.95832787      16.70128547       0.00000268       0.00000036       0.00039224       0.00000229
       0.95832787      17.39168369       0.00000043       0.00000004       0.00003115       0.00000001
       0.95832787      18.09941385       0.00000005       0.00000000       0.00000152       0.00000000
       0.95832787      18.82718728       0.00000000       0.00000000       0.00000005       0.00000000
       0.95832787      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000001
       1.50277824     -18.82718728       0.00000000       0.00000000       0.00000003       0.00000000
       1.50277824     -18.09941385       0.00000004       0.00000000       0.00000109       0.00000000
       1.50277824     -17.39168369       0.00000036       0.00000003       0.00002209       0.00000001
       1.50277824     -16.70128547       0.00000223       0.00000027       0.00028371       0.00000094
       1.50277824     -16.02603825       0.00001007       0.00000196       0.00220126       0.00010540
       1.50277824     -15.36415326       0.00003551       0.00000925       0.01016871       0.00192033
       1.50277824     -14.71413902       0.00011113       0.00003364       0.03202204       0.00968190
       1.50277824     -14.07473410       0.00035612       0.00012597       0.08944767       0.03531244
       1.50277824     -13.44485834       0.00120307       0.00053971       0.23880892       0.13770311
       1.50277824     -12.82357654       0.00381933       0.00218856       0.48091716       0.40751060
       1.50277824     -12.21007100       0.00996937       0.00685302       0.66453235       0.66652332
       1.50277824     -11.60362037       0.01998583       0.01534836       0.73181692       0.77168531
       1.50277824     -11.00358309       0.03075961       0.02496881       0.71298628       0.77442766
       1.50277824     -10.40938424       0.03828763       0.03160561       0.63681275       0.70830291
       1.50277824      -9.82050503       0.04188389       0.03428833       0.55128179       0.60448654
       1.50277824      -9.23647420       0.04338240       0.03482372       0.50346755       0.51826725
       1.50277824      -8.65686103       0.04414817       0.03475667       0.49335897       0.47762663
       1.50277824      -8.08126950       0.04455973       0.03452167       0.49582168       0.46677166
