 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000001       0.00000000
       0.41154806     -20.14215595       0.00000000       0.00000000       0.00000020       0.00000003
       0.41154806     -19.36925854       0.00000001       0.00000001       0.00000273       0.00000062
       0.41154806     -18.62053110       0.00000008       0.00000004       0.00001785       0.00000623
       0.41154806     -17.89242402       0.00000034       0.00000011       0.00006502       0.00001848
       0.41154806     -17.18214790       0.00000105       0.00000019       0.00024756       0.00001078
       0.41154806     -16.48745900       0.00000305       0.00000036       0.00118194       0.00005177
       0.41154806     -15.80651706       0.00000985       0.00000143       0.00256269       0.00008397
       0.41154806     -15.13778764       0.00003445       0.00000796       0.00915136       0.00088057
       0.41154806     -14.47997302       0.00011681       0.00003523       0.03361295       0.00680258
       0.41154806     -13.83196191       0.00039212       0.00014005       0.09819320       0.02871542
       0.41154806     -13.19279220       0.00137663       0.00062313       0.25812505       0.12548668
       0.41154806     -12.56162264       0.00459192       0.00268945       0.51545836       0.42144121
       0.41154806     -11.93771112       0.01233983       0.00871282       0.69796823       0.69842352
       0.41154806     -11.32039760       0.02439534       0.01911497       0.74895107       0.78811384
       0.41154806     -10.70909062       0.03564919       0.02916139       0.70194540       0.76152455
       0.41154806     -10.10325643       0.04154879       0.03418129       0.59087130       0.64963431
       0.41154806      -9.50241022       0.04308089       0.03494300       0.49274021       0.50945884
       0.41154806      -8.90610886       0.04345987       0.03440291       0.47231696       0.43180251
       0.41154806      -8.31394493       0.04442463       0.03442682       0.52302306       0.46791381
       0.41154806      -7.72554168       0.04549600       0.03502002       0.55520008       0.58299497
       0.41154806      -7.14054884       0.04553906       0.03489755       0.51113791       0.63213189
       0.41154806      -6.55863895       0.04474737       0.03393849       0.45211134       0.58360579
       0.41154806      -5.97950436       0.04401602       0.03292720       0.43250463       0.51490844
       0.41154806      -5.40285445       0.04375437       0.03227588       0.44783219       0.47874860
       0.41154806      -4.82841336       0.04377296       0.03203717       0.46605575       0.48363920
       0.41154806      -4.25591790       0.04389531       0.03202582       0.47321118       0.50443162
       0.41154806      -3.68511574       0.04408042       0.03214098       0.47695298       0.52542160
       0.41154806      -3.11576369       0.04424903       0.03228797       0.48183020       0.54207770
       0.41154806      -2.54762630       0.04428411       0.03231055       0.48448248       0.54894359
       0.41154806      -1.98047443       0.04419102       0.03216998       0.48256290       0.54529905
       0.41154806      -1.41408396       0.04416734       0.03199697       0.48007748       0.53729076
       0.41154806      -0.84823466       0.04428878       0.03194825       0.47828244       0.53452223
       0.41154806      -0.28270899       0.04443085       0.03197527       0.47730155       0.53509824
       0.41154806       0.28270899       0.04441899       0.03196769       0.47685402       0.53451750
       0.41154806       0.84823466       0.04426692       0.03192634       0.47730045       0.53282308
       0.41154806       1.41408396       0.04414828       0.03196867       0.47894021       0.53482220
       0.41154806       1.98047443       0.04416020       0.03214948       0.48115604       0.54245006
       0.41154806       2.54762630       0.04421879       0.03230740       0.48241430       0.54601580
       0.41154806       3.11576369       0.04415928       0.03229506       0.47945855       0.53902045
       0.41154806       3.68511574       0.04399714       0.03214105       0.47523924       0.52169601
       0.41154806       4.25591790       0.04381691       0.03201424       0.47207545       0.49983024
       0.41154806       4.82841336       0.04366698       0.03202848       0.46410705       0.47892899
       0.41154806       5.40285445       0.04361670       0.03229604       0.44448171       0.47607687
       0.41154806       5.97950436       0.04390197       0.03297732       0.42992168       0.51513377
       0.41154806       6.55863895       0.04469557       0.03398608       0.45237128       0.58486438
       0.41154806       7.14054884       0.04550445       0.03489991       0.51308302       0.63072498
       0.41154806       7.72554168       0.04540380       0.03496189       0.55454149       0.57702148
       0.41154806       8.31394493       0.04429090       0.03437449       0.51912788       0.46348513
       0.41154806       8.90610886       0.04336663       0.03440605       0.47059068       0.43350183
       0.41154806       9.50241022       0.04301875       0.03493939       0.49571986       0.51578719
       0.41154806      10.10325643       0.04137732       0.03403429       0.59654237       0.65633073
       0.41154806      10.70909062       0.03522124       0.02875761       0.70570619       0.76447082
       0.41154806      11.32039760       0.02380847       0.01857794       0.74853124       0.78640172
       0.41154806      11.93771112       0.01187741       0.00832458       0.69226397       0.68967823
       0.41154806      12.56162264       0.00436734       0.00252974       0.50374651       0.40503470
       0.41154806      13.19279220       0.00130144       0.00058173       0.24775558       0.11731161
       0.41154806      13.83196191       0.00037106       0.00013124       0.09360047       0.02682965
       0.41154806      14.47997302       0.00011069       0.00003306       0.03189128       0.00628955
       0.41154806      15.13778764       0.00003252       0.00000739       0.00858736       0.00078199
       0.41154806      15.80651706       0.00000927       0.00000133       0.00242529       0.00007716
       0.41154806      16.48745900       0.00000290       0.00000034       0.00110351       0.00004429
       0.41154806      17.18214790       0.00000102       0.00000019       0.00023004       0.00001041
       0.41154806      17.89242402       0.00000033       0.00000010       0.00006540       0.00001741
       0.41154806      18.62053110       0.00000008       0.00000003       0.00001874       0.00000592
       0.41154806      19.36925854       0.00000001       0.00000001       0.00000289       0.00000064
       0.41154806      20.14215595       0.00000000       0.00000000       0.00000021       0.00000003
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000001       0.00000000
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
