 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000000       0.00000001
       0.41154806     -20.14215595       0.00000000       0.00000000       0.00000002       0.00000008
       0.41154806     -19.36925854       0.00000001       0.00000001       0.00000369       0.00000090
       0.41154806     -18.62053110       0.00000007       0.00000003       0.00028887       0.00000691
       0.41154806     -17.89242402       0.00000029       0.00000010       0.00010817       0.00002335
       0.41154806     -17.18214790       0.00000088       0.00000019       0.00024308       0.00002003
       0.41154806     -16.48745900       0.00000243       0.00000030       0.00128497       0.00003385
       0.41154806     -15.80651706       0.00000761       0.00000101       0.00256887       0.00008633
       0.41154806     -15.13778764       0.00002675       0.00000573       0.00762520       0.00065615
       0.41154806     -14.47997302       0.00009187       0.00002683       0.02713406       0.00501827
       0.41154806     -13.83196191       0.00030687       0.00010618       0.07880773       0.02162592
       0.41154806     -13.19279220       0.00107353       0.00046290       0.20906650       0.09405530
       0.41154806     -12.56162264       0.00367485       0.00206036       0.44689423       0.34559275
       0.41154806     -11.93771112       0.01039828       0.00714887       0.65271063       0.64481485
       0.41154806     -11.32039760       0.02183115       0.01690531       0.73131368       0.76771791
       0.41154806     -10.70909062       0.03369436       0.02747288       0.70644673       0.76331091
       0.41154806     -10.10325643       0.04081549       0.03355947       0.61008532       0.66963841
       0.41154806      -9.50241022       0.04308461       0.03492945       0.50930765       0.53296892
       0.41154806      -8.90610886       0.04352394       0.03445836       0.47420858       0.44197868
       0.41154806      -8.31394493       0.04428904       0.03430997       0.51402785       0.45806132
       0.41154806      -7.72554168       0.04535638       0.03487917       0.55418848       0.56731336
       0.41154806      -7.14054884       0.04549951       0.03493754       0.51839540       0.63171112
       0.41154806      -6.55863895       0.04464214       0.03405441       0.45338203       0.59058797
       0.41154806      -5.97950436       0.04378214       0.03295731       0.42580236       0.51533989
       0.41154806      -5.40285445       0.04353970       0.03218423       0.44197654       0.46966353
       0.41154806      -4.82841336       0.04367994       0.03192488       0.46693346       0.47311049
       0.41154806      -4.25591790       0.04379293       0.03198810       0.47450760       0.50021015
       0.41154806      -3.68511574       0.04382419       0.03213590       0.47257614       0.52436125
       0.41154806      -3.11576369       0.04390981       0.03221809       0.47523641       0.53813921
       0.41154806      -2.54762630       0.04404991       0.03212350       0.48191446       0.54100588
       0.41154806      -1.98047443       0.04411778       0.03190723       0.48408063       0.53743623
       0.41154806      -1.41408396       0.04412887       0.03174599       0.48116989       0.53236594
       0.41154806      -0.84823466       0.04415069       0.03177038       0.47674032       0.53205714
       0.41154806      -0.28270899       0.04419037       0.03186328       0.47421219       0.53348081
       0.41154806       0.28270899       0.04418377       0.03186649       0.47409430       0.53351079
       0.41154806       0.84823466       0.04413150       0.03177872       0.47636450       0.53212134
       0.41154806       1.41408396       0.04410730       0.03175347       0.48067598       0.53233354
       0.41154806       1.98047443       0.04411406       0.03190485       0.48385496       0.53709801
       0.41154806       2.54762630       0.04406648       0.03211158       0.48204796       0.54040831
       0.41154806       3.11576369       0.04391792       0.03221029       0.47523564       0.53763097
       0.41154806       3.68511574       0.04380010       0.03214173       0.47201508       0.52413548
       0.41154806       4.25591790       0.04375646       0.03199742       0.47375510       0.49999254
       0.41154806       4.82841336       0.04366917       0.03192194       0.46661937       0.47259417
       0.41154806       5.40285445       0.04355481       0.03217424       0.44206513       0.46920674
       0.41154806       5.97950436       0.04378434       0.03296131       0.42571959       0.51556083
       0.41154806       6.55863895       0.04461168       0.03407701       0.45291578       0.59133308
       0.41154806       7.14054884       0.04546794       0.03495343       0.51809960       0.63190113
       0.41154806       7.72554168       0.04535884       0.03486597       0.55426605       0.56637477
       0.41154806       8.31394493       0.04431645       0.03428449       0.51427071       0.45712193
       0.41154806       8.90610886       0.04354127       0.03444715       0.47448198       0.44213982
       0.41154806       9.50241022       0.04307654       0.03492514       0.50974414       0.53395845
       0.41154806      10.10325643       0.04078522       0.03352812       0.61093800       0.67042840
       0.41154806      10.70909062       0.03363677       0.02739604       0.70724689       0.76334046
       0.41154806      11.32039760       0.02175811       0.01681535       0.73160955       0.76691141
       0.41154806      11.93771112       0.01034285       0.00709159       0.65230908       0.64268808
       0.41154806      12.56162264       0.00364904       0.00203928       0.44585227       0.34263789
       0.41154806      13.19279220       0.00106531       0.00045777       0.20825161       0.09284337
       0.41154806      13.83196191       0.00030467       0.00010506       0.07844481       0.02134295
       0.41154806      14.47997302       0.00009124       0.00002654       0.02697652       0.00494509
       0.41154806      15.13778764       0.00002655       0.00000567       0.00757490       0.00064359
       0.41154806      15.80651706       0.00000755       0.00000100       0.00256214       0.00008509
       0.41154806      16.48745900       0.00000242       0.00000029       0.00127220       0.00003299
       0.41154806      17.18214790       0.00000087       0.00000018       0.00024258       0.00001959
       0.41154806      17.89242402       0.00000029       0.00000010       0.00010927       0.00002277
       0.41154806      18.62053110       0.00000007       0.00000003       0.00029455       0.00000681
       0.41154806      19.36925854       0.00000001       0.00000001       0.00000367       0.00000092
       0.41154806      20.14215595       0.00000000       0.00000000       0.00000002       0.00000008
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000000       0.00000002
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
