 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000000       0.00000003
       0.41154806     -20.14215595       0.00000000       0.00000000       0.00000002       0.00000011
       0.41154806     -19.36925854       0.00000001       0.00000000       0.00000038       0.00000028
       0.41154806     -18.62053110       0.00000008       0.00000001       0.00000504       0.00000031
       0.41154806     -17.89242402       0.00000039       0.00000003       0.00003959       0.00000003
       0.41154806     -17.18214790       0.00000161       0.00000011       0.00021252       0.00000021
       0.41154806     -16.48745900       0.00000599       0.00000077       0.00094826       0.00007585
       0.41154806     -15.80651706       0.00002145       0.00000472       0.00439003       0.00055732
       0.41154806     -15.13778764       0.00007368       0.00002119       0.01774558       0.00406591
       0.41154806     -14.47997302       0.00025316       0.00008491       0.05716074       0.01868596
       0.41154806     -13.83196191       0.00091633       0.00038474       0.16968498       0.08382575
       0.41154806     -13.19279220       0.00323904       0.00178146       0.40735111       0.31431592
       0.41154806     -12.56162264       0.00949783       0.00644541       0.63119106       0.61429797
       0.41154806     -11.93771112       0.02064924       0.01589196       0.71820486       0.75041216
       0.41154806     -11.32039760       0.03271111       0.02670344       0.69262957       0.75131918
       0.41154806     -10.70909062       0.04033655       0.03329729       0.59647572       0.65729221
       0.41154806     -10.10325643       0.04342619       0.03518667       0.51090888       0.52750187
       0.41154806      -9.50241022       0.04482621       0.03535561       0.49982237       0.45759537
       0.41154806      -8.90610886       0.04600739       0.03565150       0.54825076       0.49162288
       0.41154806      -8.31394493       0.04673310       0.03617891       0.57173500       0.60255938
       0.41154806      -7.72554168       0.04638477       0.03587394       0.51752883       0.65370295
       0.41154806      -7.14054884       0.04559671       0.03472028       0.45821853       0.60201375
       0.41154806      -6.55863895       0.04528711       0.03375790       0.45351953       0.53950690
       0.41154806      -5.97950436       0.04538190       0.03335205       0.48285124       0.52226624
       0.41154806      -5.40285445       0.04520577       0.03319767       0.49362673       0.54108646
       0.41154806      -4.82841336       0.04465727       0.03289172       0.47723465       0.55261875
       0.41154806      -4.25591790       0.04435403       0.03258498       0.47007936       0.54969634
       0.41154806      -3.68511574       0.04461809       0.03257854       0.48549469       0.55451192
       0.41154806      -3.11576369       0.04507000       0.03279096       0.50290997       0.57145643
       0.41154806      -2.54762630       0.04515923       0.03288531       0.50329054       0.58209785
       0.41154806      -1.98047443       0.04487513       0.03270292       0.49335736       0.57272087
       0.41154806      -1.41408396       0.04464387       0.03248905       0.48692804       0.55993950
       0.41154806      -0.84823466       0.04471984       0.03242900       0.48652318       0.55698881
       0.41154806      -0.28270899       0.04491632       0.03249635       0.48776510       0.56315946
       0.41154806       0.28270899       0.04491633       0.03249635       0.48776546       0.56316018
       0.41154806       0.84823466       0.04471986       0.03242901       0.48652424       0.55699029
       0.41154806       1.41408396       0.04464388       0.03248906       0.48692948       0.55994101
       0.41154806       1.98047443       0.04487512       0.03270292       0.49335852       0.57272261
       0.41154806       2.54762630       0.04515922       0.03288531       0.50329130       0.58210076
       0.41154806       3.11576369       0.04507001       0.03279096       0.50291111       0.57146038
       0.41154806       3.68511574       0.04461811       0.03257853       0.48549647       0.55451576
       0.41154806       4.25591790       0.04435405       0.03258495       0.47008076       0.54969993
       0.41154806       4.82841336       0.04465728       0.03289169       0.47723503       0.55262345
       0.41154806       5.40285445       0.04520578       0.03319767       0.49362746       0.54109300
       0.41154806       5.97950436       0.04538192       0.03335204       0.48285364       0.52227181
       0.41154806       6.55863895       0.04528714       0.03375785       0.45352185       0.53950910
       0.41154806       7.14054884       0.04559670       0.03472021       0.45821815       0.60201352
       0.41154806       7.72554168       0.04638474       0.03587390       0.51752618       0.65370524
       0.41154806       8.31394493       0.04673311       0.03617896       0.57173472       0.60256677
       0.41154806       8.90610886       0.04600745       0.03565157       0.54825387       0.49162840
       0.41154806       9.50241022       0.04482629       0.03535565       0.49982401       0.45759438
       0.41154806      10.10325643       0.04342631       0.03518673       0.51090613       0.52749553
       0.41154806      10.70909062       0.04033683       0.03329753       0.59646996       0.65728534
       0.41154806      11.32039760       0.03271167       0.02670397       0.69262586       0.75131677
       0.41154806      11.93771112       0.02064990       0.01589256       0.71820616       0.75041565
       0.41154806      12.56162264       0.00949829       0.00644579       0.63119925       0.61431058
       0.41154806      13.19279220       0.00323923       0.00178160       0.40736506       0.31433344
       0.41154806      13.83196191       0.00091639       0.00038477       0.16969391       0.08383242
       0.41154806      14.47997302       0.00025317       0.00008491       0.05716387       0.01868736
       0.41154806      15.13778764       0.00007368       0.00002119       0.01774670       0.00406631
       0.41154806      15.80651706       0.00002145       0.00000472       0.00439037       0.00055741
       0.41154806      16.48745900       0.00000599       0.00000077       0.00094829       0.00007585
       0.41154806      17.18214790       0.00000161       0.00000011       0.00021252       0.00000021
       0.41154806      17.89242402       0.00000039       0.00000003       0.00003959       0.00000003
       0.41154806      18.62053110       0.00000008       0.00000001       0.00000504       0.00000031
       0.41154806      19.36925854       0.00000001       0.00000000       0.00000038       0.00000028
       0.41154806      20.14215595       0.00000000       0.00000000       0.00000002       0.00000011
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000000       0.00000003
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
