 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -18.82718728       0.00000000       0.00000000       0.00000070       0.00000184
       0.41743065     -18.09941385       0.00000000       0.00000000       0.00000002       0.00000004
       0.41743065     -17.39168369       0.00000000       0.00000000       0.00000002       0.00000003
       0.41743065     -16.70128547       0.00000001       0.00000000       0.00000002       0.00000002
       0.41743065     -16.02603825       0.00000005       0.00000000       0.00000015       0.00000000
       0.41743065     -15.36415326       0.00000022       0.00000001       0.00000555       0.00000001
       0.41743065     -14.71413902       0.00000077       0.00000010       0.00007079       0.00000282
       0.41743065     -14.07473410       0.00000225       0.00000034       0.00030081       0.00002596
       0.41743065     -13.44485834       0.00000655       0.00000094       0.00093736       0.00013932
       0.41743065     -12.82357654       0.00002101       0.00000368       0.00286092       0.00056469
       0.41743065     -12.21007100       0.00006957       0.00001661       0.01042990       0.00262023
       0.41743065     -11.60362037       0.00022401       0.00006646       0.03624774       0.01206988
       0.41743065     -11.00358309       0.00072884       0.00026335       0.11134282       0.05119058
       0.41743065     -10.40938424       0.00239129       0.00111382       0.28841468       0.19499505
       0.41743065      -9.82050503       0.00701668       0.00416757       0.52515745       0.47316724
       0.41743065      -9.23647420       0.01621660       0.01140474       0.67368969       0.67974077
       0.41743065      -8.65686103       0.02813960       0.02170180       0.70616689       0.74305281
       0.41743065      -8.08126950       0.03784490       0.03027374       0.65575943       0.70863247
       0.41743065      -7.50933340       0.04283594       0.03439247       0.57110691       0.61485251
       0.41743065      -6.94071226       0.04452310       0.03530520       0.51550804       0.52129480
       0.41743065      -6.37508780       0.04505315       0.03508758       0.51855679       0.48825846
       0.41743065      -5.81216096       0.04553814       0.03503498       0.55204535       0.54142003
       0.41743065      -5.25164927       0.04560329       0.03492586       0.53748133       0.60720700
       0.41743065      -4.69328459       0.04476561       0.03398847       0.46883917       0.58234027
       0.41743065      -4.13681108       0.04360332       0.03247354       0.41945591       0.48609152
       0.41743065      -3.58198348       0.04299281       0.03112113       0.42956615       0.39863565
       0.41743065      -3.02856541       0.04316919       0.03052347       0.48170551       0.37430929
       0.41743065      -2.47632801       0.04354989       0.03058127       0.51659705       0.40655980
       0.41743065      -1.92504854       0.04363876       0.03059608       0.51378905       0.44509728
       0.41743065      -1.37450918       0.04348699       0.03021096       0.50742333       0.45378954
       0.41743065      -0.82449583       0.04333374       0.02956763       0.52078194       0.43260817
       0.41743065      -0.27479705       0.04329173       0.02907432       0.54188636       0.40967438
       0.41743065       0.27479705       0.04329174       0.02907429       0.54188680       0.40967444
       0.41743065       0.82449583       0.04333376       0.02956756       0.52078400       0.43260824
       0.41743065       1.37450918       0.04348702       0.03021085       0.50742776       0.45378893
       0.41743065       1.92504854       0.04363877       0.03059597       0.51379454       0.44509500
       0.41743065       2.47632801       0.04354984       0.03058118       0.51660039       0.40655592
       0.41743065       3.02856541       0.04316909       0.03052341       0.48170483       0.37430637
       0.41743065       3.58198348       0.04299273       0.03112112       0.42956443       0.39863564
       0.41743065       4.13681108       0.04360330       0.03247355       0.41945677       0.48609310
       0.41743065       4.69328459       0.04476562       0.03398847       0.46884263       0.58234004
       0.41743065       5.25164927       0.04560328       0.03492583       0.53748324       0.60720175
       0.41743065       5.81216096       0.04553809       0.03503496       0.55204278       0.54141381
       0.41743065       6.37508780       0.04505311       0.03508759       0.51855462       0.48825883
       0.41743065       6.94071226       0.04452302       0.03530516       0.51551030       0.52130099
       0.41743065       7.50933340       0.04283567       0.03439223       0.57111277       0.61486035
       0.41743065       8.08126950       0.03784426       0.03027314       0.65576474       0.70863721
       0.41743065       8.65686103       0.02813861       0.02170090       0.70616695       0.74305099
       0.41743065       9.23647420       0.01621565       0.01140394       0.67368145       0.67972856
       0.41743065       9.82050503       0.00701612       0.00416715       0.52513901       0.47314127
       0.41743065      10.40938424       0.00239107       0.00111369       0.28839527       0.19497353
       0.41743065      11.00358309       0.00072878       0.00026332       0.11133340       0.05118378
       0.41743065      11.60362037       0.00022399       0.00006645       0.03624443       0.01206821
       0.41743065      12.21007100       0.00006956       0.00001660       0.01042887       0.00261979
       0.41743065      12.82357654       0.00002101       0.00000368       0.00286070       0.00056461
       0.41743065      13.44485834       0.00000655       0.00000094       0.00093731       0.00013930
       0.41743065      14.07473410       0.00000225       0.00000034       0.00030079       0.00002596
       0.41743065      14.71413902       0.00000077       0.00000010       0.00007078       0.00000282
       0.41743065      15.36415326       0.00000022       0.00000001       0.00000555       0.00000001
       0.41743065      16.02603825       0.00000005       0.00000000       0.00000015       0.00000000
       0.41743065      16.70128547       0.00000001       0.00000000       0.00000002       0.00000002
       0.41743065      17.39168369       0.00000000       0.00000000       0.00000002       0.00000003
       0.41743065      18.09941385       0.00000000       0.00000000       0.00000002       0.00000004
       0.41743065      18.82718728       0.00000000       0.00000000       0.00000070       0.00000184
       0.41743065      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -18.82718728       0.00000000       0.00000000       0.00002130       0.00015104
       0.95832787     -18.09941385       0.00000000       0.00000000       0.00000002       0.00000003
       0.95832787     -17.39168369       0.00000000       0.00000000       0.00000002       0.00000003
       0.95832787     -16.70128547       0.00000001       0.00000000       0.00000002       0.00000001
       0.95832787     -16.02603825       0.00000005       0.00000000       0.00000014       0.00000000
       0.95832787     -15.36415326       0.00000021       0.00000001       0.00000485       0.00000000
       0.95832787     -14.71413902       0.00000072       0.00000009       0.00006419       0.00000228
       0.95832787     -14.07473410       0.00000212       0.00000032       0.00028106       0.00002306
       0.95832787     -13.44485834       0.00000613       0.00000088       0.00088674       0.00012860
       0.95832787     -12.82357654       0.00001938       0.00000332       0.00265672       0.00051289
       0.95832787     -12.21007100       0.00006364       0.00001484       0.00950918       0.00231391
       0.95832787     -11.60362037       0.00020339       0.00005933       0.03304600       0.01066082
       0.95832787     -11.00358309       0.00065285       0.00023081       0.10147024       0.04482792
       0.95832787     -10.40938424       0.00211952       0.00095922       0.26616423       0.17190575
       0.95832787      -9.82050503       0.00624760       0.00361430       0.50192601       0.43928532
       0.95832787      -9.23647420       0.01472389       0.01016330       0.66306653       0.66044626
       0.95832787      -8.65686103       0.02625767       0.02003250       0.70790916       0.73901583
       0.95832787      -8.08126950       0.03625514       0.02887386       0.66650362       0.71686249
       0.95832787      -7.50933340       0.04176563       0.03353862       0.58073464       0.62994006
       0.95832787      -6.94071226       0.04373899       0.03478196       0.51068368       0.52963159
       0.95832787      -6.37508780       0.04431405       0.03460361       0.49346062       0.47329401
       0.95832787      -5.81216096       0.04483113       0.03442627       0.52052207       0.49167259
       0.95832787      -5.25164927       0.04525401       0.03442587       0.53610903       0.54805349
       0.95832787      -4.69328459       0.04504297       0.03396909       0.50978262       0.56031089
       0.95832787      -4.13681108       0.04440144       0.03300419       0.47985440       0.51812819
       0.95832787      -3.58198348       0.04394762       0.03206059       0.48003168       0.47320672
       0.95832787      -3.02856541       0.04391736       0.03158988       0.49898302       0.46808022
       0.95832787      -2.47632801       0.04400886       0.03148198       0.50359694       0.49566014
       0.95832787      -1.92504854       0.04390939       0.03127732       0.48943060       0.51791189
       0.95832787      -1.37450918       0.04364511       0.03077289       0.47986425       0.51345972
       0.95832787      -0.82449583       0.04341447       0.03010554       0.48840149       0.48733319
       0.95832787      -0.27479705       0.04331549       0.02963188       0.50333709       0.46488308
       0.95832787       0.27479705       0.04331548       0.02963185       0.50333691       0.46488265
       0.95832787       0.82449583       0.04341445       0.03010546       0.48840147       0.48733218
       0.95832787       1.37450918       0.04364510       0.03077278       0.47986513       0.51345823
       0.95832787       1.92504854       0.04390937       0.03127721       0.48943183       0.51790971
       0.95832787       2.47632801       0.04400882       0.03148189       0.50359682       0.49565747
       0.95832787       3.02856541       0.04391730       0.03158983       0.49898076       0.46807867
       0.95832787       3.58198348       0.04394758       0.03206058       0.48002923       0.47320779
       0.95832787       4.13681108       0.04440144       0.03300420       0.47985424       0.51813063
       0.95832787       4.69328459       0.04504299       0.03396908       0.50978428       0.56031154
       0.95832787       5.25164927       0.04525401       0.03442584       0.53610925       0.54805056
       0.95832787       5.81216096       0.04483110       0.03442626       0.52052007       0.49167018
       0.95832787       6.37508780       0.04431403       0.03460362       0.49346043       0.47329683
       0.95832787       6.94071226       0.04373891       0.03478190       0.51068757       0.52963867
       0.95832787       7.50933340       0.04176534       0.03353835       0.58074125       0.62994778
       0.95832787       8.08126950       0.03625448       0.02887324       0.66650868       0.71686650
       0.95832787       8.65686103       0.02625671       0.02003162       0.70790858       0.73901313
       0.95832787       9.23647420       0.01472302       0.01016256       0.66305752       0.66043288
       0.95832787       9.82050503       0.00624710       0.00361394       0.50190724       0.43925934
       0.95832787      10.40938424       0.00211933       0.00095910       0.26614602       0.17188655
       0.95832787      11.00358309       0.00065279       0.00023078       0.10146178       0.04482210
       0.95832787      11.60362037       0.00020338       0.00005932       0.03304301       0.01065936
       0.95832787      12.21007100       0.00006364       0.00001484       0.00950826       0.00231353
       0.95832787      12.82357654       0.00001938       0.00000332       0.00265653       0.00051281
       0.95832787      13.44485834       0.00000613       0.00000088       0.00088669       0.00012859
       0.95832787      14.07473410       0.00000212       0.00000032       0.00028104       0.00002305
       0.95832787      14.71413902       0.00000072       0.00000009       0.00006418       0.00000228
       0.95832787      15.36415326       0.00000021       0.00000001       0.00000485       0.00000000
       0.95832787      16.02603825       0.00000005       0.00000000       0.00000014       0.00000000
       0.95832787      16.70128547       0.00000001       0.00000000       0.00000002       0.00000001
       0.95832787      17.39168369       0.00000000       0.00000000       0.00000002       0.00000003
       0.95832787      18.09941385       0.00000000       0.00000000       0.00000002       0.00000003
       0.95832787      18.82718728       0.00000000       0.00000000       0.00002066       0.00014746
       0.95832787      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -18.82718728       0.00000000       0.00000000       0.00000014       0.00000098
       1.50277824     -18.09941385       0.00000000       0.00000000       0.00000002       0.00000003
       1.50277824     -17.39168369       0.00000000       0.00000000       0.00000002       0.00000003
       1.50277824     -16.70128547       0.00000001       0.00000000       0.00000002       0.00000001
       1.50277824     -16.02603825       0.00000005       0.00000000       0.00000012       0.00000000
       1.50277824     -15.36415326       0.00000019       0.00000001       0.00000383       0.00000000
       1.50277824     -14.71413902       0.00000064       0.00000008       0.00005361       0.00000153
       1.50277824     -14.07473410       0.00000191       0.00000029       0.00024743       0.00001824
       1.50277824     -13.44485834       0.00000544       0.00000079       0.00080202       0.00011170
       1.50277824     -12.82357654       0.00001679       0.00000277       0.00233746       0.00043272
       1.50277824     -12.21007100       0.00005426       0.00001212       0.00806321       0.00184859
       1.50277824     -11.60362037       0.00017124       0.00004844       0.02795643       0.00850186
       1.50277824     -11.00358309       0.00053712       0.00018313       0.08584294       0.03532978
       1.50277824     -10.40938424       0.00170783       0.00073537       0.22874186       0.13576833
       1.50277824      -9.82050503       0.00505247       0.00278652       0.45707381       0.37749026
       1.50277824      -9.23647420       0.01228050       0.00818696       0.63833930       0.62045213
       1.50277824      -8.65686103       0.02295190       0.01715825       0.70589130       0.72797659
       1.50277824      -8.08126950       0.03326683       0.02627605       0.68348121       0.72952783
