 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       0.41743065     -18.82718728       0.00000000       0.00000000       0.00000002       0.00000032
       0.41743065     -18.09941385       0.00000001       0.00000001       0.00000489       0.00000221
       0.41743065     -17.39168369       0.00000008       0.00000006       0.00002551       0.00000652
       0.41743065     -16.70128547       0.00000038       0.00000013       0.00007066       0.00000595
       0.41743065     -16.02603825       0.00000160       0.00000024       0.00038068       0.00000563
       0.41743065     -15.36415326       0.00000603       0.00000078       0.00108513       0.00006428
       0.41743065     -14.71413902       0.00002094       0.00000391       0.00324581       0.00051098
       0.41743065     -14.07473410       0.00006861       0.00001791       0.01189221       0.00329416
       0.41743065     -13.44485834       0.00022346       0.00006968       0.03982692       0.01451000
       0.41743065     -12.82357654       0.00076671       0.00028941       0.11960125       0.06171189
       0.41743065     -12.21007100       0.00262898       0.00128890       0.30458673       0.23265021
       0.41743065     -11.60362037       0.00778524       0.00481542       0.53970413       0.51418169
       0.41743065     -11.00358309       0.01772903       0.01273891       0.67849264       0.69271463
       0.41743065     -10.40938424       0.03000628       0.02324219       0.70169598       0.73385521
       0.41743065      -9.82050503       0.03928706       0.03114550       0.64231292       0.67766064
       0.41743065      -9.23647420       0.04354261       0.03428592       0.55397405       0.56385154
       0.41743065      -8.65686103       0.04481984       0.03470414       0.50395280       0.46963238
       0.41743065      -8.08126950       0.04535592       0.03468010       0.51543514       0.45656843
       0.41743065      -7.50933340       0.04597956       0.03512647       0.55132562       0.53700149
       0.41743065      -6.94071226       0.04605275       0.03537646       0.53269002       0.62041324
       0.41743065      -6.37508780       0.04519326       0.03459133       0.46559105       0.60071143
       0.41743065      -5.81216096       0.04418003       0.03326704       0.42417780       0.51595109
       0.41743065      -5.25164927       0.04375266       0.03222894       0.43478075       0.45008318
       0.41743065      -4.69328459       0.04384603       0.03182813       0.46807033       0.44016702
       0.41743065      -4.13681108       0.04384406       0.03185217       0.47633444       0.46992825
       0.41743065      -3.58198348       0.04356892       0.03182396       0.46125285       0.49542679
       0.41743065      -3.02856541       0.04336924       0.03162987       0.45511557       0.50279874
       0.41743065      -2.47632801       0.04349272       0.03137592       0.46800413       0.50350608
       0.41743065      -1.92504854       0.04374299       0.03112830       0.48268205       0.50555609
       0.41743065      -1.37450918       0.04372613       0.03088970       0.47995702       0.50498356
       0.41743065      -0.82449583       0.04340223       0.03064792       0.46500061       0.49516031
       0.41743065      -0.27479705       0.04306309       0.03048652       0.45181258       0.48455811
       0.41743065       0.27479705       0.04306312       0.03048652       0.45181306       0.48455798
       0.41743065       0.82449583       0.04340227       0.03064791       0.46500150       0.49516022
       0.41743065       1.37450918       0.04372614       0.03088970       0.47995736       0.50498409
       0.41743065       1.92504854       0.04374297       0.03112832       0.48268174       0.50555711
       0.41743065       2.47632801       0.04349270       0.03137593       0.46800387       0.50350694
       0.41743065       3.02856541       0.04336924       0.03162986       0.45511581       0.50279926
       0.41743065       3.58198348       0.04356895       0.03182395       0.46125329       0.49542746
       0.41743065       4.13681108       0.04384408       0.03185217       0.47633469       0.46992973
       0.41743065       4.69328459       0.04384604       0.03182814       0.46807056       0.44016885
       0.41743065       5.25164927       0.04375266       0.03222895       0.43478109       0.45008430
       0.41743065       5.81216096       0.04418003       0.03326703       0.42417804       0.51595117
       0.41743065       6.37508780       0.04519327       0.03459131       0.46559094       0.60071135
       0.41743065       6.94071226       0.04605275       0.03537646       0.53268983       0.62041456
       0.41743065       7.50933340       0.04597955       0.03512650       0.55132592       0.53700368
       0.41743065       8.08126950       0.04535589       0.03468012       0.51543524       0.45656923
       0.41743065       8.65686103       0.04481984       0.03470415       0.50395211       0.46963130
       0.41743065       9.23647420       0.04354265       0.03428596       0.55397268       0.56384942
       0.41743065       9.82050503       0.03928719       0.03114561       0.64231166       0.67765920
       0.41743065      10.40938424       0.03000650       0.02324239       0.70169597       0.73385556
       0.41743065      11.00358309       0.01772925       0.01273910       0.67849461       0.69271741
       0.41743065      11.60362037       0.00778538       0.00481552       0.53970864       0.51418778
       0.41743065      12.21007100       0.00262904       0.00128893       0.30459185       0.23265620
       0.41743065      12.82357654       0.00076673       0.00028942       0.11960389       0.06171402
       0.41743065      13.44485834       0.00022346       0.00006968       0.03982786       0.01451049
       0.41743065      14.07473410       0.00006861       0.00001791       0.01189253       0.00329429
       0.41743065      14.71413902       0.00002094       0.00000391       0.00324591       0.00051101
       0.41743065      15.36415326       0.00000603       0.00000078       0.00108515       0.00006429
       0.41743065      16.02603825       0.00000160       0.00000024       0.00038069       0.00000563
       0.41743065      16.70128547       0.00000038       0.00000013       0.00007067       0.00000595
       0.41743065      17.39168369       0.00000008       0.00000006       0.00002552       0.00000652
       0.41743065      18.09941385       0.00000001       0.00000001       0.00000489       0.00000221
       0.41743065      18.82718728       0.00000000       0.00000000       0.00000002       0.00000032
       0.41743065      19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       0.95832787     -18.82718728       0.00000000       0.00000000       0.00000002       0.00000032
       0.95832787     -18.09941385       0.00000001       0.00000001       0.00000487       0.00000217
       0.95832787     -17.39168369       0.00000007       0.00000005       0.00002359       0.00000666
       0.95832787     -16.70128547       0.00000036       0.00000013       0.00006407       0.00000653
       0.95832787     -16.02603825       0.00000151       0.00000024       0.00036296       0.00000565
       0.95832787     -15.36415326       0.00000561       0.00000071       0.00106602       0.00005826
       0.95832787     -14.71413902       0.00001935       0.00000350       0.00306870       0.00044119
       0.95832787     -14.07473410       0.00006307       0.00001614       0.01114964       0.00295888
       0.95832787     -13.44485834       0.00020307       0.00006248       0.03742074       0.01319956
       0.95832787     -12.82357654       0.00068448       0.00025285       0.11182538       0.05496442
       0.95832787     -12.21007100       0.00232322       0.00110948       0.28681585       0.21077595
       0.95832787     -11.60362037       0.00692416       0.00419525       0.52208257       0.49242409
       0.95832787     -11.00358309       0.01609573       0.01143286       0.67144961       0.68800445
       0.95832787     -10.40938424       0.02801159       0.02164286       0.70553858       0.74459362
       0.95832787      -9.82050503       0.03767181       0.03003366       0.65476153       0.70472247
       0.95832787      -9.23647420       0.04250705       0.03386866       0.56508885       0.60155274
       0.95832787      -8.65686103       0.04409016       0.03462223       0.50149736       0.49902217
       0.95832787      -8.08126950       0.04466301       0.03452923       0.49474786       0.45717754
       0.95832787      -7.50933340       0.04525477       0.03465860       0.52553460       0.49032117
       0.95832787      -6.94071226       0.04558648       0.03481387       0.53665752       0.54857371
       0.95832787      -6.37508780       0.04525894       0.03437917       0.51162828       0.55542093
       0.95832787      -5.81216096       0.04467719       0.03348898       0.49322802       0.51419566
       0.95832787      -5.25164927       0.04436876       0.03272200       0.50435488       0.47959482
       0.95832787      -4.69328459       0.04433851       0.03239962       0.52335617       0.48303515
       0.95832787      -4.13681108       0.04420955       0.03233266       0.51948325       0.50766994
       0.95832787      -3.58198348       0.04389111       0.03217427       0.50150754       0.51974900
       0.95832787      -3.02856541       0.04364006       0.03187943       0.49502478       0.51508437
       0.95832787      -2.47632801       0.04365249       0.03155928       0.50556096       0.50753408
       0.95832787      -1.92504854       0.04381157       0.03130563       0.51809682       0.50629387
       0.95832787      -1.37450918       0.04384559       0.03112878       0.51853912       0.50692726
       0.95832787      -0.82449583       0.04370416       0.03099013       0.51148772       0.50137274
       0.95832787      -0.27479705       0.04353480       0.03090842       0.50523472       0.49448036
       0.95832787       0.27479705       0.04353482       0.03090842       0.50523508       0.49448015
       0.95832787       0.82449583       0.04370419       0.03099012       0.51148832       0.50137239
       0.95832787       1.37450918       0.04384560       0.03112878       0.51853917       0.50692729
       0.95832787       1.92504854       0.04381155       0.03130563       0.51809633       0.50629420
       0.95832787       2.47632801       0.04365247       0.03155927       0.50556061       0.50753409
       0.95832787       3.02856541       0.04364006       0.03187941       0.49502496       0.51508388
       0.95832787       3.58198348       0.04389113       0.03217424       0.50150792       0.51974848
       0.95832787       4.13681108       0.04420957       0.03233265       0.51948339       0.50767006
       0.95832787       4.69328459       0.04433851       0.03239961       0.52335619       0.48303566
       0.95832787       5.25164927       0.04436875       0.03272199       0.50435501       0.47959481
       0.95832787       5.81216096       0.04467719       0.03348896       0.49322810       0.51419485
       0.95832787       6.37508780       0.04525895       0.03437914       0.51162812       0.55542014
       0.95832787       6.94071226       0.04558648       0.03481386       0.53665738       0.54857408
       0.95832787       7.50933340       0.04525476       0.03465861       0.52553476       0.49032217
       0.95832787       8.08126950       0.04466300       0.03452924       0.49474777       0.45717760
       0.95832787       8.65686103       0.04409016       0.03462224       0.50149662       0.49902085
       0.95832787       9.23647420       0.04250711       0.03386870       0.56508753       0.60155076
       0.95832787       9.82050503       0.03767194       0.03003378       0.65476045       0.70472134
       0.95832787      10.40938424       0.02801180       0.02164306       0.70553876       0.74459420
       0.95832787      11.00358309       0.01609593       0.01143303       0.67145173       0.68800744
       0.95832787      11.60362037       0.00692428       0.00419534       0.52208711       0.49243029
       0.95832787      12.21007100       0.00232327       0.00110951       0.28682069       0.21078148
       0.95832787      12.82357654       0.00068449       0.00025286       0.11182779       0.05496627
       0.95832787      13.44485834       0.00020308       0.00006248       0.03742161       0.01319999
       0.95832787      14.07473410       0.00006307       0.00001614       0.01114994       0.00295899
       0.95832787      14.71413902       0.00001935       0.00000350       0.00306879       0.00044122
       0.95832787      15.36415326       0.00000561       0.00000071       0.00106604       0.00005827
       0.95832787      16.02603825       0.00000151       0.00000024       0.00036298       0.00000565
       0.95832787      16.70128547       0.00000036       0.00000013       0.00006408       0.00000653
       0.95832787      17.39168369       0.00000007       0.00000005       0.00002360       0.00000666
       0.95832787      18.09941385       0.00000001       0.00000001       0.00000486       0.00000217
       0.95832787      18.82718728       0.00000000       0.00000000       0.00000002       0.00000032
       0.95832787      19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       1.50277824     -18.82718728       0.00000000       0.00000000       0.00000001       0.00000030
       1.50277824     -18.09941385       0.00000001       0.00000001       0.00000471       0.00000209
       1.50277824     -17.39168369       0.00000007       0.00000005       0.00002093       0.00000684
       1.50277824     -16.70128547       0.00000033       0.00000013       0.00005396       0.00000760
       1.50277824     -16.02603825       0.00000135       0.00000023       0.00032539       0.00000580
       1.50277824     -15.36415326       0.00000493       0.00000061       0.00103152       0.00004899
       1.50277824     -14.71413902       0.00001679       0.00000285       0.00277429       0.00033900
       1.50277824     -14.07473410       0.00005424       0.00001333       0.00986544       0.00240284
       1.50277824     -13.44485834       0.00017141       0.00005142       0.03325378       0.01109285
       1.50277824     -12.82357654       0.00056003       0.00019912       0.09853039       0.04455213
       1.50277824     -12.21007100       0.00186056       0.00084552       0.25480543       0.17308145
       1.50277824     -11.60362037       0.00558270       0.00324222       0.48628330       0.44501733
       1.50277824     -11.00358309       0.01341151       0.00926935       0.65373746       0.66866078
       1.50277824     -10.40938424       0.02448942       0.01868704       0.70815210       0.75188124
       1.50277824      -9.82050503       0.03461673       0.02760573       0.67599894       0.73785538
       1.50277824      -9.23647420       0.04056687       0.03264329       0.59344235       0.65681000
       1.50277824      -8.65686103       0.04293370       0.03420564       0.51644680       0.55236249
       1.50277824      -8.08126950       0.04377831       0.03430828       0.48462116       0.48057528
