 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       0.41743065     -18.82718728       0.00000000       0.00000000       0.00000002       0.00000032
       0.41743065     -18.09941385       0.00000001       0.00000001       0.00000481       0.00000220
       0.41743065     -17.39168369       0.00000008       0.00000006       0.00002574       0.00000648
       0.41743065     -16.70128547       0.00000038       0.00000013       0.00007109       0.00000591
       0.41743065     -16.02603825       0.00000160       0.00000024       0.00038158       0.00000563
       0.41743065     -15.36415326       0.00000603       0.00000078       0.00108653       0.00006448
       0.41743065     -14.71413902       0.00002097       0.00000392       0.00325276       0.00051287
       0.41743065     -14.07473410       0.00006870       0.00001795       0.01191530       0.00330251
       0.41743065     -13.44485834       0.00022378       0.00006980       0.03989383       0.01454227
       0.41743065     -12.82357654       0.00076792       0.00028998       0.11978938       0.06185422
       0.41743065     -12.21007100       0.00263299       0.00129138       0.30495058       0.23305297
       0.41743065     -11.60362037       0.00779503       0.00482285       0.54002345       0.51458624
       0.41743065     -11.00358309       0.01774467       0.01275222       0.67863127       0.69289203
       0.41743065     -10.40938424       0.03002172       0.02325585       0.70169307       0.73386721
       0.41743065      -9.82050503       0.03929622       0.03115330       0.64221853       0.67755263
       0.41743065      -9.23647420       0.04354593       0.03428828       0.55387593       0.56370097
       0.41743065      -8.65686103       0.04482075       0.03470448       0.50392408       0.46954588
       0.41743065      -8.08126950       0.04535672       0.03468055       0.51548278       0.45659784
       0.41743065      -7.50933340       0.04598060       0.03512742       0.55137777       0.53713204
       0.41743065      -6.94071226       0.04605311       0.03537677       0.53267565       0.62050367
       0.41743065      -6.37508780       0.04519313       0.03459079       0.46556402       0.60071757
       0.41743065      -5.81216096       0.04418042       0.03326656       0.42419553       0.51596058
       0.41743065      -5.25164927       0.04375398       0.03222894       0.43483478       0.45014582
       0.41743065      -4.69328459       0.04384769       0.03182850       0.46811217       0.44027856
       0.41743065      -4.13681108       0.04384525       0.03185236       0.47634236       0.47003366
       0.41743065      -3.58198348       0.04356944       0.03182371       0.46125538       0.49548471
       0.41743065      -3.02856541       0.04336938       0.03162951       0.45512937       0.50283262
       0.41743065      -2.47632801       0.04349296       0.03137571       0.46802358       0.50354293
       0.41743065      -1.92504854       0.04374356       0.03112839       0.48269969       0.50560403
       0.41743065      -1.37450918       0.04372693       0.03089000       0.47997843       0.50502280
       0.41743065      -0.82449583       0.04340288       0.03064825       0.46502409       0.49517799
       0.41743065      -0.27479705       0.04306318       0.03048672       0.45181991       0.48456354
       0.41743065       0.27479705       0.04306262       0.03048643       0.45179713       0.48455353
       0.41743065       0.82449583       0.04340149       0.03064761       0.46497544       0.49514182
       0.41743065       1.37450918       0.04372545       0.03088937       0.47993884       0.50494273
       0.41743065       1.92504854       0.04374251       0.03112821       0.48266707       0.50550711
       0.41743065       2.47632801       0.04349243       0.03137613       0.46798423       0.50346817
       0.41743065       3.02856541       0.04336905       0.03163017       0.45510084       0.50276243
       0.41743065       3.58198348       0.04356855       0.03182405       0.46125223       0.49536521
       0.41743065       4.13681108       0.04384317       0.03185179       0.47633117       0.46982031
       0.41743065       4.69328459       0.04384466       0.03182763       0.46803359       0.44005549
       0.41743065       5.25164927       0.04375148       0.03222890       0.43472994       0.45002227
       0.41743065       5.81216096       0.04417963       0.03326751       0.42416069       0.51594346
       0.41743065       6.37508780       0.04519335       0.03459184       0.46561754       0.60070643
       0.41743065       6.94071226       0.04605245       0.03537608       0.53270569       0.62032474
       0.41743065       7.50933340       0.04597873       0.03512540       0.55127880       0.53687214
       0.41743065       8.08126950       0.04535543       0.03467945       0.51539483       0.45653537
       0.41743065       8.65686103       0.04481935       0.03470357       0.50398808       0.46971055
       0.41743065       9.23647420       0.04353980       0.03428342       0.55407664       0.56399144
       0.41743065       9.82050503       0.03927854       0.03113779       0.64241005       0.67775996
       0.41743065      10.40938424       0.02999159       0.02322891       0.70170253       0.73383933
       0.41743065      11.00358309       0.01771404       0.01272604       0.67836130       0.69253921
       0.41743065      11.60362037       0.00777585       0.00480826       0.53939824       0.51378763
       0.41743065      12.21007100       0.00262512       0.00128651       0.30423828       0.23226065
       0.41743065      12.82357654       0.00076555       0.00028887       0.11942156       0.06157467
       0.41743065      13.44485834       0.00022314       0.00006956       0.03976305       0.01447889
       0.41743065      14.07473410       0.00006851       0.00001788       0.01187014       0.00328616
       0.41743065      14.71413902       0.00002091       0.00000390       0.00323919       0.00050918
       0.41743065      15.36415326       0.00000602       0.00000078       0.00108383       0.00006410
       0.41743065      16.02603825       0.00000160       0.00000024       0.00037985       0.00000562
       0.41743065      16.70128547       0.00000038       0.00000013       0.00007027       0.00000598
       0.41743065      17.39168369       0.00000008       0.00000006       0.00002531       0.00000655
       0.41743065      18.09941385       0.00000001       0.00000001       0.00000495       0.00000222
       0.41743065      18.82718728       0.00000000       0.00000000       0.00000002       0.00000032
       0.41743065      19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       0.95832787     -18.82718728       0.00000000       0.00000000       0.00000002       0.00000031
       0.95832787     -18.09941385       0.00000001       0.00000001       0.00000480       0.00000216
       0.95832787     -17.39168369       0.00000007       0.00000005       0.00002379       0.00000662
       0.95832787     -16.70128547       0.00000036       0.00000013       0.00006445       0.00000649
       0.95832787     -16.02603825       0.00000151       0.00000024       0.00036393       0.00000565
       0.95832787     -15.36415326       0.00000561       0.00000071       0.00106731       0.00005845
       0.95832787     -14.71413902       0.00001938       0.00000351       0.00307509       0.00044281
       0.95832787     -14.07473410       0.00006316       0.00001617       0.01117117       0.00296648
       0.95832787     -13.44485834       0.00020336       0.00006258       0.03748254       0.01322823
       0.95832787     -12.82357654       0.00068553       0.00025333       0.11199752       0.05508857
       0.95832787     -12.21007100       0.00232670       0.00111159       0.28716057       0.21115019
       0.95832787     -11.60362037       0.00693283       0.00420173       0.52240535       0.49284013
       0.95832787     -11.00358309       0.01611010       0.01144506       0.67159956       0.68820082
       0.95832787     -10.40938424       0.02802652       0.02165626       0.70554873       0.74462636
       0.95832787      -9.82050503       0.03768123       0.03004209       0.65467786       0.70464204
       0.95832787      -9.23647420       0.04251065       0.03387163       0.56498698       0.60141890
       0.95832787      -8.65686103       0.04409103       0.03462277       0.50144950       0.49892871
       0.95832787      -8.08126950       0.04466346       0.03452938       0.49476323       0.45716758
       0.95832787      -7.50933340       0.04525534       0.03465888       0.52556315       0.49037671
       0.95832787      -6.94071226       0.04558657       0.03481361       0.53664140       0.54860238
       0.95832787      -6.37508780       0.04525858       0.03437810       0.51159671       0.55537927
       0.95832787      -5.81216096       0.04467713       0.03348773       0.49323008       0.51414401
       0.95832787      -5.25164927       0.04436936       0.03272103       0.50438653       0.47958225
       0.95832787      -4.69328459       0.04433938       0.03239889       0.52337928       0.48305835
       0.95832787      -4.13681108       0.04421012       0.03233180       0.51948518       0.50768234
       0.95832787      -3.58198348       0.04389118       0.03217315       0.50150797       0.51972716
       0.95832787      -3.02856541       0.04363981       0.03187834       0.49503038       0.51505378
       0.95832787      -2.47632801       0.04365229       0.03155845       0.50556305       0.50751931
       0.95832787      -1.92504854       0.04381164       0.03130519       0.51809167       0.50629972
       0.95832787      -1.37450918       0.04384592       0.03112865       0.51853898       0.50693412
       0.95832787      -0.82449583       0.04370452       0.03099016       0.51149698       0.50137039
       0.95832787      -0.27479705       0.04353489       0.03090847       0.50523928       0.49447871
       0.95832787       0.27479705       0.04353460       0.03090839       0.50522773       0.49448286
       0.95832787       0.82449583       0.04370385       0.03099009       0.51147937       0.50137502
       0.95832787       1.37450918       0.04384537       0.03112889       0.51854173       0.50692044
       0.95832787       1.92504854       0.04381151       0.03130609       0.51810252       0.50628904
       0.95832787       2.47632801       0.04365257       0.03156016       0.50555700       0.50754987
       0.95832787       3.02856541       0.04364019       0.03188053       0.49501759       0.51511455
       0.95832787       3.58198348       0.04389108       0.03217533       0.50150790       0.51976903
       0.95832787       4.13681108       0.04420913       0.03233345       0.51948368       0.50765617
       0.95832787       4.69328459       0.04433776       0.03240029       0.52333523       0.48301195
       0.95832787       5.25164927       0.04436819       0.03272296       0.50432422       0.47960768
       0.95832787       5.81216096       0.04467721       0.03349022       0.49322535       0.51424681
       0.95832787       6.37508780       0.04525923       0.03438022       0.51165815       0.55546173
       0.95832787       6.94071226       0.04558635       0.03481411       0.53667262       0.54854544
       0.95832787       7.50933340       0.04525421       0.03465828       0.52550682       0.49026642
       0.95832787       8.08126950       0.04466262       0.03452902       0.49473336       0.45718613
       0.95832787       8.65686103       0.04408940       0.03462166       0.50154464       0.49911157
       0.95832787       9.23647420       0.04250369       0.03386573       0.56518869       0.60168082
       0.95832787       9.82050503       0.03766281       0.03002547       0.65484359       0.70479842
       0.95832787      10.40938424       0.02799727       0.02162992       0.70552965       0.74455998
       0.95832787      11.00358309       0.01608193       0.01142109       0.67130554       0.68781259
       0.95832787      11.60362037       0.00691583       0.00418900       0.52177213       0.49202089
       0.95832787      12.21007100       0.00231987       0.00110746       0.28648510       0.21041516
       0.95832787      12.82357654       0.00068347       0.00025239       0.11166069       0.05484500
       0.95832787      13.44485834       0.00020279       0.00006238       0.03736166       0.01317199
       0.95832787      14.07473410       0.00006299       0.00001611       0.01112904       0.00295160
       0.95832787      14.71413902       0.00001932       0.00000349       0.00306261       0.00043966
       0.95832787      15.36415326       0.00000560       0.00000071       0.00106483       0.00005809
       0.95832787      16.02603825       0.00000151       0.00000024       0.00036207       0.00000564
       0.95832787      16.70128547       0.00000036       0.00000013       0.00006373       0.00000657
       0.95832787      17.39168369       0.00000007       0.00000005       0.00002342       0.00000670
       0.95832787      18.09941385       0.00000001       0.00000001       0.00000492       0.00000218
       0.95832787      18.82718728       0.00000000       0.00000000       0.00000002       0.00000032
       0.95832787      19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000003
       1.50277824     -18.82718728       0.00000000       0.00000000       0.00000001       0.00000030
       1.50277824     -18.09941385       0.00000001       0.00000001       0.00000465       0.00000208
       1.50277824     -17.39168369       0.00000007       0.00000005       0.00002107       0.00000680
       1.50277824     -16.70128547       0.00000033       0.00000013       0.00005426       0.00000755
       1.50277824     -16.02603825       0.00000135       0.00000023       0.00032643       0.00000580
       1.50277824     -15.36415326       0.00000494       0.00000061       0.00103267       0.00004917
       1.50277824     -14.71413902       0.00001681       0.00000286       0.00277974       0.00034020
       1.50277824     -14.07473410       0.00005431       0.00001335       0.00988432       0.00240919
       1.50277824     -13.44485834       0.00017165       0.00005150       0.03330721       0.01111611
       1.50277824     -12.82357654       0.00056085       0.00019948       0.09867627       0.04464858
       1.50277824     -12.21007100       0.00186325       0.00084707       0.25511327       0.17339843
       1.50277824     -11.60362037       0.00558959       0.00324723       0.48660790       0.44544280
       1.50277824     -11.00358309       0.01342366       0.00927952       0.65390730       0.66889019
       1.50277824     -10.40938424       0.02450322       0.01869949       0.70818563       0.75194499
       1.50277824      -9.82050503       0.03462651       0.02761480       0.67593999       0.73781487
       1.50277824      -9.23647420       0.04057116       0.03264722       0.59334911       0.65670870
       1.50277824      -8.65686103       0.04293488       0.03420661       0.51638649       0.55227137
       1.50277824      -8.08126950       0.04377863       0.03430831       0.48461033       0.48053671
