 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000001       0.00000001
       0.41154806     -20.14215595       0.00000007       0.00000001       0.00000074       0.00000017
       0.41154806     -19.36925854       0.00000094       0.00000009       0.00003348       0.00000284
       0.41154806     -18.62053110       0.00000903       0.00000106       0.00076752       0.00004239
       0.41154806     -17.89242402       0.00006287       0.00001070       0.00927674       0.00082214
       0.41154806     -17.18214790       0.00034195       0.00009363       0.06354441       0.01372712
       0.41154806     -16.48745900       0.00150415       0.00063325       0.24440817       0.11981879
       0.41154806     -15.80651706       0.00525673       0.00302272       0.50567832       0.41784873
       0.41154806     -15.13778764       0.01390347       0.00972460       0.66935495       0.66725008
       0.41154806     -14.47997302       0.02677388       0.02087791       0.70467554       0.74409910
       0.41154806     -13.83196191       0.03794299       0.03090867       0.64266733       0.69738022
       0.41154806     -13.19279220       0.04334306       0.03500847       0.54617035       0.57358592
       0.41154806     -12.56162264       0.04567166       0.03579783       0.52273069       0.50143662
       0.41154806     -11.93771112       0.04708968       0.03642325       0.55967601       0.53506951
       0.41154806     -11.32039760       0.04725877       0.03662691       0.56244813       0.60316206
       0.41154806     -10.70909062       0.04660331       0.03622130       0.51253957       0.64691269
       0.41154806     -10.10325643       0.04582154       0.03508260       0.45689387       0.59874093
       0.41154806      -9.50241022       0.04576685       0.03389500       0.45698169       0.51862342
       0.41154806      -8.90610886       0.04616825       0.03373294       0.49182428       0.51714177
       0.41154806      -8.31394493       0.04615416       0.03420490       0.49981954       0.56818752
       0.41154806      -7.72554168       0.04592396       0.03471387       0.48866680       0.61919204
       0.41154806      -7.14054884       0.04591114       0.03500408       0.49229989       0.63336171
       0.41154806      -6.55863895       0.04626509       0.03505621       0.52618001       0.61359698
       0.41154806      -5.97950436       0.04645737       0.03493325       0.55941420       0.57911761
       0.41154806      -5.40285445       0.04616024       0.03466055       0.57038645       0.53699767
       0.41154806      -4.82841336       0.04543346       0.03433777       0.56111060       0.50215299
       0.41154806      -4.25591790       0.04435654       0.03393838       0.53420061       0.47686889
       0.41154806      -3.68511574       0.04324561       0.03354351       0.50208372       0.46825662
       0.41154806      -3.11576369       0.04240880       0.03312813       0.47915094       0.46912476
       0.41154806      -2.54762630       0.04204724       0.03278035       0.48262755       0.47608168
       0.41154806      -1.98047443       0.04196996       0.03260691       0.50439279       0.49465246
       0.41154806      -1.41408396       0.04178850       0.03253946       0.51997716       0.52069171
       0.41154806      -0.84823466       0.04134745       0.03259453       0.51798308       0.55382457
       0.41154806      -0.28270899       0.04092264       0.03262131       0.50865446       0.57465194
       0.41154806       0.28270899       0.04092263       0.03262130       0.50865598       0.57465432
       0.41154806       0.84823466       0.04134741       0.03259449       0.51798660       0.55383088
       0.41154806       1.41408396       0.04178839       0.03253939       0.51998017       0.52069996
       0.41154806       1.98047443       0.04196976       0.03260682       0.50439329       0.49466090
       0.41154806       2.54762630       0.04204697       0.03278027       0.48262468       0.47608917
       0.41154806       3.11576369       0.04240849       0.03312807       0.47914490       0.46913036
       0.41154806       3.68511574       0.04324531       0.03354346       0.50207581       0.46825893
       0.41154806       4.25591790       0.04435631       0.03393832       0.53419299       0.47686630
       0.41154806       4.82841336       0.04543334       0.03433770       0.56110627       0.50214574
       0.41154806       5.40285445       0.04616026       0.03466050       0.57038722       0.53698869
       0.41154806       5.97950436       0.04645749       0.03493326       0.55941956       0.57911116
       0.41154806       6.55863895       0.04626523       0.03505630       0.52618665       0.61359535
       0.41154806       7.14054884       0.04591120       0.03500420       0.49230342       0.63336384
       0.41154806       7.72554168       0.04592398       0.03471401       0.48866669       0.61919581
       0.41154806       8.31394493       0.04615421       0.03420503       0.49981858       0.56819056
       0.41154806       8.90610886       0.04616835       0.03373305       0.49182506       0.51714204
       0.41154806       9.50241022       0.04576694       0.03389506       0.45698311       0.51861978
       0.41154806      10.10325643       0.04582156       0.03508262       0.45689333       0.59873556
       0.41154806      10.70909062       0.04660330       0.03622133       0.51253735       0.64691084
       0.41154806      11.32039760       0.04725881       0.03662698       0.56244650       0.60316462
       0.41154806      11.93771112       0.04708980       0.03642337       0.55967646       0.53507375
       0.41154806      12.56162264       0.04567182       0.03579795       0.52273186       0.50143866
       0.41154806      13.19279220       0.04334322       0.03500856       0.54617014       0.57358436
       0.41154806      13.83196191       0.03794319       0.03090884       0.64266664       0.69737868
       0.41154806      14.47997302       0.02677414       0.02087815       0.70467619       0.74409996
       0.41154806      15.13778764       0.01390368       0.00972479       0.66935824       0.66725454
       0.41154806      15.80651706       0.00525684       0.00302280       0.50568566       0.41785715
       0.41154806      16.48745900       0.00150419       0.00063327       0.24441602       0.11982360
       0.41154806      17.18214790       0.00034196       0.00009363       0.06354732       0.01372776
       0.41154806      17.89242402       0.00006287       0.00001070       0.00927715       0.00082216
       0.41154806      18.62053110       0.00000903       0.00000106       0.00076755       0.00004239
       0.41154806      19.36925854       0.00000094       0.00000009       0.00003348       0.00000284
       0.41154806      20.14215595       0.00000007       0.00000001       0.00000074       0.00000017
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000001       0.00000001
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
