 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.14215595       0.00000000       0.00000000       0.00000001       0.00000023
       0.41154806     -19.36925854       0.00000001       0.00000000       0.00000019       0.00000008
       0.41154806     -18.62053110       0.00000015       0.00000001       0.00000346       0.00000000
       0.41154806     -17.89242402       0.00000111       0.00000005       0.00005865       0.00000000
       0.41154806     -17.18214790       0.00000603       0.00000078       0.00071430       0.00000783
       0.41154806     -16.48745900       0.00002446       0.00000555       0.00485692       0.00066612
       0.41154806     -15.80651706       0.00008299       0.00002327       0.01915504       0.00459437
       0.41154806     -15.13778764       0.00028086       0.00008986       0.06072918       0.01969211
       0.41154806     -14.47997302       0.00103200       0.00042313       0.18682821       0.09332239
       0.41154806     -13.83196191       0.00366236       0.00200284       0.43929624       0.34284380
       0.41154806     -13.19279220       0.01051909       0.00712341       0.65038433       0.62638382
       0.41154806     -12.56162264       0.02216620       0.01700734       0.72166124       0.74377795
       0.41154806     -11.93771112       0.03407357       0.02771690       0.68486800       0.73348753
       0.41154806     -11.32039760       0.04107893       0.03385918       0.58341262       0.63453736
       0.41154806     -10.70909062       0.04379299       0.03561888       0.50635061       0.51960201
       0.41154806     -10.10325643       0.04522010       0.03606492       0.50960798       0.47721506
       0.41154806      -9.50241022       0.04641476       0.03652049       0.55833358       0.52700829
       0.41154806      -8.90610886       0.04699684       0.03680570       0.56941526       0.62720456
       0.41154806      -8.31394493       0.04648530       0.03610081       0.50971017       0.65753250
       0.41154806      -7.72554168       0.04559968       0.03469052       0.45388745       0.59769991
       0.41154806      -7.14054884       0.04527265       0.03375183       0.45307954       0.54274980
       0.41154806      -6.55863895       0.04542424       0.03359109       0.48292312       0.53750295
       0.41154806      -5.97950436       0.04547427       0.03376245       0.49829354       0.56645629
       0.41154806      -5.40285445       0.04515171       0.03371876       0.48594936       0.58743281
       0.41154806      -4.82841336       0.04482265       0.03343863       0.47311666       0.58550832
       0.41154806      -4.25591790       0.04492286       0.03330427       0.48156363       0.57960714
       0.41154806      -3.68511574       0.04540638       0.03347152       0.50757617       0.58018818
       0.41154806      -3.11576369       0.04577328       0.03378087       0.53089190       0.58570084
       0.41154806      -2.54762630       0.04561342       0.03393331       0.53444959       0.58619373
       0.41154806      -1.98047443       0.04507599       0.03381671       0.52193457       0.57862275
       0.41154806      -1.41408396       0.04469189       0.03355129       0.51251810       0.56592221
       0.41154806      -0.84823466       0.04479255       0.03330603       0.52094220       0.55187958
       0.41154806      -0.28270899       0.04506446       0.03318163       0.53477593       0.54324327
       0.41154806       0.28270899       0.04506447       0.03318163       0.53477609       0.54324325
       0.41154806       0.84823466       0.04479257       0.03330603       0.52094247       0.55187964
       0.41154806       1.41408396       0.04469189       0.03355131       0.51251808       0.56592249
       0.41154806       1.98047443       0.04507597       0.03381673       0.52193423       0.57862312
       0.41154806       2.54762630       0.04561340       0.03393332       0.53444931       0.58619385
       0.41154806       3.11576369       0.04577329       0.03378087       0.53089202       0.58570059
       0.41154806       3.68511574       0.04540640       0.03347151       0.50757656       0.58018786
       0.41154806       4.25591790       0.04492286       0.03330427       0.48156380       0.57960716
       0.41154806       4.82841336       0.04482263       0.03343865       0.47311638       0.58550869
       0.41154806       5.40285445       0.04515169       0.03371877       0.48594901       0.58743305
       0.41154806       5.97950436       0.04547427       0.03376244       0.49829358       0.56645607
       0.41154806       6.55863895       0.04542427       0.03359107       0.48292351       0.53750251
       0.41154806       7.14054884       0.04527267       0.03375182       0.45307978       0.54274971
       0.41154806       7.72554168       0.04559967       0.03469053       0.45388723       0.59770025
       0.41154806       8.31394493       0.04648529       0.03610082       0.50970982       0.65753273
       0.41154806       8.90610886       0.04699685       0.03680568       0.56941531       0.62720433
       0.41154806       9.50241022       0.04641478       0.03652047       0.55833399       0.52700778
       0.41154806      10.10325643       0.04522012       0.03606491       0.50960826       0.47721488
       0.41154806      10.70909062       0.04379299       0.03561889       0.50635045       0.51960230
       0.41154806      11.32039760       0.04107891       0.03385919       0.58341228       0.63453774
       0.41154806      11.93771112       0.03407356       0.02771691       0.68486779       0.73348771
       0.41154806      12.56162264       0.02216620       0.01700734       0.72166117       0.74377798
       0.41154806      13.19279220       0.01051909       0.00712341       0.65038434       0.62638374
       0.41154806      13.83196191       0.00366236       0.00200284       0.43929629       0.34284374
       0.41154806      14.47997302       0.00103200       0.00042313       0.18682827       0.09332240
       0.41154806      15.13778764       0.00028086       0.00008986       0.06072921       0.01969211
       0.41154806      15.80651706       0.00008299       0.00002327       0.01915505       0.00459437
       0.41154806      16.48745900       0.00002446       0.00000555       0.00485692       0.00066613
       0.41154806      17.18214790       0.00000603       0.00000078       0.00071430       0.00000783
       0.41154806      17.89242402       0.00000111       0.00000005       0.00005865       0.00000000
       0.41154806      18.62053110       0.00000015       0.00000001       0.00000346       0.00000000
       0.41154806      19.36925854       0.00000001       0.00000000       0.00000019       0.00000008
       0.41154806      20.14215595       0.00000000       0.00000000       0.00000001       0.00000023
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
