 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41154806     -27.14774673       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -25.76346660       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -24.61959045       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -23.60038403       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -22.66167523       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
       0.41154806     -20.94387171       0.00000000       0.00000000       0.00000002       0.00000000
       0.41154806     -20.14215595       0.00000008       0.00000000       0.00000182       0.00000002
       0.41154806     -19.36925854       0.00000140       0.00000010       0.00008426       0.00000081
       0.41154806     -18.62053110       0.00001556       0.00000194       0.00192191       0.00006474
       0.41154806     -17.89242402       0.00012228       0.00002683       0.02253689       0.00275531
       0.41154806     -17.18214790       0.00070097       0.00024794       0.13461568       0.04426369
       0.41154806     -16.48745900       0.00296337       0.00149639       0.38530623       0.25847927
       0.41154806     -15.80651706       0.00918067       0.00589894       0.60682350       0.56814870
       0.41154806     -15.13778764       0.02059146       0.01531529       0.69782295       0.72020234
       0.41154806     -14.47997302       0.03354644       0.02682138       0.68170709       0.72782329
       0.41154806     -13.83196191       0.04181754       0.03389751       0.59316702       0.63183274
       0.41154806     -13.19279220       0.04497800       0.03562327       0.52258417       0.51810522
       0.41154806     -12.56162264       0.04664311       0.03617750       0.54036900       0.51140001
       0.41154806     -11.93771112       0.04733593       0.03664606       0.56673360       0.57583735
       0.41154806     -11.32039760       0.04690670       0.03643029       0.53620698       0.63028538
       0.41154806     -10.70909062       0.04612558       0.03564605       0.47879163       0.62220076
       0.41154806     -10.10325643       0.04562060       0.03440502       0.44851504       0.53983216
       0.41154806      -9.50241022       0.04597716       0.03378325       0.47634301       0.50091055
       0.41154806      -8.90610886       0.04632796       0.03413330       0.50292341       0.54344301
       0.41154806      -8.31394493       0.04612325       0.03463780       0.49329732       0.59878936
       0.41154806      -7.72554168       0.04593748       0.03503920       0.48566989       0.62923935
       0.41154806      -7.14054884       0.04615038       0.03526627       0.50706383       0.62207504
       0.41154806      -6.55863895       0.04665454       0.03529795       0.55269858       0.59518070
       0.41154806      -5.97950436       0.04664994       0.03510360       0.57796498       0.55691349
       0.41154806      -5.40285445       0.04589431       0.03469081       0.57002171       0.51131206
       0.41154806      -4.82841336       0.04466944       0.03420737       0.53787070       0.47633750
       0.41154806      -4.25591790       0.04343688       0.03375499       0.50059473       0.46019200
       0.41154806      -3.68511574       0.04261022       0.03342481       0.48004467       0.47053726
       0.41154806      -3.11576369       0.04210496       0.03306595       0.48065309       0.49472373
       0.41154806      -2.54762630       0.04164730       0.03265884       0.50207590       0.52653101
       0.41154806      -1.98047443       0.04103942       0.03224954       0.53071818       0.56818130
       0.41154806      -1.41408396       0.04033758       0.03185282       0.55474101       0.61412597
       0.41154806      -0.84823466       0.03967868       0.03159813       0.56925397       0.66172388
       0.41154806      -0.28270899       0.03927480       0.03144066       0.57598184       0.69018403
       0.41154806       0.28270899       0.03928552       0.03143492       0.57630859       0.69018076
       0.41154806       0.84823466       0.03969622       0.03158721       0.56986788       0.66181175
       0.41154806       1.41408396       0.04033486       0.03184913       0.55492041       0.61454098
       0.41154806       1.98047443       0.04101419       0.03225587       0.53031539       0.56893819
       0.41154806       2.54762630       0.04163213       0.03266199       0.50181371       0.52717989
       0.41154806       3.11576369       0.04212357       0.03305497       0.48107073       0.49490870
       0.41154806       3.68511574       0.04263876       0.03340832       0.48060711       0.47045311
       0.41154806       4.25591790       0.04343424       0.03374843       0.50040728       0.46017832
       0.41154806       4.82841336       0.04463612       0.03420986       0.53699916       0.47634519
       0.41154806       5.40285445       0.04587372       0.03468624       0.56944255       0.51100052
       0.41154806       5.97950436       0.04666876       0.03508628       0.57828696       0.55625203
       0.41154806       6.55863895       0.04668240       0.03528799       0.55343573       0.59475480
       0.41154806       7.14054884       0.04613726       0.03528602       0.50709426       0.62247359
       0.41154806       7.72554168       0.04588549       0.03507933       0.48479855       0.63026147
       0.41154806       8.31394493       0.04608467       0.03466646       0.49253334       0.59963064
       0.41154806       8.90610886       0.04633014       0.03413668       0.50287654       0.54358997
       0.41154806       9.50241022       0.04599395       0.03377832       0.47660885       0.50073681
       0.41154806      10.10325643       0.04561935       0.03441002       0.44845372       0.53988021
       0.41154806      10.70909062       0.04611060       0.03565690       0.47845831       0.62240449
       0.41154806      11.32039760       0.04690203       0.03643366       0.53605609       0.63041779
       0.41154806      11.93771112       0.04734801       0.03664164       0.56686171       0.57587119
       0.41154806      12.56162264       0.04665753       0.03617659       0.54052228       0.51152677
       0.41154806      13.19279220       0.04498011       0.03563174       0.52244758       0.51839014
       0.41154806      13.83196191       0.04180932       0.03391258       0.59275275       0.63214321
       0.41154806      14.47997302       0.03353978       0.02683762       0.68127316       0.72810115
       0.41154806      15.13778764       0.02059079       0.01532718       0.69746426       0.72052053
       0.41154806      15.80651706       0.00918240       0.00590462       0.60655418       0.56857518
       0.41154806      16.48745900       0.00296456       0.00149811       0.38522502       0.25881701
       0.41154806      17.18214790       0.00070137       0.00024827       0.13469445       0.04433730
       0.41154806      17.89242402       0.00012237       0.00002687       0.02257869       0.00276122
       0.41154806      18.62053110       0.00001557       0.00000194       0.00192787       0.00006494
       0.41154806      19.36925854       0.00000140       0.00000010       0.00008458       0.00000081
       0.41154806      20.14215595       0.00000008       0.00000000       0.00000183       0.00000002
       0.41154806      20.94387171       0.00000000       0.00000000       0.00000002       0.00000000
       0.41154806      21.78071708       0.00000000       0.00000000       0.00000000       0.00000000
