 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000001       0.00000002
       0.41743065     -18.82718728       0.00000003       0.00000001       0.00000210       0.00000062
       0.41743065     -18.09941385       0.00000030       0.00000015       0.00027296       0.00001209
       0.41743065     -17.39168369       0.00000225       0.00000097       0.00038314       0.00011984
       0.41743065     -16.70128547       0.00001171       0.00000422       0.00169676       0.00064588
       0.41743065     -16.02603825       0.00004704       0.00001418       0.00759176       0.00248046
       0.41743065     -15.36415326       0.00017009       0.00005006       0.02821045       0.00902751
       0.41743065     -14.71413902       0.00062734       0.00022974       0.09289149       0.03846945
       0.41743065     -14.07473410       0.00228890       0.00113693       0.26706168       0.19037286
       0.41743065     -13.44485834       0.00713059       0.00449191       0.50538378       0.50047867
       0.41743065     -12.82357654       0.01685365       0.01231384       0.64883843       0.70129842
       0.41743065     -12.21007100       0.02916254       0.02305641       0.67126439       0.74518593
       0.41743065     -11.60362037       0.03845687       0.03116470       0.60874586       0.68143697
       0.41743065     -11.00358309       0.04266939       0.03411068       0.52631563       0.55741315
       0.41743065     -10.40938424       0.04428731       0.03463345       0.49669110       0.47668919
       0.41743065      -9.82050503       0.04538189       0.03509778       0.52224118       0.48623481
       0.41743065      -9.23647420       0.04614888       0.03564504       0.54412633       0.55803727
       0.41743065      -8.65686103       0.04594761       0.03555537       0.50520366       0.60638456
       0.41743065      -8.08126950       0.04490596       0.03436842       0.44027304       0.55209879
       0.41743065      -7.50933340       0.04418201       0.03313732       0.42227980       0.47291781
       0.41743065      -6.94071226       0.04434636       0.03287324       0.45786835       0.46043017
       0.41743065      -6.37508780       0.04480678       0.03322682       0.49148373       0.50231689
       0.41743065      -5.81216096       0.04492910       0.03353411       0.48528859       0.55306908
       0.41743065      -5.25164927       0.04489463       0.03352643       0.47147984       0.57319360
       0.41743065      -4.69328459       0.04504536       0.03343535       0.48428586       0.57140202
       0.41743065      -4.13681108       0.04530297       0.03347709       0.51792520       0.57314599
       0.41743065      -3.58198348       0.04523436       0.03349207       0.54036821       0.57509895
       0.41743065      -3.02856541       0.04472054       0.03330152       0.53911648       0.56438052
       0.41743065      -2.47632801       0.04421187       0.03295892       0.53628754       0.53831087
       0.41743065      -1.92504854       0.04401755       0.03271135       0.54340860       0.51541239
       0.41743065      -1.37450918       0.04410478       0.03265411       0.55353866       0.50930555
       0.41743065      -0.82449583       0.04411835       0.03266504       0.54979934       0.51274291
       0.41743065      -0.27479705       0.04395195       0.03265766       0.53563034       0.51196202
       0.41743065       0.27479705       0.04394736       0.03273969       0.53216934       0.50351647
       0.41743065       0.82449583       0.04434068       0.03317919       0.54382257       0.50573284
       0.41743065       1.37450918       0.04509387       0.03396814       0.56317875       0.52987949
       0.41743065       1.92504854       0.04572132       0.03474882       0.57321332       0.56367312
       0.41743065       2.47632801       0.04585518       0.03515933       0.57257879       0.58509540
       0.41743065       3.02856541       0.04552869       0.03504214       0.56599312       0.58040791
       0.41743065       3.58198348       0.04502845       0.03461576       0.55462124       0.56240936
       0.41743065       4.13681108       0.04470936       0.03421065       0.54587902       0.54997222
       0.41743065       4.69328459       0.04457793       0.03395937       0.54094234       0.54602888
       0.41743065       5.25164927       0.04455421       0.03388348       0.54415045       0.54332932
       0.41743065       5.81216096       0.04459160       0.03396759       0.54731675       0.53510402
       0.41743065       6.37508780       0.04484812       0.03427246       0.54712749       0.53464569
       0.41743065       6.94071226       0.04534639       0.03475147       0.54927552       0.55097396
       0.41743065       7.50933340       0.04572533       0.03513094       0.54813194       0.56855137
       0.41743065       8.08126950       0.04575164       0.03525234       0.54061115       0.57137615
       0.41743065       8.65686103       0.04540966       0.03530889       0.51474447       0.55891957
       0.41743065       9.23647420       0.04544979       0.03590350       0.49818864       0.57234118
       0.41743065       9.82050503       0.04628809       0.03707051       0.52955321       0.62439800
       0.41743065      10.40938424       0.04698936       0.03784511       0.57717220       0.63953906
       0.41743065      11.00358309       0.04687074       0.03775316       0.59043681       0.58755377
       0.41743065      11.60362037       0.04577215       0.03686241       0.54256620       0.50589481
       0.41743065      12.21007100       0.04431563       0.03581769       0.47797363       0.44923290
       0.41743065      12.82357654       0.04347374       0.03580548       0.49931835       0.51061540
       0.41743065      13.44485834       0.04090938       0.03436408       0.61006266       0.66806732
       0.41743065      14.07473410       0.03251053       0.02693292       0.70376337       0.77216040
       0.41743065      14.71413902       0.01972563       0.01536811       0.71636294       0.77549614
       0.41743065      15.36415326       0.00869890       0.00608838       0.62449779       0.65596791
       0.41743065      16.02603825       0.00272924       0.00164844       0.40167315       0.35805206
       0.41743065      16.70128547       0.00060147       0.00030299       0.14789626       0.07888224
       0.41743065      17.39168369       0.00009189       0.00003755       0.03084496       0.00676642
       0.41743065      18.09941385       0.00000956       0.00000311       0.00553130       0.00027773
       0.41743065      18.82718728       0.00000066       0.00000017       0.02100440       0.00000581
       0.41743065      19.57845426       0.00000003       0.00000001       0.00000304       0.00000006
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000001       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000001       0.00000001
       0.95832787     -18.82718728       0.00000002       0.00000001       0.00000238       0.00000053
       0.95832787     -18.09941385       0.00000028       0.00000013       0.00022748       0.00001052
       0.95832787     -17.39168369       0.00000211       0.00000088       0.00037319       0.00010617
       0.95832787     -16.70128547       0.00001102       0.00000387       0.00169112       0.00057752
       0.95832787     -16.02603825       0.00004408       0.00001300       0.00754647       0.00217533
       0.95832787     -15.36415326       0.00015694       0.00004485       0.02746474       0.00788063
       0.95832787     -14.71413902       0.00056748       0.00019997       0.08798086       0.03342886
       0.95832787     -14.07473410       0.00205138       0.00098313       0.25400066       0.16846563
       0.95832787     -13.44485834       0.00643673       0.00394593       0.49446975       0.47266237
       0.95832787     -12.82357654       0.01552525       0.01112908       0.64937255       0.69014920
       0.95832787     -12.21007100       0.02762087       0.02157634       0.68405019       0.74931495
       0.95832787     -11.60362037       0.03742778       0.03018626       0.63160528       0.70202977
       0.95832787     -11.00358309       0.04219740       0.03381150       0.54521992       0.58756232
       0.95832787     -10.40938424       0.04387763       0.03449280       0.49567418       0.49353591
       0.95832787      -9.82050503       0.04480119       0.03474468       0.50326710       0.47547494
       0.95832787      -9.23647420       0.04554341       0.03502407       0.53052086       0.51369770
       0.95832787      -8.65686103       0.04569644       0.03493247       0.52764927       0.55259808
       0.95832787      -8.08126950       0.04521309       0.03416071       0.50023806       0.53361426
       0.95832787      -7.50933340       0.04475620       0.03328256       0.49323927       0.48818494
       0.95832787      -6.94071226       0.04475892       0.03299981       0.51506213       0.47852849
       0.95832787      -6.37508780       0.04492891       0.03316334       0.52910400       0.50424926
       0.95832787      -5.81216096       0.04486142       0.03326535       0.51303448       0.52781561
       0.95832787      -5.25164927       0.04470985       0.03309575       0.49492582       0.52301055
       0.95832787      -4.69328459       0.04470704       0.03289317       0.49849500       0.50765643
       0.95832787      -4.13681108       0.04474624       0.03284665       0.51430311       0.50386590
       0.95832787      -3.58198348       0.04448907       0.03282383       0.51779934       0.50742825
       0.95832787      -3.02856541       0.04386758       0.03266487       0.50298337       0.50520442
       0.95832787      -2.47632801       0.04331665       0.03241044       0.49198533       0.49288524
       0.95832787      -1.92504854       0.04313237       0.03227087       0.49521077       0.48432710
       0.95832787      -1.37450918       0.04324986       0.03230273       0.50426067       0.48822046
       0.95832787      -0.82449583       0.04332834       0.03236438       0.50356634       0.49577933
       0.95832787      -0.27479705       0.04324194       0.03236789       0.49406783       0.49457630
       0.95832787       0.27479705       0.04325945       0.03241334       0.49126216       0.48304216
       0.95832787       0.82449583       0.04357281       0.03273663       0.49802178       0.47794987
       0.95832787       1.37450918       0.04415148       0.03335150       0.50891510       0.49072066
       0.95832787       1.92504854       0.04461927       0.03395927       0.51262431       0.51188295
       0.95832787       2.47632801       0.04470017       0.03425112       0.51017538       0.52324449
       0.95832787       3.02856541       0.04444030       0.03411156       0.50684834       0.51463206
       0.95832787       3.58198348       0.04405131       0.03373524       0.50197491       0.49767909
       0.95832787       4.13681108       0.04379260       0.03342166       0.49814743       0.49002817
       0.95832787       4.69328459       0.04366651       0.03327188       0.49480421       0.49287290
       0.95832787       5.25164927       0.04361220       0.03326279       0.49572436       0.49563065
       0.95832787       5.81216096       0.04362649       0.03336590       0.49759708       0.49024002
       0.95832787       6.37508780       0.04384892       0.03361859       0.49855362       0.48641694
       0.95832787       6.94071226       0.04431176       0.03401843       0.50276924       0.49539182
       0.95832787       7.50933340       0.04474320       0.03436000       0.50752580       0.50682578
       0.95832787       8.08126950       0.04488347       0.03447069       0.50815944       0.50470773
       0.95832787       8.65686103       0.04468072       0.03448941       0.49354235       0.48797209
       0.95832787       9.23647420       0.04468724       0.03487116       0.48018438       0.48561266
       0.95832787       9.82050503       0.04520707       0.03574810       0.49339503       0.51579666
       0.95832787      10.40938424       0.04566027       0.03652759       0.51847160       0.54064478
       0.95832787      11.00358309       0.04552970       0.03666385       0.52510422       0.52493689
       0.95832787      11.60362037       0.04468099       0.03613653       0.49593001       0.48282039
       0.95832787      12.21007100       0.04376187       0.03566145       0.47499957       0.47255207
       0.95832787      12.82357654       0.04298967       0.03560110       0.53240211       0.56236011
       0.95832787      13.44485834       0.03949353       0.03303337       0.64323378       0.70236401
       0.95832787      14.07473410       0.03026660       0.02474892       0.71796014       0.77958474
       0.95832787      14.71413902       0.01778295       0.01358701       0.71433422       0.76500045
       0.95832787      15.36415326       0.00766770       0.00523176       0.60825520       0.62531753
       0.95832787      16.02603825       0.00237334       0.00138868       0.37612647       0.31626014
       0.95832787      16.70128547       0.00051941       0.00025185       0.13187536       0.06368883
       0.95832787      17.39168369       0.00007914       0.00003095       0.02657617       0.00518551
       0.95832787      18.09941385       0.00000824       0.00000255       0.00462056       0.00020578
       0.95832787      18.82718728       0.00000057       0.00000014       0.01160452       0.00000420
       0.95832787      19.57845426       0.00000003       0.00000000       0.00000278       0.00000005
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000001       0.00000001
       1.50277824     -18.82718728       0.00000002       0.00000001       0.00000304       0.00000039
       1.50277824     -18.09941385       0.00000025       0.00000011       0.00016243       0.00000811
       1.50277824     -17.39168369       0.00000187       0.00000073       0.00034365       0.00008547
       1.50277824     -16.70128547       0.00000982       0.00000331       0.00162220       0.00048174
       1.50277824     -16.02603825       0.00003904       0.00001117       0.00723937       0.00179240
       1.50277824     -15.36415326       0.00013563       0.00003712       0.02568862       0.00632031
       1.50277824     -14.71413902       0.00047370       0.00015651       0.07884829       0.02617114
       1.50277824     -14.07473410       0.00167958       0.00075446       0.22842575       0.13317331
       1.50277824     -13.44485834       0.00531678       0.00309678       0.46803024       0.41729970
       1.50277824     -12.82357654       0.01324569       0.00915683       0.64167488       0.66202188
       1.50277824     -12.21007100       0.02469316       0.01884935       0.69698802       0.74878724
       1.50277824     -11.60362037       0.03513930       0.02804668       0.66346538       0.72859751
       1.50277824     -11.00358309       0.04102354       0.03291268       0.58000662       0.63577624
       1.50277824     -10.40938424       0.04318574       0.03418822       0.50735417       0.53129384
       1.50277824      -9.82050503       0.04405018       0.03435095       0.48571147       0.47793950
       1.50277824      -9.23647420       0.04471467       0.03436294       0.50269461       0.47338032
       1.50277824      -8.65686103       0.04509488       0.03417486       0.52196431       0.48583467
       1.50277824      -8.08126950       0.04506871       0.03368898       0.52811733       0.48519076
