 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000011
       0.41743065     -18.82718728       0.00000001       0.00000000       0.00000003       0.00000009
       0.41743065     -18.09941385       0.00000007       0.00000001       0.00000039       0.00000003
       0.41743065     -17.39168369       0.00000052       0.00000004       0.00000570       0.00000001
       0.41743065     -16.70128547       0.00000320       0.00000023       0.00010398       0.00000024
       0.41743065     -16.02603825       0.00001510       0.00000186       0.00165048       0.00013365
       0.41743065     -15.36415326       0.00005501       0.00000931       0.01286716       0.00283434
       0.41743065     -14.71413902       0.00017397       0.00003555       0.04278034       0.01152642
       0.41743065     -14.07473410       0.00055884       0.00014762       0.11613382       0.04918647
       0.41743065     -13.44485834       0.00187403       0.00070520       0.30528031       0.18781504
       0.41743065     -12.82357654       0.00575800       0.00298675       0.56456623       0.45720875
       0.41743065     -12.21007100       0.01411913       0.00914029       0.71401152       0.66999900
       0.41743065     -11.60362037       0.02597308       0.01914328       0.73841534       0.74479471
       0.41743065     -11.00358309       0.03634034       0.02850090       0.67388228       0.71622760
       0.41743065     -10.40938424       0.04175232       0.03324818       0.56516016       0.61366941
       0.41743065      -9.82050503       0.04381772       0.03439617       0.49765053       0.50566173
       0.41743065      -9.23647420       0.04505949       0.03450335       0.50619917       0.46105191
       0.41743065      -8.65686103       0.04598794       0.03472562       0.54083505       0.49620590
       0.41743065      -8.08126950       0.04612110       0.03502196       0.52643471       0.57087117
       0.41743065      -7.50933340       0.04534282       0.03463209       0.46219076       0.57943780
       0.41743065      -6.94071226       0.04448271       0.03358119       0.42251650       0.51114673
       0.41743065      -6.37508780       0.04418500       0.03262648       0.43772520       0.44618761
       0.41743065      -5.81216096       0.04416474       0.03211452       0.46885229       0.42498892
       0.41743065      -5.25164927       0.04413875       0.03206777       0.47573502       0.44993689
       0.41743065      -4.69328459       0.04416840       0.03228748       0.46337214       0.49648775
       0.41743065      -4.13681108       0.04437412       0.03244661       0.45985069       0.53058361
       0.41743065      -3.58198348       0.04462826       0.03237534       0.47150332       0.54184494
       0.41743065      -3.02856541       0.04468254       0.03209859       0.48354941       0.53777750
       0.41743065      -2.47632801       0.04455564       0.03180820       0.48901458       0.53185193
       0.41743065      -1.92504854       0.04436769       0.03175494       0.48520985       0.53570536
       0.41743065      -1.37450918       0.04436198       0.03200642       0.48039998       0.54858048
       0.41743065      -0.82449583       0.04465029       0.03245059       0.48391746       0.56242829
       0.41743065      -0.27479705       0.04516622       0.03292943       0.50333281       0.57140874
       0.41743065       0.27479705       0.04556800       0.03329555       0.53059946       0.57356177
       0.41743065       0.82449583       0.04543641       0.03351638       0.54015531       0.57477545
       0.41743065       1.37450918       0.04493337       0.03359765       0.52929888       0.57454473
       0.41743065       1.92504854       0.04453914       0.03362115       0.51769944       0.56981326
       0.41743065       2.47632801       0.04468446       0.03364179       0.53139715       0.55838629
       0.41743065       3.02856541       0.04504370       0.03359167       0.55682041       0.54096319
       0.41743065       3.58198348       0.04498937       0.03345033       0.56142562       0.52841916
       0.41743065       4.13681108       0.04446890       0.03320003       0.54288893       0.51868843
       0.41743065       4.69328459       0.04394362       0.03301347       0.52373493       0.50997093
       0.41743065       5.25164927       0.04405496       0.03306695       0.53082125       0.50260525
       0.41743065       5.81216096       0.04469095       0.03338735       0.54774159       0.50101142
       0.41743065       6.37508780       0.04545633       0.03398525       0.55865236       0.51888170
       0.41743065       6.94071226       0.04600521       0.03461137       0.56052911       0.54279268
       0.41743065       7.50933340       0.04619307       0.03515335       0.55154694       0.56280870
       0.41743065       8.08126950       0.04620253       0.03565005       0.53614797       0.57700498
       0.41743065       8.65686103       0.04615312       0.03623748       0.51832455       0.59497068
       0.41743065       9.23647420       0.04654024       0.03699762       0.53859352       0.62708923
       0.41743065       9.82050503       0.04706890       0.03726775       0.58674903       0.61248038
       0.41743065      10.40938424       0.04696674       0.03685782       0.59669749       0.53711953
       0.41743065      11.00358309       0.04606573       0.03622122       0.54904101       0.46958379
       0.41743065      11.60362037       0.04453708       0.03566418       0.48487850       0.44711509
       0.41743065      12.21007100       0.04333696       0.03562164       0.50446686       0.52389000
       0.41743065      12.82357654       0.04078094       0.03368808       0.63056501       0.67497102
       0.41743065      13.44485834       0.03258388       0.02600335       0.74341337       0.77052533
       0.41743065      14.07473410       0.01998634       0.01468836       0.77241526       0.77189364
       0.41743065      14.71413902       0.00913693       0.00580955       0.70563307       0.66794979
       0.41743065      15.36415326       0.00313914       0.00159626       0.50056824       0.42546053
       0.41743065      16.02603825       0.00082194       0.00030740       0.19879366       0.15330516
       0.41743065      16.70128547       0.00016419       0.00004227       0.03474803       0.03114178
       0.41743065      17.39168369       0.00002457       0.00000425       0.00300104       0.00575434
       0.41743065      18.09941385       0.00000266       0.00000032       0.00014308       0.01043558
       0.41743065      18.82718728       0.00000020       0.00000002       0.00000382       0.00000122
       0.41743065      19.57845426       0.00000001       0.00000000       0.00000006       0.00000000
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000015
       0.95832787     -18.82718728       0.00000001       0.00000000       0.00000003       0.00000011
       0.95832787     -18.09941385       0.00000006       0.00000001       0.00000038       0.00000004
       0.95832787     -17.39168369       0.00000047       0.00000004       0.00000518       0.00000001
       0.95832787     -16.70128547       0.00000292       0.00000020       0.00008971       0.00000012
       0.95832787     -16.02603825       0.00001375       0.00000163       0.00141659       0.00007367
       0.95832787     -15.36415326       0.00005002       0.00000838       0.01138813       0.00229723
       0.95832787     -14.71413902       0.00015665       0.00003192       0.03830819       0.00959773
       0.95832787     -14.07473410       0.00049410       0.00012824       0.10228614       0.04015183
       0.95832787     -13.44485834       0.00163472       0.00059817       0.27012715       0.15780009
       0.95832787     -12.82357654       0.00503490       0.00254993       0.52165570       0.41466265
       0.95832787     -12.21007100       0.01257443       0.00802068       0.68557142       0.64477714
       0.95832787     -11.60362037       0.02382034       0.01744399       0.72551461       0.73830251
       0.95832787     -11.00358309       0.03445648       0.02702862       0.67638227       0.72680511
       0.95832787     -10.40938424       0.04068549       0.03256078       0.57802451       0.63988875
       0.95832787      -9.82050503       0.04331075       0.03423547       0.50591417       0.53189684
       0.95832787      -9.23647420       0.04470178       0.03443747       0.50129998       0.47014815
       0.95832787      -8.65686103       0.04560896       0.03450519       0.53022973       0.47476425
       0.95832787      -8.08126950       0.04590087       0.03467192       0.53816002       0.52330981
       0.95832787      -7.50933340       0.04559609       0.03454737       0.51368241       0.55115169
       0.95832787      -6.94071226       0.04514224       0.03395607       0.49672334       0.52840592
       0.95832787      -6.37508780       0.04488227       0.03323971       0.50831050       0.49180186
       0.95832787      -5.81216096       0.04465780       0.03273043       0.52051313       0.47777399
       0.95832787      -5.25164927       0.04443623       0.03252842       0.51345551       0.49157367
       0.95832787      -4.69328459       0.04439904       0.03252203       0.50151803       0.51337857
       0.95832787      -4.13681108       0.04459391       0.03251038       0.50354384       0.52467080
       0.95832787      -3.58198348       0.04479095       0.03233358       0.51597980       0.52067228
       0.95832787      -3.02856541       0.04474377       0.03199531       0.52310845       0.50758645
       0.95832787      -2.47632801       0.04453082       0.03166949       0.52238907       0.49554185
       0.95832787      -1.92504854       0.04431506       0.03157623       0.51479444       0.49258796
       0.95832787      -1.37450918       0.04428691       0.03176326       0.50630929       0.49770278
       0.95832787      -0.82449583       0.04447909       0.03210075       0.50240272       0.50310207
       0.95832787      -0.27479705       0.04480270       0.03244778       0.50913270       0.50473378
       0.95832787       0.27479705       0.04500583       0.03269166       0.52146642       0.50202184
       0.95832787       0.82449583       0.04477373       0.03283108       0.51936202       0.50101922
       0.95832787       1.37450918       0.04424838       0.03288952       0.50178021       0.50237288
       0.95832787       1.92504854       0.04382880       0.03292198       0.48590054       0.50256746
       0.95832787       2.47632801       0.04388525       0.03297302       0.49331725       0.49970284
       0.95832787       3.02856541       0.04415327       0.03297807       0.51251016       0.49318782
       0.95832787       3.58198348       0.04408842       0.03291852       0.51525520       0.49086592
       0.95832787       4.13681108       0.04364480       0.03278256       0.49971400       0.49065431
       0.95832787       4.69328459       0.04319797       0.03268781       0.48407744       0.48798207
       0.95832787       5.25164927       0.04326510       0.03277509       0.48894222       0.48169752
       0.95832787       5.81216096       0.04375516       0.03305473       0.50063935       0.47501759
       0.95832787       6.37508780       0.04435874       0.03353273       0.50670467       0.48042770
       0.95832787       6.94071226       0.04485797       0.03403068       0.50916993       0.49023347
       0.95832787       7.50933340       0.04512806       0.03443796       0.50845930       0.49559739
       0.95832787       8.08126950       0.04519607       0.03477409       0.50246767       0.49517278
       0.95832787       8.65686103       0.04505378       0.03514142       0.48545073       0.49581440
       0.95832787       9.23647420       0.04515943       0.03569104       0.48754952       0.51187361
       0.95832787       9.82050503       0.04553082       0.03610357       0.51397688       0.51685573
       0.95832787      10.40938424       0.04563113       0.03613391       0.52726172       0.49370246
       0.95832787      11.00358309       0.04509640       0.03590280       0.50870770       0.47062527
       0.95832787      11.60362037       0.04391934       0.03566924       0.48536396       0.48448858
       0.95832787      12.21007100       0.04250172       0.03531413       0.53214715       0.57879104
       0.95832787      12.82357654       0.03881312       0.03217496       0.65095421       0.70833513
       0.95832787      13.44485834       0.02976899       0.02367338       0.74196769       0.77626826
       0.95832787      14.07473410       0.01762873       0.01282171       0.75424787       0.75843123
       0.95832787      14.71413902       0.00787534       0.00491668       0.67103320       0.63350090
       0.95832787      15.36415326       0.00267785       0.00132548       0.45395733       0.37622299
       0.95832787      16.02603825       0.00070135       0.00025359       0.17103334       0.12357204
       0.95832787      16.70128547       0.00014110       0.00003511       0.02958471       0.02319239
       0.95832787      17.39168369       0.00002132       0.00000360       0.00259926       0.00391437
       0.95832787      18.09941385       0.00000233       0.00000028       0.00012625       0.10204454
       0.95832787      18.82718728       0.00000018       0.00000002       0.00000341       0.00000127
       0.95832787      19.57845426       0.00000001       0.00000000       0.00000005       0.00000000
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000021
       1.50277824     -18.82718728       0.00000001       0.00000000       0.00000003       0.00000015
       1.50277824     -18.09941385       0.00000005       0.00000001       0.00000037       0.00000007
       1.50277824     -17.39168369       0.00000041       0.00000004       0.00000442       0.00000001
       1.50277824     -16.70128547       0.00000248       0.00000016       0.00006892       0.00000004
       1.50277824     -16.02603825       0.00001162       0.00000127       0.00106554       0.00002392
       1.50277824     -15.36415326       0.00004220       0.00000691       0.00902851       0.00153528
       1.50277824     -14.71413902       0.00013026       0.00002643       0.03134910       0.00719795
       1.50277824     -14.07473410       0.00039848       0.00010062       0.08187116       0.02843661
       1.50277824     -13.44485834       0.00128501       0.00044720       0.21667585       0.11460006
       1.50277824     -12.82357654       0.00395992       0.00191353       0.44811640       0.33931593
       1.50277824     -12.21007100       0.01017948       0.00628762       0.63327228       0.59224312
       1.50277824     -11.60362037       0.02025773       0.01457467       0.70177779       0.71993911
       1.50277824     -11.00358309       0.03105485       0.02420696       0.68075289       0.73748766
       1.50277824     -10.40938424       0.03857796       0.03094812       0.60418981       0.67837236
       1.50277824      -9.82050503       0.04229234       0.03370266       0.52953500       0.57936288
       1.50277824      -9.23647420       0.04404731       0.03428465       0.50238796       0.49860529
       1.50277824      -8.65686103       0.04492587       0.03427519       0.51034969       0.46605364
       1.50277824      -8.08126950       0.04525221       0.03423470       0.52373886       0.47454004
