 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -18.82718728       0.00000000       0.00000000       0.00000000       0.00000019
       0.41743065     -18.09941385       0.00000000       0.00000000       0.00000002       0.00000136
       0.41743065     -17.39168369       0.00000000       0.00000001       0.00000004       0.00000037
       0.41743065     -16.70128547       0.00000001       0.00000001       0.00000003       0.00000006
       0.41743065     -16.02603825       0.00000001       0.00000000       0.00000000       0.00000000
       0.41743065     -15.36415326       0.00000001       0.00000000       0.00000000       0.00000000
       0.41743065     -14.71413902       0.00000002       0.00000000       0.00000006       0.00000000
       0.41743065     -14.07473410       0.00000006       0.00000001       0.00000023       0.00000000
       0.41743065     -13.44485834       0.00000018       0.00000002       0.00000717       0.00000008
       0.41743065     -12.82357654       0.00000060       0.00000002       0.00001508       0.00000000
       0.41743065     -12.21007100       0.00000199       0.00000012       0.00008758       0.00000137
       0.41743065     -11.60362037       0.00000603       0.00000059       0.00041374       0.00000854
       0.41743065     -11.00358309       0.00001801       0.00000206       0.00148475       0.00007160
       0.41743065     -10.40938424       0.00005682       0.00000790       0.00464506       0.00025695
       0.41743065      -9.82050503       0.00018088       0.00003429       0.01604392       0.00183117
       0.41743065      -9.23647420       0.00056385       0.00014022       0.05247596       0.00961193
       0.41743065      -8.65686103       0.00174342       0.00057609       0.14964910       0.04589487
       0.41743065      -8.08126950       0.00504207       0.00227120       0.33442532       0.18045448
       0.41743065      -7.50933340       0.01214008       0.00705203       0.52472504       0.42207010
       0.41743065      -6.94071226       0.02260418       0.01540070       0.61834519       0.59566716
       0.41743065      -6.37508780       0.03269127       0.02409163       0.61326493       0.64441863
       0.41743065      -5.81216096       0.03913240       0.02965782       0.55204667       0.61467415
       0.41743065      -5.25164927       0.04213906       0.03196222       0.49517640       0.56000736
       0.41743065      -4.69328459       0.04347911       0.03248566       0.48120420       0.52651371
       0.41743065      -4.13681108       0.04422850       0.03240707       0.49969929       0.53554449
       0.41743065      -3.58198348       0.04451876       0.03209890       0.51281503       0.55335376
       0.41743065      -3.02856541       0.04438446       0.03154711       0.51450948       0.53183496
       0.41743065      -2.47632801       0.04420471       0.03105928       0.52874466       0.49108173
       0.41743065      -1.92504854       0.04420032       0.03095088       0.54767979       0.47957854
       0.41743065      -1.37450918       0.04411882       0.03113504       0.53147690       0.50996258
       0.41743065      -0.82449583       0.04375003       0.03119500       0.48224502       0.54164374
       0.41743065      -0.27479705       0.04333702       0.03093193       0.45047068       0.52997783
       0.41743065       0.27479705       0.04324958       0.03059552       0.46375952       0.48811850
       0.41743065       0.82449583       0.04347926       0.03051597       0.49763417       0.46406779
       0.41743065       1.37450918       0.04367002       0.03089923       0.50563920       0.49022576
       0.41743065       1.92504854       0.04378099       0.03162333       0.49392424       0.54835078
       0.41743065       2.47632801       0.04400371       0.03236607       0.49889754       0.58715343
       0.41743065       3.02856541       0.04433998       0.03294061       0.52564245       0.58739228
       0.41743065       3.58198348       0.04454740       0.03325665       0.54548703       0.56936619
       0.41743065       4.13681108       0.04442420       0.03337242       0.53912311       0.55911179
       0.41743065       4.69328459       0.04422951       0.03345830       0.53127454       0.55628143
       0.41743065       5.25164927       0.04430085       0.03358117       0.54148163       0.53434615
       0.41743065       5.81216096       0.04473118       0.03383694       0.55575703       0.49508484
       0.41743065       6.37508780       0.04537398       0.03433252       0.55615329       0.47152609
       0.41743065       6.94071226       0.04591533       0.03504412       0.55106313       0.47977947
       0.41743065       7.50933340       0.04610148       0.03569058       0.55840855       0.49515994
       0.41743065       8.08126950       0.04559740       0.03565245       0.55083132       0.45915587
       0.41743065       8.65686103       0.04451558       0.03517035       0.49629113       0.39374051
       0.41743065       9.23647420       0.04376886       0.03531995       0.44633356       0.38753242
       0.41743065       9.82050503       0.04362343       0.03611936       0.46028228       0.46664613
       0.41743065      10.40938424       0.04299518       0.03633133       0.55409672       0.61627292
       0.41743065      11.00358309       0.03925529       0.03331652       0.68982251       0.76545369
       0.41743065      11.60362037       0.03004901       0.02490060       0.78180469       0.84089400
       0.41743065      12.21007100       0.01776001       0.01377056       0.79621040       0.84051494
       0.41743065      12.82357654       0.00785660       0.00536886       0.72009433       0.74687503
       0.41743065      13.44485834       0.00268693       0.00150578       0.51549617       0.48934223
       0.41743065      14.07473410       0.00079450       0.00034651       0.25043032       0.18002473
       0.41743065      14.71413902       0.00023891       0.00008324       0.09801173       0.05011572
       0.41743065      15.36415326       0.00007802       0.00002344       0.03882260       0.01500588
       0.41743065      16.02603825       0.00002453       0.00000639       0.01319861       0.00355782
       0.41743065      16.70128547       0.00000623       0.00000131       0.00317624       0.00044473
       0.41743065      17.39168369       0.00000114       0.00000018       0.00050718       0.00002211
       0.41743065      18.09941385       0.00000014       0.00000001       0.00005554       0.00000037
       0.41743065      18.82718728       0.00000001       0.00000000       0.00000503       0.00000000
       0.41743065      19.57845426       0.00000000       0.00000000       0.00000124       0.00000000
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -18.82718728       0.00000000       0.00000000       0.00000000       0.00000015
       0.95832787     -18.09941385       0.00000000       0.00000000       0.00000001       0.00000110
       0.95832787     -17.39168369       0.00000000       0.00000001       0.00000003       0.00000032
       0.95832787     -16.70128547       0.00000001       0.00000001       0.00000003       0.00000006
       0.95832787     -16.02603825       0.00000001       0.00000000       0.00000000       0.00000000
       0.95832787     -15.36415326       0.00000001       0.00000000       0.00000000       0.00000000
       0.95832787     -14.71413902       0.00000002       0.00000000       0.00000007       0.00000000
       0.95832787     -14.07473410       0.00000006       0.00000001       0.00000022       0.00000000
       0.95832787     -13.44485834       0.00000018       0.00000002       0.00000761       0.00000005
       0.95832787     -12.82357654       0.00000057       0.00000002       0.00001482       0.00000000
       0.95832787     -12.21007100       0.00000192       0.00000012       0.00009056       0.00000152
       0.95832787     -11.60362037       0.00000584       0.00000057       0.00041105       0.00000945
       0.95832787     -11.00358309       0.00001739       0.00000196       0.00145066       0.00008158
       0.95832787     -10.40938424       0.00005456       0.00000763       0.00449315       0.00031055
       0.95832787      -9.82050503       0.00017307       0.00003313       0.01564869       0.00188418
       0.95832787      -9.23647420       0.00053803       0.00013462       0.05146048       0.00985188
       0.95832787      -8.65686103       0.00166151       0.00054981       0.14671031       0.04691241
       0.95832787      -8.08126950       0.00482526       0.00217292       0.33056158       0.18591512
       0.95832787      -7.50933340       0.01173163       0.00681570       0.52469633       0.43490792
       0.95832787      -6.94071226       0.02210921       0.01508055       0.62384316       0.61142241
       0.95832787      -6.37508780       0.03233096       0.02386421       0.62418840       0.65940011
       0.95832787      -5.81216096       0.03900315       0.02957228       0.56748609       0.62371039
       0.95832787      -5.25164927       0.04215631       0.03190059       0.51243107       0.55450202
       0.95832787      -4.69328459       0.04350328       0.03233733       0.49712524       0.50047469
       0.95832787      -4.13681108       0.04417291       0.03216680       0.51072845       0.49059726
       0.95832787      -3.58198348       0.04435827       0.03185899       0.51236489       0.50221431
       0.95832787      -3.02856541       0.04409135       0.03136043       0.49438806       0.48809711
       0.95832787      -2.47632801       0.04378988       0.03090038       0.48948328       0.45739241
       0.95832787      -1.92504854       0.04379508       0.03080072       0.50644574       0.45202427
       0.95832787      -1.37450918       0.04390700       0.03101588       0.51268952       0.48636323
       0.95832787      -0.82449583       0.04381111       0.03117439       0.49275169       0.52780228
       0.95832787      -0.27479705       0.04360221       0.03103834       0.47839580       0.53127409
       0.95832787       0.27479705       0.04352628       0.03077935       0.49307763       0.50017617
       0.95832787       0.82449583       0.04358877       0.03068876       0.51811404       0.47460115
       0.95832787       1.37450918       0.04358190       0.03093446       0.51909158       0.48286412
       0.95832787       1.92504854       0.04349046       0.03143901       0.50152929       0.51384715
       0.95832787       2.47632801       0.04348487       0.03195670       0.49597762       0.53075448
       0.95832787       3.02856541       0.04361238       0.03232978       0.50817061       0.51939349
       0.95832787       3.58198348       0.04369266       0.03253821       0.51474066       0.49984588
       0.95832787       4.13681108       0.04355860       0.03268197       0.50116440       0.49451402
       0.95832787       4.69328459       0.04340825       0.03289861       0.48884583       0.50124460
       0.95832787       5.25164927       0.04350569       0.03319201       0.49437972       0.49539238
       0.95832787       5.81216096       0.04388729       0.03356977       0.50497925       0.47322158
       0.95832787       6.37508780       0.04441994       0.03412480       0.50464815       0.46294540
       0.95832787       6.94071226       0.04489225       0.03485118       0.50129122       0.48179459
       0.95832787       7.50933340       0.04512727       0.03556386       0.51239540       0.51501951
       0.95832787       8.08126950       0.04490526       0.03584951       0.52501755       0.51899985
       0.95832787       8.65686103       0.04422750       0.03568854       0.51291695       0.49022437
       0.95832787       9.23647420       0.04354760       0.03567426       0.49770324       0.49151916
       0.95832787       9.82050503       0.04295210       0.03582808       0.52697164       0.56240395
       0.95832787      10.40938424       0.04132184       0.03489724       0.61718044       0.68518001
       0.95832787      11.00358309       0.03629052       0.03053482       0.72612062       0.79418996
       0.95832787      11.60362037       0.02660614       0.02169029       0.79031845       0.84305757
       0.95832787      12.21007100       0.01517832       0.01148315       0.78598543       0.82568328
       0.95832787      12.82357654       0.00657545       0.00434609       0.69138797       0.70907112
       0.95832787      13.44485834       0.00224400       0.00120905       0.47252041       0.43157537
       0.95832787      14.07473410       0.00067606       0.00028468       0.22180126       0.15057704
       0.95832787      14.71413902       0.00020954       0.00007152       0.08774830       0.04314376
       0.95832787      15.36415326       0.00006991       0.00002069       0.03494981       0.01297799
       0.95832787      16.02603825       0.00002209       0.00000560       0.01168654       0.00286864
       0.95832787      16.70128547       0.00000559       0.00000112       0.00274050       0.00031044
       0.95832787      17.39168369       0.00000101       0.00000015       0.00042606       0.00001240
       0.95832787      18.09941385       0.00000012       0.00000001       0.00004548       0.00000016
       0.95832787      18.82718728       0.00000001       0.00000000       0.00000399       0.00000000
       0.95832787      19.57845426       0.00000000       0.00000000       0.00000087       0.00000000
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -18.82718728       0.00000000       0.00000000       0.00000000       0.00000010
       1.50277824     -18.09941385       0.00000000       0.00000000       0.00000001       0.00000072
       1.50277824     -17.39168369       0.00000000       0.00000000       0.00000003       0.00000023
       1.50277824     -16.70128547       0.00000001       0.00000001       0.00000003       0.00000006
       1.50277824     -16.02603825       0.00000001       0.00000000       0.00000000       0.00000000
       1.50277824     -15.36415326       0.00000001       0.00000000       0.00000000       0.00000000
       1.50277824     -14.71413902       0.00000002       0.00000000       0.00000008       0.00000000
       1.50277824     -14.07473410       0.00000006       0.00000001       0.00000023       0.00000000
       1.50277824     -13.44485834       0.00000017       0.00000001       0.00000737       0.00000001
       1.50277824     -12.82357654       0.00000054       0.00000002       0.00001454       0.00000001
       1.50277824     -12.21007100       0.00000179       0.00000012       0.00008960       0.00000072
       1.50277824     -11.60362037       0.00000549       0.00000053       0.00041519       0.00001394
       1.50277824     -11.00358309       0.00001627       0.00000180       0.00140735       0.00007952
       1.50277824     -10.40938424       0.00005057       0.00000708       0.00428856       0.00036635
       1.50277824      -9.82050503       0.00015950       0.00003078       0.01487457       0.00198476
       1.50277824      -9.23647420       0.00049334       0.00012404       0.04909027       0.01005690
       1.50277824      -8.65686103       0.00151832       0.00050089       0.14016999       0.04756635
       1.50277824      -8.08126950       0.00443458       0.00198434       0.32012319       0.18922057
