 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000003       0.00000006
       0.41743065     -18.82718728       0.00000006       0.00000003       0.00000600       0.00000194
       0.41743065     -18.09941385       0.00000066       0.00000028       0.02178983       0.00002864
       0.41743065     -17.39168369       0.00000464       0.00000165       0.00202580       0.00021342
       0.41743065     -16.70128547       0.00002346       0.00000680       0.00572744       0.00098114
       0.41743065     -16.02603825       0.00009648       0.00002536       0.01931663       0.00428874
       0.41743065     -15.36415326       0.00036981       0.00011284       0.06305141       0.01932105
       0.41743065     -14.71413902       0.00138556       0.00058199       0.18842465       0.09919163
       0.41743065     -14.07473410       0.00465844       0.00262736       0.41448426       0.35672517
       0.41743065     -13.44485834       0.01241071       0.00851362       0.60363762       0.62606714
       0.41743065     -12.82357654       0.02441165       0.01870576       0.67113591       0.73062277
       0.41743065     -12.21007100       0.03563944       0.02865740       0.63759442       0.70906575
       0.41743065     -11.60362037       0.04173146       0.03359099       0.55425626       0.60191060
       0.41743065     -11.00358309       0.04395010       0.03462130       0.50317803       0.49623265
       0.41743065     -10.40938424       0.04500827       0.03491165       0.51366558       0.47140067
       0.41743065      -9.82050503       0.04578926       0.03536476       0.54248169       0.52009452
       0.41743065      -9.23647420       0.04599432       0.03563529       0.52838944       0.59063460
       0.41743065      -8.65686103       0.04521772       0.03497275       0.46529294       0.58200555
       0.41743065      -8.08126950       0.04424216       0.03363089       0.42378427       0.49688890
       0.41743065      -7.50933340       0.04403862       0.03288499       0.43981421       0.44831381
       0.41743065      -6.94071226       0.04447943       0.03304039       0.47886277       0.46961449
       0.41743065      -6.37508780       0.04484490       0.03351109       0.49039203       0.52761158
       0.41743065      -5.81216096       0.04486894       0.03377644       0.47705717       0.57304439
       0.41743065      -5.25164927       0.04491293       0.03375653       0.47916851       0.58187689
       0.41743065      -4.69328459       0.04513209       0.03370036       0.50770897       0.57502608
       0.41743065      -4.13681108       0.04527050       0.03369769       0.54193221       0.56925931
       0.41743065      -3.58198348       0.04498931       0.03362963       0.55485644       0.56125926
       0.41743065      -3.02856541       0.04440854       0.03338135       0.54662310       0.53945656
       0.41743065      -2.47632801       0.04399887       0.03302505       0.53915703       0.50578573
       0.41743065      -1.92504854       0.04391733       0.03272175       0.53987347       0.47649320
       0.41743065      -1.37450918       0.04399688       0.03252496       0.54363358       0.46155626
       0.41743065      -0.82449583       0.04388598       0.03237792       0.53633123       0.45783423
       0.41743065      -0.27479705       0.04358746       0.03221474       0.52031734       0.45336942
       0.41743065       0.27479705       0.04346318       0.03213597       0.51221419       0.44421126
       0.41743065       0.82449583       0.04375571       0.03233207       0.51942242       0.43952885
       0.41743065       1.37450918       0.04445398       0.03284598       0.53918414       0.44907293
       0.41743065       1.92504854       0.04514368       0.03351647       0.55504394       0.47112460
       0.41743065       2.47632801       0.04549465       0.03412471       0.56163267       0.49413746
       0.41743065       3.02856541       0.04549879       0.03454505       0.56084234       0.50988149
       0.41743065       3.58198348       0.04537030       0.03480835       0.55583427       0.52151586
       0.41743065       4.13681108       0.04532836       0.03501542       0.55212160       0.53625073
       0.41743065       4.69328459       0.04532755       0.03514230       0.54637461       0.55252983
       0.41743065       5.25164927       0.04530891       0.03516550       0.54164108       0.56417737
       0.41743065       5.81216096       0.04526856       0.03521435       0.53587152       0.56906214
       0.41743065       6.37508780       0.04547974       0.03544322       0.53226000       0.57654181
       0.41743065       6.94071226       0.04606172       0.03580376       0.53638950       0.59188685
       0.41743065       7.50933340       0.04665205       0.03601574       0.53909029       0.59929710
       0.41743065       8.08126950       0.04693473       0.03588997       0.53540625       0.58594999
       0.41743065       8.65686103       0.04666977       0.03559178       0.51043753       0.55598325
       0.41743065       9.23647420       0.04644530       0.03583417       0.48232686       0.55380352
       0.41743065       9.82050503       0.04699603       0.03693999       0.49692313       0.60955788
       0.41743065      10.40938424       0.04769995       0.03796807       0.54212001       0.64963934
       0.41743065      11.00358309       0.04784931       0.03826328       0.57584430       0.62020796
       0.41743065      11.60362037       0.04712894       0.03780640       0.55944902       0.55115555
       0.41743065      12.21007100       0.04567953       0.03676735       0.50230125       0.48217491
       0.41743065      12.82357654       0.04440904       0.03629140       0.49581946       0.50228774
       0.41743065      13.44485834       0.04196690       0.03502566       0.58027429       0.63285034
       0.41743065      14.07473410       0.03438830       0.02842328       0.67318554       0.74056865
       0.41743065      14.71413902       0.02185405       0.01702450       0.69601067       0.75075980
       0.41743065      15.36415326       0.01012259       0.00709093       0.61845729       0.63848488
       0.41743065      16.02603825       0.00332163       0.00201198       0.41724858       0.36188575
       0.41743065      16.70128547       0.00076029       0.00038582       0.17269781       0.09147696
       0.41743065      17.39168369       0.00011974       0.00004967       0.04491864       0.00984649
       0.41743065      18.09941385       0.00001276       0.00000425       0.01518032       0.00054511
       0.41743065      18.82718728       0.00000090       0.00000024       0.00117815       0.00001648
       0.41743065      19.57845426       0.00000004       0.00000001       0.00000127       0.00000027
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000003       0.00000006
       0.95832787     -18.82718728       0.00000006       0.00000003       0.00000668       0.00000179
       0.95832787     -18.09941385       0.00000061       0.00000026       0.00674995       0.00002662
       0.95832787     -17.39168369       0.00000433       0.00000154       0.00179150       0.00020000
       0.95832787     -16.70128547       0.00002188       0.00000634       0.00536685       0.00090558
       0.95832787     -16.02603825       0.00008918       0.00002309       0.01829269       0.00379479
       0.95832787     -15.36415326       0.00033627       0.00009919       0.05920005       0.01695853
       0.95832787     -14.71413902       0.00124423       0.00050270       0.17735141       0.08703286
       0.95832787     -14.07473410       0.00418898       0.00228861       0.40148508       0.33036418
       0.95832787     -13.44485834       0.01133608       0.00759909       0.60117847       0.61089363
       0.95832787     -12.82357654       0.02287391       0.01725543       0.68123074       0.73158307
       0.95832787     -12.21007100       0.03436313       0.02740501       0.65940001       0.72601880
       0.95832787     -11.60362037       0.04109517       0.03308745       0.57822673       0.63392325
       0.95832787     -11.00358309       0.04353324       0.03450981       0.50966692       0.52309815
       0.95832787     -10.40938424       0.04443887       0.03468986       0.49677689       0.47443759
       0.95832787      -9.82050503       0.04512929       0.03491127       0.51913016       0.49235162
       0.95832787      -9.23647420       0.04555707       0.03507278       0.53080922       0.53967778
       0.95832787      -8.65686103       0.04532061       0.03470970       0.51041649       0.55139842
       0.95832787      -8.08126950       0.04479041       0.03386540       0.49372706       0.51114474
       0.95832787      -7.50933340       0.04459124       0.03327530       0.50591746       0.47949931
       0.95832787      -6.94071226       0.04474668       0.03324640       0.52522286       0.48907645
       0.95832787      -6.37508780       0.04485745       0.03344934       0.52163036       0.51995654
       0.95832787      -5.81216096       0.04472789       0.03347038       0.50094417       0.53316501
       0.95832787      -5.25164927       0.04461820       0.03327013       0.49365888       0.51973362
       0.95832787      -4.69328459       0.04462448       0.03308731       0.50453516       0.50326834
       0.95832787      -4.13681108       0.04453358       0.03302304       0.51570900       0.49806309
       0.95832787      -3.58198348       0.04412156       0.03298996       0.51085299       0.50046102
       0.95832787      -3.02856541       0.04353713       0.03287375       0.49526258       0.49847539
       0.95832787      -2.47632801       0.04321203       0.03271259       0.48922922       0.49114713
       0.95832787      -1.92504854       0.04325281       0.03260360       0.49699447       0.48803286
       0.95832787      -1.37450918       0.04342117       0.03254661       0.50912298       0.49400303
       0.95832787      -0.82449583       0.04336648       0.03246423       0.51114124       0.50411841
       0.95832787      -0.27479705       0.04308812       0.03231660       0.50337155       0.50782661
       0.95832787       0.27479705       0.04292632       0.03222669       0.49896296       0.50318411
       0.95832787       0.82449583       0.04312083       0.03236394       0.50446206       0.49842000
       0.95832787       1.37450918       0.04365301       0.03276359       0.51722849       0.50258858
       0.95832787       1.92504854       0.04416940       0.03326791       0.52413350       0.51330566
       0.95832787       2.47632801       0.04439812       0.03367750       0.52179944       0.51948104
       0.95832787       3.02856541       0.04436029       0.03391582       0.51472852       0.51602093
       0.95832787       3.58198348       0.04426325       0.03402772       0.50821765       0.50772185
       0.95832787       4.13681108       0.04428683       0.03412181       0.50629315       0.50425055
       0.95832787       4.69328459       0.04436488       0.03419148       0.50417623       0.50621061
       0.95832787       5.25164927       0.04438585       0.03419559       0.50147546       0.50674959
       0.95832787       5.81216096       0.04433925       0.03423085       0.49754750       0.50338836
       0.95832787       6.37508780       0.04449248       0.03441595       0.49663110       0.50288565
       0.95832787       6.94071226       0.04500577       0.03474319       0.50386395       0.51216480
       0.95832787       7.50933340       0.04563529       0.03499425       0.51419552       0.51996578
       0.95832787       8.08126950       0.04604672       0.03496581       0.52099969       0.51162696
       0.95832787       8.65686103       0.04600096       0.03478069       0.51079005       0.48943467
       0.95832787       9.23647420       0.04591402       0.03493927       0.49390434       0.48158608
       0.95832787       9.82050503       0.04625221       0.03571100       0.49795284       0.51082455
       0.95832787      10.40938424       0.04665223       0.03656692       0.51924304       0.54335704
       0.95832787      11.00358309       0.04662222       0.03693496       0.53344258       0.53844262
       0.95832787      11.60362037       0.04587188       0.03666708       0.51395529       0.50186321
       0.95832787      12.21007100       0.04478200       0.03614860       0.48360913       0.47669037
       0.95832787      12.82357654       0.04384495       0.03598295       0.51519930       0.53684197
       0.95832787      13.44485834       0.04089397       0.03400833       0.61233892       0.66726805
       0.95832787      14.07473410       0.03252258       0.02654472       0.69299825       0.75314370
       0.95832787      14.71413902       0.02004152       0.01531678       0.70071791       0.74610429
       0.95832787      15.36415326       0.00906528       0.00619596       0.60919775       0.61612108
       0.95832787      16.02603825       0.00292792       0.00172076       0.39604331       0.32824124
       0.95832787      16.70128547       0.00066378       0.00032493       0.15488838       0.07675246
       0.95832787      17.39168369       0.00010400       0.00004137       0.03780620       0.00784484
       0.95832787      18.09941385       0.00001105       0.00000351       0.01114489       0.00041784
       0.95832787      18.82718728       0.00000078       0.00000020       0.00152627       0.00001216
       0.95832787      19.57845426       0.00000004       0.00000001       0.00000122       0.00000019
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000003       0.00000005
       1.50277824     -18.82718728       0.00000005       0.00000002       0.00000821       0.00000154
       1.50277824     -18.09941385       0.00000053       0.00000023       0.00206829       0.00002341
       1.50277824     -17.39168369       0.00000380       0.00000135       0.00144851       0.00017974
       1.50277824     -16.70128547       0.00001925       0.00000558       0.00475073       0.00080587
       1.50277824     -16.02603825       0.00007738       0.00001967       0.01649358       0.00314355
       1.50277824     -15.36415326       0.00028350       0.00007921       0.05255514       0.01353897
       1.50277824     -14.71413902       0.00102319       0.00038605       0.15685767       0.06815475
       1.50277824     -14.07473410       0.00343858       0.00177236       0.37212318       0.28118452
       1.50277824     -13.44485834       0.00952858       0.00612089       0.58725191       0.57492648
       1.50277824     -12.82357654       0.02005050       0.01469582       0.68855214       0.72449572
       1.50277824     -12.21007100       0.03165831       0.02485076       0.68689290       0.74506046
       1.50277824     -11.60362037       0.03948995       0.03172007       0.61667038       0.67982310
       1.50277824     -11.00358309       0.04269587       0.03410151       0.53212694       0.57212604
       1.50277824     -10.40938424       0.04368375       0.03440028       0.48740256       0.49376801
       1.50277824      -9.82050503       0.04429215       0.03440917       0.48980205       0.47144579
       1.50277824      -9.23647420       0.04484623       0.03441223       0.51185358       0.48354951
       1.50277824      -8.65686103       0.04502019       0.03420469       0.52501840       0.49583180
       1.50277824      -8.08126950       0.04485964       0.03375753       0.53058909       0.49047854
