 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -18.82718728       0.00000000       0.00000000       0.00000001       0.00000000
       0.41743065     -18.09941385       0.00000000       0.00000000       0.00000003       0.00000003
       0.41743065     -17.39168369       0.00000001       0.00000001       0.00000001       0.00000054
       0.41743065     -16.70128547       0.00000004       0.00000001       0.00000002       0.00000001
       0.41743065     -16.02603825       0.00000016       0.00000001       0.00000086       0.00000000
       0.41743065     -15.36415326       0.00000065       0.00000007       0.00014397       0.00000030
       0.41743065     -14.71413902       0.00000194       0.00000029       0.00136164       0.00004259
       0.41743065     -14.07473410       0.00000519       0.00000076       0.00273074       0.00011864
       0.41743065     -13.44485834       0.00001517       0.00000251       0.00673601       0.00043864
       0.41743065     -12.82357654       0.00004805       0.00001076       0.01669549       0.00179888
       0.41743065     -12.21007100       0.00015045       0.00004341       0.04556813       0.00947568
       0.41743065     -11.60362037       0.00046877       0.00016398       0.11463945       0.03825025
       0.41743065     -11.00358309       0.00150390       0.00066345       0.26035292       0.14352621
       0.41743065     -10.40938424       0.00458379       0.00259291       0.46868013       0.39845912
       0.41743065      -9.82050503       0.01156095       0.00790628       0.62907955       0.64247029
       0.41743065      -9.23647420       0.02225408       0.01699347       0.68679503       0.74035063
       0.41743065      -8.65686103       0.03275604       0.02619049       0.65615316       0.72774735
       0.41743065      -8.08126950       0.03932993       0.03159793       0.57280198       0.63840823
       0.41743065      -7.50933340       0.04217928       0.03335146       0.50168744       0.52626041
       0.41743065      -6.94071226       0.04341898       0.03358251       0.48938872       0.46524957
       0.41743065      -6.37508780       0.04440907       0.03376347       0.52436528       0.49338702
       0.41743065      -5.81216096       0.04508899       0.03396626       0.53666822       0.56839015
       0.41743065      -5.25164927       0.04492891       0.03343362       0.49169154       0.57650725
       0.41743065      -4.69328459       0.04431133       0.03225600       0.45040171       0.49932477
       0.41743065      -4.13681108       0.04403125       0.03115918       0.46352210       0.41456801
       0.41743065      -3.58198348       0.04431693       0.03059353       0.51925761       0.38012527
       0.41743065      -3.02856541       0.04471127       0.03056417       0.55860339       0.40242081
       0.41743065      -2.47632801       0.04476124       0.03060079       0.55051839       0.44003381
       0.41743065      -1.92504854       0.04447849       0.03040634       0.52496604       0.45284767
       0.41743065      -1.37450918       0.04408656       0.03009311       0.51223257       0.44171975
       0.41743065      -0.82449583       0.04371528       0.02986342       0.51079366       0.42954750
       0.41743065      -0.27479705       0.04339016       0.02990477       0.50307492       0.43731925
       0.41743065       0.27479705       0.04323499       0.03023199       0.48903752       0.46368650
       0.41743065       0.82449583       0.04331937       0.03068683       0.48279345       0.49335213
       0.41743065       1.37450918       0.04345970       0.03101825       0.48653618       0.51057777
       0.41743065       1.92504854       0.04337388       0.03108605       0.48565608       0.51145945
       0.41743065       2.47632801       0.04312991       0.03108006       0.47278602       0.50950214
       0.41743065       3.02856541       0.04318509       0.03127827       0.46460334       0.51402605
       0.41743065       3.58198348       0.04369017       0.03173522       0.47248265       0.52178059
       0.41743065       4.13681108       0.04424536       0.03221631       0.48256254       0.52268520
       0.41743065       4.69328459       0.04437019       0.03260735       0.47156911       0.52442485
       0.41743065       5.25164927       0.04428998       0.03320283       0.45262337       0.55426236
       0.41743065       5.81216096       0.04470141       0.03422826       0.46922339       0.61160710
       0.41743065       6.37508780       0.04559253       0.03542295       0.53230655       0.65170075
       0.41743065       6.94071226       0.04605930       0.03595324       0.58702202       0.60887835
       0.41743065       7.50933340       0.04536176       0.03548555       0.56107147       0.49720761
       0.41743065       8.08126950       0.04406234       0.03495037       0.49320512       0.43737614
       0.41743065       8.65686103       0.04288413       0.03479415       0.47956031       0.48206899
       0.41743065       9.23647420       0.04102793       0.03393540       0.54792065       0.60523393
       0.41743065       9.82050503       0.03616110       0.03001577       0.65929775       0.73279366
       0.41743065      10.40938424       0.02663036       0.02150479       0.73448909       0.79273828
       0.41743065      11.00358309       0.01510561       0.01129044       0.73021798       0.76424058
       0.41743065      11.60362037       0.00644926       0.00415832       0.62612588       0.60727046
       0.41743065      12.21007100       0.00218723       0.00112914       0.41811657       0.31102765
       0.41743065      12.82357654       0.00066778       0.00027002       0.21015540       0.09806298
       0.41743065      13.44485834       0.00020737       0.00006950       0.09042165       0.02769364
       0.41743065      14.07473410       0.00006704       0.00001866       0.03341295       0.00632478
       0.41743065      14.71413902       0.00002179       0.00000450       0.01108615       0.00096558
       0.41743065      15.36415326       0.00000707       0.00000109       0.00506553       0.00029181
       0.41743065      16.02603825       0.00000223       0.00000036       0.00232497       0.00004905
       0.41743065      16.70128547       0.00000062       0.00000015       0.00069646       0.00002123
       0.41743065      17.39168369       0.00000014       0.00000005       0.00097484       0.00001912
       0.41743065      18.09941385       0.00000002       0.00000001       0.00000889       0.00002554
       0.41743065      18.82718728       0.00000000       0.00000000       0.00000006       0.00000134
       0.41743065      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -18.82718728       0.00000000       0.00000000       0.00000001       0.00000000
       0.95832787     -18.09941385       0.00000000       0.00000000       0.00000003       0.00000002
       0.95832787     -17.39168369       0.00000001       0.00000001       0.00000001       0.00000060
       0.95832787     -16.70128547       0.00000003       0.00000001       0.00000002       0.00000001
       0.95832787     -16.02603825       0.00000015       0.00000001       0.00000072       0.00000000
       0.95832787     -15.36415326       0.00000061       0.00000006       0.00010930       0.00000019
       0.95832787     -14.71413902       0.00000183       0.00000027       0.00120790       0.00003920
       0.95832787     -14.07473410       0.00000486       0.00000071       0.00241819       0.00010592
       0.95832787     -13.44485834       0.00001402       0.00000226       0.00598089       0.00040017
       0.95832787     -12.82357654       0.00004404       0.00000957       0.01450894       0.00154155
       0.95832787     -12.21007100       0.00013707       0.00003871       0.03979032       0.00811863
       0.95832787     -11.60362037       0.00042255       0.00014448       0.10116655       0.03270060
       0.95832787     -11.00358309       0.00134048       0.00057329       0.23371919       0.12254823
       0.95832787     -10.40938424       0.00408921       0.00224212       0.43624020       0.35641530
       0.95832787      -9.82050503       0.01048521       0.00699984       0.60752533       0.60940962
       0.95832787      -9.23647420       0.02073358       0.01558635       0.68046840       0.72541992
       0.95832787      -8.65686103       0.03142761       0.02492286       0.66435079       0.72862448
       0.95832787      -8.08126950       0.03862851       0.03097174       0.59002416       0.65466307
       0.95832787      -7.50933340       0.04194129       0.03325308       0.51437381       0.54833715
       0.95832787      -6.94071226       0.04327303       0.03362621       0.48649561       0.47451924
       0.95832787      -6.37508780       0.04413035       0.03360937       0.50784660       0.47187424
       0.95832787      -5.81216096       0.04481505       0.03364063       0.53188643       0.52377137
       0.95832787      -5.25164927       0.04493696       0.03330568       0.51562102       0.55274956
       0.95832787      -4.69328459       0.04458714       0.03250741       0.48514750       0.52216963
       0.95832787      -4.13681108       0.04432292       0.03172557       0.48105197       0.47705866
       0.95832787      -3.58198348       0.04437337       0.03131846       0.49960834       0.46384740
       0.95832787      -3.02856541       0.04449830       0.03122905       0.50905066       0.48559477
       0.95832787      -2.47632801       0.04445924       0.03114564       0.49920773       0.51013391
       0.95832787      -1.92504854       0.04426728       0.03092586       0.48920873       0.51340393
       0.95832787      -1.37450918       0.04403143       0.03063136       0.49313098       0.49862297
       0.95832787      -0.82449583       0.04376282       0.03037523       0.50268345       0.48304049
       0.95832787      -0.27479705       0.04345357       0.03030712       0.50176787       0.48258377
       0.95832787       0.27479705       0.04327287       0.03047735       0.49400168       0.49633845
       0.95832787       0.82449583       0.04333030       0.03078419       0.49401789       0.51265275
       0.95832787       1.37450918       0.04346863       0.03101465       0.50423713       0.51898730
       0.95832787       1.92504854       0.04341639       0.03103028       0.51069712       0.51141272
       0.95832787       2.47632801       0.04321340       0.03099318       0.50455460       0.50147391
       0.95832787       3.02856541       0.04328860       0.03117850       0.50066724       0.49985412
       0.95832787       3.58198348       0.04380888       0.03164935       0.51169024       0.50462606
       0.95832787       4.13681108       0.04441235       0.03216061       0.52715953       0.50306392
       0.95832787       4.69328459       0.04460323       0.03251526       0.52305124       0.49356080
       0.95832787       5.25164927       0.04444583       0.03293102       0.50086599       0.49764926
       0.95832787       5.81216096       0.04451178       0.03365442       0.49407514       0.52151467
       0.95832787       6.37508780       0.04493082       0.03455264       0.51511333       0.53919203
       0.95832787       6.94071226       0.04516805       0.03514590       0.53327784       0.51784818
       0.95832787       7.50933340       0.04472467       0.03518738       0.51424872       0.47146791
       0.95832787       8.08126950       0.04379507       0.03503507       0.48473757       0.46264129
       0.95832787       8.65686103       0.04258171       0.03473469       0.50039535       0.52537202
       0.95832787       9.23647420       0.04012582       0.03319186       0.57775281       0.64096894
       0.95832787       9.82050503       0.03432918       0.02831367       0.67698746       0.74515940
       0.95832787      10.40938424       0.02436272       0.01940202       0.73296942       0.78469740
       0.95832787      11.00358309       0.01336438       0.00976607       0.71187314       0.73791484
       0.95832787      11.60362037       0.00558433       0.00349002       0.59168191       0.55906028
       0.95832787      12.21007100       0.00188714       0.00094082       0.37955708       0.26709570
       0.95832787      12.82357654       0.00058436       0.00022991       0.18707202       0.08291087
       0.95832787      13.44485834       0.00018503       0.00006090       0.08023274       0.02373286
       0.95832787      14.07473410       0.00006056       0.00001646       0.02935424       0.00529664
       0.95832787      14.71413902       0.00001984       0.00000396       0.00987455       0.00081313
       0.95832787      15.36415326       0.00000650       0.00000098       0.00473011       0.00026690
       0.95832787      16.02603825       0.00000207       0.00000034       0.00209923       0.00004338
       0.95832787      16.70128547       0.00000058       0.00000015       0.00062057       0.00002237
       0.95832787      17.39168369       0.00000013       0.00000005       0.00098890       0.00002110
       0.95832787      18.09941385       0.00000002       0.00000001       0.00000752       0.00003623
       0.95832787      18.82718728       0.00000000       0.00000000       0.00000005       0.00000088
       0.95832787      19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -19.57845426       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -18.82718728       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -18.09941385       0.00000000       0.00000000       0.00000004       0.00000001
       1.50277824     -17.39168369       0.00000001       0.00000000       0.00000001       0.00000075
       1.50277824     -16.70128547       0.00000003       0.00000001       0.00000002       0.00000001
       1.50277824     -16.02603825       0.00000013       0.00000001       0.00000053       0.00000000
       1.50277824     -15.36415326       0.00000054       0.00000005       0.00006792       0.00000008
       1.50277824     -14.71413902       0.00000163       0.00000024       0.00096485       0.00003233
       1.50277824     -14.07473410       0.00000431       0.00000063       0.00196344       0.00008917
       1.50277824     -13.44485834       0.00001219       0.00000189       0.00488942       0.00033732
       1.50277824     -12.82357654       0.00003771       0.00000777       0.01142988       0.00118048
       1.50277824     -12.21007100       0.00011623       0.00003153       0.03141545       0.00617119
       1.50277824     -11.60362037       0.00035210       0.00011576       0.08136475       0.02488576
       1.50277824     -11.00358309       0.00109394       0.00044348       0.19300995       0.09251890
       1.50277824     -10.40938424       0.00332966       0.00172540       0.38197529       0.28811427
       1.50277824      -9.82050503       0.00875561       0.00558691       0.56873830       0.54861774
       1.50277824      -9.23647420       0.01810577       0.01320909       0.66806880       0.69711829
       1.50277824      -8.65686103       0.02888234       0.02253850       0.67724407       0.72887691
       1.50277824      -8.08126950       0.03707341       0.02957882       0.62126607       0.68201310
