 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000069       0.00000000
       0.41743065     -19.57845426       0.00000008       0.00000002       0.00009095       0.00000019
       0.41743065     -18.82718728       0.00000174       0.00000052       0.00053753       0.00001578
       0.41743065     -18.09941385       0.00002319       0.00000845       0.00566908       0.00063971
       0.41743065     -17.39168369       0.00020314       0.00008971       0.04492748       0.01273389
       0.41743065     -16.70128547       0.00119229       0.00062989       0.20395190       0.11699181
       0.41743065     -16.02603825       0.00476684       0.00295765       0.46404770       0.41444118
       0.41743065     -15.36415326       0.01317738       0.00935233       0.63837731       0.66497242
       0.41743065     -14.71413902       0.02571684       0.02010820       0.68580840       0.74595423
       0.41743065     -14.07473410       0.03693574       0.03023628       0.63975046       0.70552645
       0.41743065     -13.44485834       0.04247456       0.03445371       0.54725903       0.57427657
       0.41743065     -12.82357654       0.04426615       0.03473899       0.50077260       0.47214899
       0.41743065     -12.21007100       0.04560818       0.03531444       0.53613294       0.50370804
       0.41743065     -11.60362037       0.04649892       0.03599549       0.56725501       0.58929187
       0.41743065     -11.00358309       0.04629501       0.03574647       0.53399832       0.64046215
       0.41743065     -10.40938424       0.04550703       0.03480012       0.47698461       0.62389716
       0.41743065      -9.82050503       0.04480334       0.03356531       0.44736335       0.54901129
       0.41743065      -9.23647420       0.04480760       0.03298160       0.46540453       0.51693243
       0.41743065      -8.65686103       0.04531242       0.03327036       0.49899556       0.55351821
       0.41743065      -8.08126950       0.04538885       0.03358852       0.49612852       0.58773166
       0.41743065      -7.50933340       0.04515631       0.03371653       0.47768763       0.59684033
       0.41743065      -6.94071226       0.04514760       0.03397940       0.47874700       0.60090695
       0.41743065      -6.37508780       0.04540411       0.03441892       0.50162266       0.61087201
       0.41743065      -5.81216096       0.04575862       0.03476438       0.53818920       0.61351842
       0.41743065      -5.25164927       0.04573184       0.03474715       0.56488148       0.58570424
       0.41743065      -4.69328459       0.04520345       0.03436047       0.56915377       0.53103633
       0.41743065      -4.13681108       0.04450075       0.03387471       0.55141592       0.47657727
       0.41743065      -3.58198348       0.04382888       0.03356101       0.52021961       0.44524616
       0.41743065      -3.02856541       0.04331803       0.03333909       0.49933758       0.43929340
       0.41743065      -2.47632801       0.04276734       0.03300574       0.49724448       0.45629015
       0.41743065      -1.92504854       0.04182478       0.03246509       0.50907017       0.49802694
       0.41743065      -1.37450918       0.04046295       0.03174070       0.52897646       0.56627360
       0.41743065      -0.82449583       0.03893988       0.03095474       0.54949166       0.65328713
       0.41743065      -0.27479705       0.03770140       0.03018115       0.57454921       0.72868338
       0.41743065       0.27479705       0.03701736       0.02954368       0.60355184       0.76783080
       0.41743065       0.82449583       0.03693679       0.02921099       0.62219965       0.76680920
       0.41743065       1.37450918       0.03741903       0.02933624       0.61801242       0.73561714
       0.41743065       1.92504854       0.03822901       0.03002949       0.58484906       0.69532401
       0.41743065       2.47632801       0.03921229       0.03115377       0.54032906       0.65386645
       0.41743065       3.02856541       0.04020475       0.03237713       0.50269446       0.60840455
       0.41743065       3.58198348       0.04105998       0.03329872       0.47834833       0.55565765
       0.41743065       4.13681108       0.04186368       0.03367267       0.47172081       0.49893171
       0.41743065       4.69328459       0.04268742       0.03368103       0.47562800       0.45652559
       0.41743065       5.25164927       0.04377305       0.03370477       0.49680904       0.44473162
       0.41743065       5.81216096       0.04497328       0.03405555       0.53008879       0.46885442
       0.41743065       6.37508780       0.04579556       0.03473224       0.54997501       0.52214876
       0.41743065       6.94071226       0.04606617       0.03534329       0.54518941       0.58524368
       0.41743065       7.50933340       0.04583614       0.03557555       0.51785369       0.63185913
       0.41743065       8.08126950       0.04567712       0.03545654       0.50001099       0.63910767
       0.41743065       8.65686103       0.04560873       0.03493043       0.49190851       0.59313798
       0.41743065       9.23647420       0.04513916       0.03407114       0.46279481       0.51387851
       0.41743065       9.82050503       0.04474726       0.03385059       0.43707616       0.49018297
       0.41743065      10.40938424       0.04497057       0.03471247       0.45010797       0.55292745
       0.41743065      11.00358309       0.04570134       0.03585618       0.50036039       0.61435968
       0.41743065      11.60362037       0.04629970       0.03672613       0.54277141       0.61980770
       0.41743065      12.21007100       0.04587356       0.03665423       0.52519350       0.56374455
       0.41743065      12.82357654       0.04468489       0.03586592       0.48448836       0.49809808
       0.41743065      13.44485834       0.04340935       0.03551026       0.51625492       0.54834453
       0.41743065      14.07473410       0.03953334       0.03270576       0.62122686       0.68123770
       0.41743065      14.71413902       0.02962157       0.02372461       0.69963716       0.75239681
       0.41743065      15.36415326       0.01643823       0.01218662       0.69095270       0.71277649
       0.41743065      16.02603825       0.00639906       0.00425743       0.56493556       0.51310286
       0.41743065      16.70128547       0.00170350       0.00099844       0.31489903       0.18550509
       0.41743065      17.39168369       0.00030530       0.00015603       0.09642944       0.02427982
       0.41743065      18.09941385       0.00003627       0.00001608       0.01934434       0.00136638
       0.41743065      18.82718728       0.00000280       0.00000107       0.00764416       0.00003767
       0.41743065      19.57845426       0.00000014       0.00000005       0.00007486       0.00000051
       0.41743065      20.35773306       0.00000000       0.00000000       0.00000009       0.00000000
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000061       0.00000000
       0.95832787     -19.57845426       0.00000007       0.00000002       0.00007135       0.00000015
       0.95832787     -18.82718728       0.00000151       0.00000043       0.00044554       0.00001243
       0.95832787     -18.09941385       0.00002019       0.00000714       0.00480826       0.00051579
       0.95832787     -17.39168369       0.00017788       0.00007637       0.03914890       0.01054705
       0.95832787     -16.70128547       0.00105326       0.00054271       0.18559050       0.10120082
       0.95832787     -16.02603825       0.00426658       0.00259081       0.44355724       0.38387248
       0.95832787     -15.36415326       0.01201870       0.00837975       0.62962519       0.64724034
       0.95832787     -14.71413902       0.02405253       0.01856723       0.68944390       0.74418401
       0.95832787     -14.07473410       0.03554217       0.02895517       0.65490214       0.72133159
       0.95832787     -13.44485834       0.04175669       0.03409013       0.56321608       0.60699257
       0.95832787     -12.82357654       0.04364300       0.03467061       0.49217077       0.48809071
       0.95832787     -12.21007100       0.04465801       0.03476425       0.49741058       0.47245937
       0.95832787     -11.60362037       0.04559363       0.03512258       0.52998349       0.51725240
       0.95832787     -11.00358309       0.04576586       0.03484217       0.52605646       0.53994952
       0.95832787     -10.40938424       0.04538379       0.03400274       0.50167128       0.51958295
       0.95832787      -9.82050503       0.04503511       0.03310991       0.49474884       0.47900025
       0.95832787      -9.23647420       0.04504343       0.03274797       0.51240517       0.46960738
       0.95832787      -8.65686103       0.04526951       0.03292516       0.53082084       0.49525993
       0.95832787      -8.08126950       0.04523557       0.03310546       0.52284941       0.51380323
       0.95832787      -7.50933340       0.04500605       0.03317657       0.50402997       0.51266294
       0.95832787      -6.94071226       0.04491593       0.03337368       0.49825454       0.50860887
       0.95832787      -6.37508780       0.04496433       0.03372520       0.50335887       0.51297089
       0.95832787      -5.81216096       0.04500225       0.03398442       0.51061829       0.51388199
       0.95832787      -5.25164927       0.04477279       0.03399835       0.51079462       0.50000948
       0.95832787      -4.69328459       0.04427721       0.03386260       0.50368405       0.48262693
       0.95832787      -4.13681108       0.04379492       0.03377850       0.49690602       0.48084005
       0.95832787      -3.58198348       0.04338705       0.03378062       0.49733981       0.50138326
       0.95832787      -3.02856541       0.04289331       0.03354193       0.51179379       0.53009506
       0.95832787      -2.47632801       0.04197128       0.03276830       0.53680278       0.55623411
       0.95832787      -1.92504854       0.04034019       0.03142973       0.56289410       0.58386413
       0.95832787      -1.37450918       0.03811531       0.02971066       0.58368140       0.62263382
       0.95832787      -0.82449583       0.03572715       0.02794481       0.59653187       0.67696839
       0.95832787      -0.27479705       0.03375671       0.02639440       0.61101254       0.72887667
       0.95832787       0.27479705       0.03259862       0.02527929       0.63309456       0.75701474
       0.95832787       0.82449583       0.03237027       0.02479818       0.65207387       0.75437342
       0.95832787       1.37450918       0.03303336       0.02509456       0.65618807       0.72978546
       0.95832787       1.92504854       0.03434605       0.02622077       0.63852506       0.70486738
       0.95832787       2.47632801       0.03606009       0.02796829       0.61069213       0.68464539
       0.95832787       3.02856541       0.03788444       0.02993161       0.58468914       0.66205564
       0.95832787       3.58198348       0.03952326       0.03162970       0.56155765       0.62903457
       0.95832787       4.13681108       0.04091235       0.03273082       0.54124920       0.58442427
       0.95832787       4.69328459       0.04209573       0.03329675       0.51954622       0.54046755
       0.95832787       5.25164927       0.04328007       0.03358445       0.50810245       0.50765370
       0.95832787       5.81216096       0.04439470       0.03385425       0.51170895       0.49086886
       0.95832787       6.37508780       0.04510035       0.03418545       0.51682746       0.49011080
       0.95832787       6.94071226       0.04529379       0.03443422       0.51308421       0.50375093
       0.95832787       7.50933340       0.04514676       0.03451619       0.50146303       0.52602531
       0.95832787       8.08126950       0.04520640       0.03446590       0.50546556       0.53813772
       0.95832787       8.65686103       0.04548791       0.03423820       0.52130523       0.52266319
       0.95832787       9.23647420       0.04551243       0.03380203       0.51949986       0.48393856
       0.95832787       9.82050503       0.04532294       0.03363633       0.50370924       0.46592783
       0.95832787      10.40938424       0.04526978       0.03413362       0.49897804       0.49466830
       0.95832787      11.00358309       0.04558621       0.03497362       0.51917311       0.53306798
       0.95832787      11.60362037       0.04579663       0.03564642       0.53265987       0.54060831
       0.95832787      12.21007100       0.04520487       0.03561937       0.50482365       0.50557102
       0.95832787      12.82357654       0.04422104       0.03531049       0.48248729       0.48594460
       0.95832787      13.44485834       0.04287739       0.03502440       0.53522807       0.56972270
       0.95832787      14.07473410       0.03824073       0.03144261       0.63793299       0.69711276
       0.95832787      14.71413902       0.02780098       0.02200781       0.70201132       0.75199902
       0.95832787      15.36415326       0.01501305       0.01095625       0.67980084       0.69724192
       0.95832787      16.02603825       0.00572602       0.00373784       0.53996822       0.48067401
       0.95832787      16.70128547       0.00150283       0.00086167       0.28584168       0.16117450
       0.95832787      17.39168369       0.00026677       0.00013302       0.08260716       0.01997051
       0.95832787      18.09941385       0.00003149       0.00001359       0.01578838       0.00109459
       0.95832787      18.82718728       0.00000242       0.00000090       0.00550043       0.00002968
       0.95832787      19.57845426       0.00000012       0.00000004       0.00007113       0.00000040
       0.95832787      20.35773306       0.00000000       0.00000000       0.00000008       0.00000000
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000050       0.00000000
       1.50277824     -19.57845426       0.00000006       0.00000001       0.00004622       0.00000009
       1.50277824     -18.82718728       0.00000117       0.00000032       0.00031808       0.00000797
       1.50277824     -18.09941385       0.00001572       0.00000524       0.00357395       0.00034469
       1.50277824     -17.39168369       0.00013984       0.00005693       0.03044780       0.00740073
       1.50277824     -16.70128547       0.00084002       0.00041287       0.15517414       0.07655991
       1.50277824     -16.02603825       0.00347637       0.00202730       0.40488880       0.32828790
       1.50277824     -15.36415326       0.01010009       0.00681328       0.60988310       0.61050098
       1.50277824     -14.71413902       0.02107688       0.01588262       0.69145829       0.73662021
       1.50277824     -14.07473410       0.03273407       0.02636067       0.67850588       0.74308166
       1.50277824     -13.44485834       0.04021050       0.03299902       0.60019414       0.66275319
       1.50277824     -12.82357654       0.04287517       0.03464629       0.50996442       0.54204473
       1.50277824     -12.21007100       0.04372464       0.03448050       0.47454458       0.47320169
       1.50277824     -11.60362037       0.04456451       0.03440088       0.49173960       0.46749543
       1.50277824     -11.00358309       0.04508353       0.03414234       0.50887625       0.46820681
       1.50277824     -10.40938424       0.04511528       0.03356709       0.51279255       0.45363973
       1.50277824      -9.82050503       0.04502480       0.03303176       0.52033326       0.44020680
       1.50277824      -9.23647420       0.04494722       0.03279899       0.52890602       0.44306095
       1.50277824      -8.65686103       0.04488803       0.03277572       0.53002084       0.45381348
       1.50277824      -8.08126950       0.04478459       0.03277310       0.52088040       0.45675762
