 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.41743065     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065     -20.35773306       0.00000000       0.00000000       0.00000004       0.00000001
       0.41743065     -19.57845426       0.00000012       0.00000003       0.00000422       0.00000114
       0.41743065     -18.82718728       0.00000243       0.00000077       0.00020050       0.00006067
       0.41743065     -18.09941385       0.00003149       0.00001190       0.00455951       0.00167580
       0.41743065     -17.39168369       0.00026645       0.00011997       0.05033596       0.02433992
       0.41743065     -16.70128547       0.00150157       0.00079920       0.24502406       0.16889464
       0.41743065     -16.02603825       0.00572966       0.00355722       0.52073678       0.47679954
       0.41743065     -15.36415326       0.01504366       0.01065825       0.67167030       0.69046034
       0.41743065     -14.71413902       0.02785427       0.02174419       0.69448471       0.74719625
       0.41743065     -14.07473410       0.03824003       0.03123931       0.62914698       0.69000767
       0.41743065     -13.44485834       0.04288472       0.03464756       0.53306623       0.55352909
       0.41743065     -12.82357654       0.04458193       0.03486841       0.50216633       0.47223980
       0.41743065     -12.21007100       0.04602893       0.03556670       0.54641547       0.52214551
       0.41743065     -11.60362037       0.04668098       0.03604609       0.56719295       0.60412808
       0.41743065     -11.00358309       0.04616000       0.03558169       0.52221899       0.64363255
       0.41743065     -10.40938424       0.04534987       0.03456842       0.46799703       0.61526036
       0.41743065      -9.82050503       0.04491255       0.03341408       0.45148086       0.54054857
       0.41743065      -9.23647420       0.04510598       0.03298827       0.47666057       0.52008642
       0.41743065      -8.65686103       0.04548277       0.03334372       0.50274871       0.56296169
       0.41743065      -8.08126950       0.04539443       0.03367920       0.49314647       0.59809257
       0.41743065      -7.50933340       0.04524891       0.03385859       0.48158185       0.60732055
       0.41743065      -6.94071226       0.04538421       0.03412570       0.49303199       0.60773953
       0.41743065      -6.37508780       0.04557445       0.03444752       0.51680745       0.60855332
       0.41743065      -5.81216096       0.04569887       0.03461820       0.54452012       0.59947606
       0.41743065      -5.25164927       0.04554435       0.03450951       0.56309773       0.56604183
       0.41743065      -4.69328459       0.04511007       0.03415610       0.56718663       0.51677185
       0.41743065      -4.13681108       0.04452602       0.03374953       0.55229909       0.47382492
       0.41743065      -3.58198348       0.04383647       0.03346173       0.52204509       0.44981017
       0.41743065      -3.02856541       0.04322660       0.03322183       0.49841749       0.44062892
       0.41743065      -2.47632801       0.04272675       0.03295195       0.49180100       0.44468323
       0.41743065      -1.92504854       0.04212359       0.03266116       0.49746965       0.46744796
       0.41743065      -1.37450918       0.04130460       0.03237701       0.50674118       0.51456282
       0.41743065      -0.82449583       0.04038864       0.03211346       0.51529556       0.58217572
       0.41743065      -0.27479705       0.03964268       0.03177220       0.53095556       0.64500252
       0.41743065       0.27479705       0.03919885       0.03131697       0.55634511       0.67966235
       0.41743065       0.82449583       0.03900307       0.03085546       0.57677419       0.68075446
       0.41743065       1.37450918       0.03901664       0.03061524       0.57718570       0.65966613
       0.41743065       1.92504854       0.03917534       0.03084584       0.55191611       0.63792220
       0.41743065       2.47632801       0.03954840       0.03153493       0.51832728       0.62021150
       0.41743065       3.02856541       0.04015566       0.03241417       0.49456702       0.59679815
       0.41743065       3.58198348       0.04082929       0.03309058       0.48077420       0.55775982
       0.41743065       4.13681108       0.04151439       0.03331128       0.47542650       0.50494857
       0.41743065       4.69328459       0.04219112       0.03324089       0.47190463       0.45911520
       0.41743065       5.25164927       0.04313675       0.03324814       0.48352574       0.44012714
       0.41743065       5.81216096       0.04436857       0.03362869       0.51551020       0.45554035
       0.41743065       6.37508780       0.04538673       0.03437370       0.54325830       0.50116159
       0.41743065       6.94071226       0.04586890       0.03512617       0.54869232       0.56411565
       0.41743065       7.50933340       0.04575062       0.03555795       0.52710128       0.62135530
       0.41743065       8.08126950       0.04561673       0.03564680       0.50910703       0.64525339
       0.41743065       8.65686103       0.04563434       0.03529732       0.50068793       0.61387610
       0.41743065       9.23647420       0.04524371       0.03440822       0.46967190       0.53256595
       0.41743065       9.82050503       0.04475984       0.03389920       0.43658597       0.48874117
       0.41743065      10.40938424       0.04482457       0.03453632       0.44204733       0.53746918
       0.41743065      11.00358309       0.04551630       0.03568099       0.49113578       0.60419477
       0.41743065      11.60362037       0.04622872       0.03669049       0.53984701       0.62350945
       0.41743065      12.21007100       0.04590886       0.03678008       0.52853572       0.57797056
       0.41743065      12.82357654       0.04461431       0.03592173       0.48350932       0.50592041
       0.41743065      13.44485834       0.04325459       0.03540875       0.50348826       0.53891479
       0.41743065      14.07473410       0.03979919       0.03289366       0.60528174       0.66812519
       0.41743065      14.71413902       0.03048449       0.02437916       0.69014673       0.74698677
       0.41743065      15.36415326       0.01735686       0.01285311       0.68810010       0.71792010
       0.41743065      16.02603825       0.00692302       0.00460815       0.56566280       0.53622600
       0.41743065      16.70128547       0.00188292       0.00110726       0.31056908       0.21330104
       0.41743065      17.39168369       0.00034376       0.00017696       0.08562895       0.03158660
       0.41743065      18.09941385       0.00004149       0.00001862       0.01213607       0.00199237
       0.41743065      18.82718728       0.00000324       0.00000127       0.00112641       0.00006139
       0.41743065      19.57845426       0.00000016       0.00000005       0.00010420       0.00000093
       0.41743065      20.35773306       0.00000000       0.00000000       0.00009901       0.00000001
       0.41743065      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.41743065      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787     -20.35773306       0.00000000       0.00000000       0.00000003       0.00000001
       0.95832787     -19.57845426       0.00000010       0.00000003       0.00000351       0.00000091
       0.95832787     -18.82718728       0.00000210       0.00000065       0.00016809       0.00004955
       0.95832787     -18.09941385       0.00002737       0.00001007       0.00387122       0.00139010
       0.95832787     -17.39168369       0.00023294       0.00010231       0.04374546       0.02059022
       0.95832787     -16.70128547       0.00132477       0.00068970       0.22296358       0.14883633
       0.95832787     -16.02603825       0.00512456       0.00312140       0.49845020       0.44711763
       0.95832787     -15.36415326       0.01372368       0.00957082       0.66227252       0.67482799
       0.95832787     -14.71413902       0.02609048       0.02013811       0.69797875       0.74676689
       0.95832787     -14.07473410       0.03688253       0.03001804       0.64499873       0.70761176
       0.95832787     -13.44485834       0.04220601       0.03432956       0.54796285       0.58504320
       0.95832787     -12.82357654       0.04390499       0.03469799       0.49003226       0.47986287
       0.95832787     -12.21007100       0.04504450       0.03489412       0.50723488       0.48084761
       0.95832787     -11.60362037       0.04583240       0.03514633       0.53537557       0.52549160
       0.95832787     -11.00358309       0.04572276       0.03471137       0.52147317       0.54020337
       0.95832787     -10.40938424       0.04529857       0.03384515       0.49775281       0.51380554
       0.95832787      -9.82050503       0.04514960       0.03304281       0.50026251       0.47518051
       0.95832787      -9.23647420       0.04527548       0.03279365       0.52147955       0.47246306
       0.95832787      -8.65686103       0.04537680       0.03299572       0.53233942       0.50015170
       0.95832787      -8.08126950       0.04519631       0.03316815       0.51796563       0.51746432
       0.95832787      -7.50933340       0.04501082       0.03326388       0.50298065       0.51559525
       0.95832787      -6.94071226       0.04501220       0.03345904       0.50336777       0.51008768
       0.95832787      -6.37508780       0.04500420       0.03372469       0.50769894       0.51069985
       0.95832787      -5.81216096       0.04489133       0.03386688       0.50967470       0.50743010
       0.95832787      -5.25164927       0.04461217       0.03382985       0.50873515       0.49386354
       0.95832787      -4.69328459       0.04421206       0.03370994       0.50696326       0.48164119
       0.95832787      -4.13681108       0.04377488       0.03363546       0.50363374       0.48561534
       0.95832787      -3.58198348       0.04327873       0.03360482       0.50134241       0.50764181
       0.95832787      -3.02856541       0.04271952       0.03337904       0.51003740       0.53213590
       0.95832787      -2.47632801       0.04200668       0.03280729       0.53133717       0.55040832
       0.95832787      -1.92504854       0.04094564       0.03191969       0.55588340       0.56833747
       0.95832787      -1.37450918       0.03951119       0.03084651       0.57327245       0.59673761
       0.95832787      -0.82449583       0.03793411       0.02976612       0.58200715       0.63993867
       0.95832787      -0.27479705       0.03656639       0.02874318       0.59300149       0.68165422
       0.95832787       0.27479705       0.03564830       0.02783664       0.61338783       0.70364541
       0.95832787       0.82449583       0.03521722       0.02719209       0.63199882       0.70082539
       0.95832787       1.37450918       0.03527053       0.02702773       0.63593419       0.68324884
       0.95832787       1.92504854       0.03575466       0.02753331       0.62029766       0.67079902
       0.95832787       2.47632801       0.03664926       0.02863902       0.59705308       0.66579645
       0.95832787       3.02856541       0.03787132       0.03004362       0.57945146       0.65647994
       0.95832787       3.58198348       0.03917830       0.03133178       0.56464082       0.63096606
       0.95832787       4.13681108       0.04042280       0.03221020       0.54787153       0.58891075
       0.95832787       4.69328459       0.04154853       0.03273302       0.52450105       0.54555797
       0.95832787       5.25164927       0.04272199       0.03311298       0.50896034       0.51330878
       0.95832787       5.81216096       0.04392590       0.03352951       0.51086146       0.49588434
       0.95832787       6.37508780       0.04478370       0.03397371       0.51649580       0.49080281
       0.95832787       6.94071226       0.04509071       0.03429811       0.51330514       0.49896511
       0.95832787       7.50933340       0.04496711       0.03446804       0.50073298       0.52054927
       0.95832787       8.08126950       0.04501899       0.03454491       0.50322041       0.53888729
       0.95832787       8.65686103       0.04539586       0.03446397       0.52092990       0.53232058
       0.95832787       9.23647420       0.04555679       0.03405939       0.52186764       0.49497792
       0.95832787       9.82050503       0.04538507       0.03373482       0.50498912       0.46733282
       0.95832787      10.40938424       0.04524889       0.03406474       0.49709407       0.48765372
       0.95832787      11.00358309       0.04552958       0.03487727       0.51717276       0.52810738
       0.95832787      11.60362037       0.04582925       0.03564138       0.53528355       0.54446312
       0.95832787      12.21007100       0.04531151       0.03569010       0.51027287       0.51425077
       0.95832787      12.82357654       0.04423227       0.03526561       0.48111846       0.48493744
       0.95832787      13.44485834       0.04290059       0.03492373       0.52327494       0.55467944
       0.95832787      14.07473410       0.03873401       0.03173036       0.62479524       0.68265780
       0.95832787      14.71413902       0.02879642       0.02272318       0.69529166       0.74647760
       0.95832787      15.36415326       0.01594763       0.01161419       0.67946600       0.70343995
       0.95832787      16.02603825       0.00622839       0.00406624       0.54312317       0.50629748
       0.95832787      16.70128547       0.00166909       0.00096034       0.28323762       0.18862907
       0.95832787      17.39168369       0.00030165       0.00015160       0.07358559       0.02659550
       0.95832787      18.09941385       0.00003616       0.00001581       0.00996705       0.00164133
       0.95832787      18.82718728       0.00000281       0.00000107       0.00087962       0.00004988
       0.95832787      19.57845426       0.00000014       0.00000005       0.00007203       0.00000075
       0.95832787      20.35773306       0.00000000       0.00000000       0.00731533       0.00000001
       0.95832787      21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       0.95832787      26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -26.38798541       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -25.04244598       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -23.93058253       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.93989979       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -22.02746185       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -21.17115835       0.00000000       0.00000000       0.00000000       0.00000000
       1.50277824     -20.35773306       0.00000000       0.00000000       0.00000002       0.00000001
       1.50277824     -19.57845426       0.00000008       0.00000002       0.00000252       0.00000060
       1.50277824     -18.82718728       0.00000162       0.00000047       0.00012237       0.00003366
       1.50277824     -18.09941385       0.00002124       0.00000742       0.00288107       0.00097472
       1.50277824     -17.39168369       0.00018259       0.00007650       0.03384635       0.01498594
       1.50277824     -16.70128547       0.00105413       0.00052628       0.18627038       0.11633498
       1.50277824     -16.02603825       0.00417052       0.00245047       0.45628494       0.39166477
       1.50277824     -15.36415326       0.01153952       0.00781394       0.64164118       0.64217830
       1.50277824     -14.71413902       0.02292863       0.01732368       0.69996053       0.74191240
       1.50277824     -14.07473410       0.03412450       0.02751554       0.67010034       0.73300108
       1.50277824     -13.44485834       0.04077620       0.03339693       0.58456293       0.64257279
       1.50277824     -12.82357654       0.04309921       0.03464032       0.50238386       0.52597829
       1.50277824     -12.21007100       0.04401022       0.03447536       0.47932249       0.46992998
       1.50277824     -11.60362037       0.04479414       0.03437725       0.49835792       0.46859411
       1.50277824     -11.00358309       0.04510675       0.03404707       0.50955588       0.46697271
       1.50277824     -10.40938424       0.04508231       0.03347910       0.51285298       0.45131299
       1.50277824      -9.82050503       0.04510731       0.03302761       0.52533563       0.44054731
       1.50277824      -9.23647420       0.04508158       0.03285966       0.53448279       0.44627834
       1.50277824      -8.65686103       0.04492510       0.03282827       0.53003466       0.45635507
       1.50277824      -8.08126950       0.04471062       0.03280219       0.51628292       0.45717099
